v_px,region,u_min_px,u_max_px,grid_u_count,common_valid_count,invalid_count,delta_definition,bias_delta_lambda_mm,mae_delta_lambda_mm,rmse_delta_lambda_mm,p95_abs_delta_lambda_mm,max_abs_delta_lambda_mm
241.99769349665084,top_formal_edge,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0030574870450348706,0.0030574870450348706,0.003266106102664125,0.0051233658075489075,0.005462413103941799
266.8974953074825,top_formal_edge,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0025766831096857897,0.0025766831096857897,0.002737092485891814,0.004294549789392477,0.004596783882334421
291.7972971183141,top_formal_edge,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0020949385972537657,0.0020949385972537657,0.0022114924020009137,0.0034713005618414172,0.003737357994737067
316.6970989291457,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0016129021418046544,0.0016129021418046544,0.0016920750956407747,0.0026543435702137685,0.0028848697746752805
341.5969007399773,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.001131216345602444,0.001131216345602444,0.001185349461169877,0.0018443981335281023,0.0020400474180632955
366.4967025508089,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0006505173874544316,0.0006505173874544316,0.000714267662785134,0.0011839816593237629,0.0012950291908282452
391.3965043616405,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.00017143462657127055,0.0002868065610696689,0.00041202616712663086,0.0009510307389177797,0.0011803388204043586
416.29630617247216,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0003054097849144455,0.0005614325806134495,0.00061052492897456,0.0008242774436553191,0.0010594363417339991
441.19610798330376,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.000779401298352182,0.000954942928604308,0.0010515447418831146,0.0014011901332082743,0.0014050278249442272
466.09590979413537,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0012499333534914249,0.0013706680223982226,0.0015340195496916366,0.002090011349650922,0.0020937481541523084
490.995711604967,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0017164077638653907,0.001796936668828523,0.0020242175049181924,0.002827211454530243,0.0028308491507686995
515.8955134157986,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.002178235105875061,0.0022281609966292365,0.00251371033761197,0.0035699619788829295,0.0035993863765497736
540.7953152266302,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0026348350940217586,0.002664762010391725,0.002999233485665483,0.004298798249180891,0.004357546812912005
565.6951170374618,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.003085636963837421,0.003100660162930023,0.0034790731095736284,0.0050144962645504165,0.005101835508526165
590.5949188482934,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0035300798437432486,0.003535431127187944,0.003952110581221175,0.005716421660224569,0.005831609484630462
615.494720659125,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.003967613127183393,0.003967613127183393,0.004417497898844219,0.006403950886806342,0.006546236630015301
640.3945224699567,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.004397696842184198,0.004397696842184198,0.0048745271195925295,0.007076471620848679,0.007245096123028816
665.2943242807883,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0049678607132174575,0.0049678607132174575,0.005410113171492085,0.0077401069407926565,0.007927578843009542
690.1941260916199,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.005390059969052648,0.005390059969052648,0.005855473037658139,0.008381647708603168,0.008593087771714636
715.0939279024516,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.005802943997381741,0.005802943997381741,0.0062904851648653394,0.009006388125732201,0.009241038411687441
739.9937297132832,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.006206016474599589,0.006206016474599589,0.00671464200965009,0.009613764528165801,0.009870859166994705
764.8935315241148,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.006598793512106719,0.006598793512106719,0.007127455291465984,0.010203226458162361,0.010481991751134956
789.7933333349464,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.007119189383619443,0.007119189383619443,0.0076776977871824805,0.010971734730389926,0.011270751201664098
814.693135145778,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.007496917910111,0.007496917910111,0.008074324034745856,0.011536939308371075,0.011856758281624025
839.5929369566096,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.007862681994487091,0.007862681994487091,0.008457903000545308,0.012082138554717403,0.012421942109540396
864.4927387674412,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008216048375277663,0.008216048375277663,0.008828006887922764,0.012606833780012039,0.01296579625125105
889.3925405782728,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008556597899857275,0.008556597899857275,0.009184222479533564,0.013110541432752143,0.013487829529026385
914.2923423891045,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008883925831388561,0.008883925831388561,0.009526151115176119,0.013592793456837171,0.013987566393893758
939.1921441999361,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.00919764215256046,0.00919764215256046,0.00985340876257723,0.014053137632799917,0.01446454725203239
964.0919460107677,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.009497371860741241,0.009497371860741241,0.010165626154094764,0.014491137917048036,0.014918328831072358
988.9917478215993,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.009782755252844723,0.009782755252844723,0.010462448954268067,0.014906374767917896,0.015348484497508252
1013.891549632431,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010053448204864195,0.010053448204864195,0.010743537959208025,0.015298445467919919,0.015754604588551047
1038.7913514432626,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01030912244000466,0.01030912244000466,0.01100856931010888,0.015666964431716224,0.01613629671851413
1063.6911532540942,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010549465794713709,0.010549465794713709,0.01125723471843089,0.016011563511199256,0.016493186116690595
1088.5909550649258,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01077418246704691,0.01077418246704691,0.01148924169103197,0.0163318922929534,0.016824915881784364
1113.4907568757574,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010982993261538263,0.010982993261538263,0.01170431375678308,0.016627618360246288,0.017131147302961836
1138.390558686589,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01117563582349043,0.01117563582349043,0.011902190694302357,0.016898427588785125,0.01741156010746181
1163.2903604974206,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011351864864907165,0.011351864864907165,0.012082628753383362,0.017144024392621304,0.01766585277118793
1188.1901623082522,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011511452378580278,0.011511452378580278,0.012245400869597023,0.01736413198665332,0.01789374271595534
1213.0899641190838,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011654187842252887,0.011654187842252887,0.012390296874995864,0.01755849260979403,0.018094966608487084
1237.9897659299154,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01177987841292487,0.01177987841292487,0.01251712369868815,0.017726867773831145,0.018269280552090095
1262.889567740747,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011888349114527838,0.011888349114527838,0.012625705563693537,0.01786903846630139,0.01841646033278721
1287.7893695515786,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011979443007267183,0.011979443007267183,0.012715884170041512,0.017984805351431987,0.018536301616450146
1312.6891713624102,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012053021353582858,0.012053021353582858,0.012787518874177865,0.018073988981598177,0.018628620152639996
1337.5889731732418,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012108963768744088,0.012108963768744088,0.012840486857166298,0.018136429958758526,0.018693251948661782
1362.4887749840734,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012147168362712218,0.012147168362712218,0.01287468328569269,0.01817198911601281,0.01873005345942147
1387.388576794905,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012167551866861187,0.012167551866861187,0.01289002146252231,0.018180547663860125,0.018738901721803813
1412.2883786057366,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012170049757195732,0.012170049757195732,0.012886432975947408,0.01816200734492668,0.018719694530886954
1437.1881804165682,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012154616354480148,0.012154616354480148,0.012863867829725293,0.018116290544867297,0.018672350536803606
1462.0879822273998,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01212122492499783,0.01212122492499783,0.01282229458221321,0.018043340426686427,0.01859680940447106
1486.9877840382314,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012320026460289075,0.012320026460289075,0.012945849737976437,0.017961644275959542,0.01849303187248097
1511.887585849063,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01224796073854956,0.01224796073854956,0.01286459852915995,0.017833985889558333,0.018360999899641683
1536.7873876598946,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012157602440872021,0.012157602440872021,0.012764079612170255,0.017679016709922734,0.018200716691467278
1561.6871894707263,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.012049000485728812,0.012049000485728812,0.012644336787218814,0.017496763788835776,0.018012206799539854
1586.586991281558,middle_formal,1770.0,2160.0,41,30,11,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01192222309587502,0.01192222309587502,0.01250543309647065,0.01728727533770211,0.017795516160049374
1611.4867930923897,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011974504135533578,0.011974504135533578,0.012564413212205474,0.01737907190278065,0.01788889366901003
1636.3865949032213,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011807913061932507,0.011807913061932507,0.012383309633084618,0.01710936051773615,0.017609958777711654
1661.286396714053,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011623121693688634,0.011623121693688634,0.012182963803422486,0.016812062070584943,0.017302458334370385
1686.1861985248845,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011420275096200737,0.011420275096200737,0.011963516489680377,0.01648730872801707,0.016966523095334196
1711.086000335716,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.011199537699080647,0.011199537699080647,0.011725128563185224,0.01613525399397986,0.016602305396531847
1735.9858021465477,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010961093262615636,0.010961093262615636,0.011467981265802753,0.015756072684666833,0.01620997914005784
1760.8856039573793,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010705144823473787,0.010705144823473787,0.011192276532847547,0.015349960879063929,0.01578973972254971
1785.785405768211,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.01043191463400255,0.01043191463400255,0.010898237417271101,0.014917135850282648,0.01534180398459739
1810.6852075790425,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.010141644082299565,0.010141644082299565,0.010586108632628446,0.014457835989787782,0.014866410120816909
1835.5850093898741,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.009834593604758142,0.009834593604758142,0.010256157276470624,0.013972320718096398,0.014363817603566531
1860.4848112007057,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.009511042586844327,0.009511042586844327,0.009908673797259215,0.013460870373251055,0.013834307066531437
1885.3846130115373,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.009171289248672932,0.009171289248672932,0.009543973294537624,0.012923786103158363,0.013278180185579913
1910.284414822369,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008815650517278536,0.008815650517278536,0.009162397296020029,0.012361389716431859,0.01269575954006541
1935.1842166332005,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008444461892795076,0.008444461892795076,0.008764316220827713,0.011774023543125622,0.012087388484815165
1960.0840184440322,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.008058077296573908,0.008058077296573908,0.008350132825728242,0.01116205027972228,0.011453430949813992
1984.9838202548638,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.007656868909931848,0.007656868909931848,0.007920287114759235,0.01052585280291396,0.010794271296276747
2009.8836220656954,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.007241226999949944,0.007241226999949944,0.007475263452374293,0.00986583398696439,0.010110314124858633
2034.783423876527,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.006811559737273808,0.006811559737273808,0.007015601089476748,0.009182416508338065,0.009401984048167833
2059.6832256873586,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0063682929979867985,0.0063682929979867985,0.006541910099005254,0.008476042623897229,0.00866972550375067
2084.5830274981904,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0059118701549323305,0.0059118701549323305,0.006054896187376689,0.007747173946540897,0.00791400250523111
2109.4828293090222,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.005442751859383803,0.005442751859383803,0.00555540058762369,0.006996291204529825,0.0071352984036821
2134.3826311198536,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.004961415813014473,0.004961415813014473,0.005044466668150913,0.006223893991545992,0.006334115648314764
2159.2824329306854,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.004468356524523275,0.004468356524523275,0.004523456219318645,0.005430500509248759,0.005510975487595715
2184.182234741517,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0039640850591717205,0.0039640850591717205,0.003994263539028866,0.004616647273905983,0.004666417724138228
2209.0820365523487,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0034491287773298317,0.0034491287773298317,0.0034597353276439855,0.003782888847126742,0.0038010004010402554
2233.98183836318,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.002924031060952955,0.002924031060952955,0.002924558826627396,0.00297447108630422,0.0029749761476978165
2258.881640174012,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0023893510330869885,0.0023893510330869885,0.0023973130741715247,0.00263867810457441,0.002652469539611957
2283.7814419848432,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0018456632671711392,0.0018456632671711392,0.0018956643295497508,0.0024712680155403177,0.002532074717919386
2308.6812437956746,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0012935574814770417,0.0012935574814770417,0.0014601928701210526,0.0023050914059581373,0.0024140841909456867
2333.5810456065064,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.0007336382318132359,0.0009699536103139948,0.0011835707134621608,0.0021407206908747867,0.002299067295552959
2358.480847417338,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,-0.00016652459099796328,0.0010325369147091306,0.0011980432519391132,0.001978741317998356,0.002187606226243588
2383.3806492281697,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.00040715018070063854,0.0012934312940197127,0.0015063162129483408,0.0025605378684190327,0.002790425674220387
2408.2804510390015,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0009867389722059319,0.0016653091892067096,0.0019831332608967844,0.0035315129042032822,0.003800545102990327
2433.180252849833,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0015715811657555018,0.002105135326041085,0.002540684775324601,0.004516643307397317,0.00482573408726239
2458.0800546606647,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0021610029927446265,0.0025914998032351743,0.0031402628908182456,0.005515212336320019,0.005865270522122046
2482.979856471496,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0027543178946269754,0.003107946683265313,0.003764818360507857,0.006526489076463804,0.0069184179669719015
2507.879658282328,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0033508268876146522,0.003646586380880528,0.004405942748248739,0.007549728824358226,0.007984426038660786
2532.7794600931593,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.0039498189443689154,0.004198957063173962,0.005058941661536838,0.008584173523559002,0.009062530843380046
2557.679261903991,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.004550571373376824,0.00476872070016505,0.005720875886547287,0.009629052173352193,0.010151955391847878
2582.5790637148225,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.005152350208882419,0.005341626351940748,0.006389708474840359,0.010683581251043961,0.011251910046894409
2607.4788655256543,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.005754410606142858,0.005926096675833129,0.007063899802219295,0.01174696515784035,0.012361592940465016
2632.3786673364857,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.006355997245152374,0.006513630957431727,0.007742200527532777,0.012818396656655295,0.013480190449058682
2657.2784691473175,middle_formal,1770.0,2160.0,41,31,10,lambda_M_leave027-lambda_M_local_fullfit_camera_Z_mm,0.006956344734487262,0.0071019945087520625,0.00842353898223156,0.01389705731031654,0.014606877609367075
