evaluation_scope,weighting,residual_definition,model,region,count,bias,mae,rmse,p95,max_abs,frame_count,delta_bias_vs_M_local_fullfit_mm,delta_rmse_vs_M_local_fullfit_mm,delta_p95_vs_M_local_fullfit_mm
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,global,26664,-0.002292116334284686,0.06661000272949685,0.09917692082073569,0.16375581510635584,0.6197770723739495,30,-0.005076224648356984,0.0006598754387901473,0.0012934458690097017
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,top_formal_edge,81,0.1728811063837277,0.17489765061453244,0.21280322630859358,0.4489312702845609,0.5155553553942127,7,-0.022183085081803583,-0.018763156810769954,-0.024229414845649444
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,middle_formal,26427,-0.0021901663952096882,0.06601243090602894,0.0984996052133183,0.162870107245908,0.6197770723739495,30,-0.004809878460596342,0.0005541882477641535,0.0016329119780493784
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M0,bottom_formal_edge,156,-0.11051815530924632,0.11161468926858858,0.11879036203532412,0.16984285403202648,0.20463806447230581,7,-0.041312831139335385,0.04180801466505099,0.055046279497560135
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,global,26663,0.002784108314072298,0.06564855839717099,0.09851704538194554,0.16246236923734614,0.6211705238074501,30,0.0,0.0,0.0
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,top_formal_edge,81,0.19506419146553128,0.1962110972518758,0.23156638311936353,0.47316068513021037,0.5399540153945281,7,0.0,0.0,0.0
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,middle_formal,26426,0.002619712065386654,0.06521991421725934,0.09794541696555414,0.16123719526785862,0.6211705238074501,30,0.0,0.0,0.0
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_local_fullfit,bottom_formal_edge,156,-0.06920532416991093,0.0704676959043134,0.07698234737027312,0.11479657453446634,0.1563901783933943,7,0.0,0.0,0.0
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,global,26663,0.009148406476936337,0.06601648216531557,0.09923493944085303,0.1602840303553421,0.6288572145588205,30,0.006364298162864039,0.0007178940589074867,-0.0021783388820040273
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,top_formal_edge,81,0.19300428055579585,0.19424646445173088,0.22980814720140152,0.47086936137475277,0.5375299036364822,7,-0.002059910909735424,-0.0017582359179620088,-0.002291323755457597
baseline_fit_30,point_equal,e_lambda=lambda_truth-lambda_model_camera_Z_mm,M_leave027,middle_formal,26426,0.009082202021600807,0.06556579129714607,0.09866298951006526,0.15917851301912833,0.6288572145588205,30,0.006462489956214153,0.0007175725445111164,-0.0020586822487302925
