bin_width_px,v_start_px,v_end_px,v_center_px,region,model,status,unique_frame_count,point_count,lambda_ref_mm,lambda_min_mm,lambda_max_mm,lambda_span_mm,crossframe_median_lambda_span_mm,b0_offset_only_mm,b0_mm,b1_mm_per_mm,design_condition_number_standardized,corr_lambda_residual,total_energy,offset_remaining_energy,depth_remaining_energy,offset_explained_fraction,offset_plus_depth_explained_fraction,incremental_depth_explained_fraction,offset_rmse_mm,depth_rmse_mm,depth_usable,bootstrap_count,b0_p05_mm,b0_p50_mm,b0_p95_mm,b1_p05_mm_per_mm,b1_p50_mm_per_mm,b1_p95_mm_per_mm,b1_bootstrap_sign_consistency,b1_loo_min_mm_per_mm,b1_loo_max_mm_per_mm,b1_loo_sign_consistency,b1_stable,row_type,total_energy_frame_equal,offset_remaining_energy_frame_equal,offset_plus_depth_remaining_energy_frame_equal,before_rmse_mm,offset_plus_depth_rmse_mm,depth_rmse_reduction_vs_offset_fraction,frame_mean_std_before_mm,frame_mean_std_after_offset_mm,frame_mean_std_after_offset_plus_depth_mm
30,0,30,15.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,30,15.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,60,45.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,60,45.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,60,90,75.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,60,90,75.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,90,120,105.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,90,120,105.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,120,150,135.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,120,150,135.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,150,180,165.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,150,180,165.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,180,210,195.0,top_formal_edge,M0,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,180,210,195.0,top_formal_edge,M_current29_circular,unsupported,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,210,240,225.0,top_formal_edge,M0,single_frame_only,1,1,694.7087404922958,694.7087404922958,694.7087404922958,0.0,0.0,0.04464677815144569,0.04464677815144569,0.0,1.0,nan,0.001993334799304408,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,
30,210,240,225.0,top_formal_edge,M_current29_circular,single_frame_only,1,1,694.7087404922958,694.7087404922958,694.7087404922958,0.0,0.0,0.0673111995531599,0.0673111995531599,0.0,1.0,nan,0.004530797585285313,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,
30,240,270,255.0,top_formal_edge,M0,depth_excitation_weak,2,15,667.5394126128365,641.5263058431607,693.8169205374309,52.290614694270175,51.9935706338174,0.10512905170577887,0.10508532011267165,0.0026428460597359765,1.1306635673948235,0.8209706499510794,0.037803350462889546,0.01569911543777689,0.006245045584618076,0.5847162951022488,0.8348017964505909,0.2500855013483422,0.08859772976148117,0.055879538225624574,False,500,0.10508532011267166,0.10508532011267166,193.9091745890917,-0.0055168807972737575,0.0026428460597359787,7.457157795307346,0.756,-0.0055168807972737575,7.457157795307346,0.5,False,,,,,,,,,,
30,240,270,255.0,top_formal_edge,M_current29_circular,depth_excitation_weak,2,15,667.5394126128365,641.5263058431607,693.8169205374309,52.290614694270175,51.9935706338174,0.1346451038724271,0.1346058458016617,0.002372496180982796,1.1306635673948235,0.7904610143582989,0.05012531468260036,0.013866706688967001,0.006247914697181907,0.723359209278332,0.8753541052710697,0.15199489599273777,0.08326676014162855,0.055892372901773936,False,500,0.1346058458016617,0.1346058458016617,193.9116073285648,-0.003908888794738594,0.002372496180982798,7.455845512886037,0.77,-0.003908888794738594,7.455845512886037,0.5,False,,,,,,,,,,
30,270,300,285.0,top_formal_edge,M0,depth_informative,7,65,693.172126170165,641.5588546652056,713.6828851676036,72.124030502398,72.10230184715533,0.15630673270401882,0.1291118844996406,-0.0023806016607008694,1.5572682430223688,-0.4337854380683706,0.2895652738131321,0.11854271099289294,0.09371135691954029,0.5906183451079384,0.6763722538773211,0.08575390876938273,0.13013328935743038,0.11570365898618534,True,500,0.0811112333206282,0.12831143262742956,0.1825673492314546,-0.007472607942674299,-0.002380601660700871,0.0003654333625954067,0.896,-0.005459547924185538,-0.00014659628847495305,1.0,False,,,,,,,,,,
30,270,300,285.0,top_formal_edge,M_current29_circular,depth_informative,7,65,693.172126170165,641.5588546652056,713.6828851676036,72.124030502398,72.10230184715533,0.18105634173552868,0.15053755756373663,-0.002671574694439469,1.5572682430223688,-0.48224285310303805,0.3546698710216936,0.1252000788431258,0.09392765234851022,0.6469954482390531,0.7351687864606772,0.08817333822162411,0.13373752483509618,0.11583710998547561,True,500,0.10107248524429187,0.14807694822278306,0.19433620500460247,-0.007536707979997764,-0.0026669905642521755,0.00020714405955141174,0.92,-0.005757146744241093,-0.00043703022521938273,1.0,False,,,,,,,,,,
30,300,330,315.0,middle_formal,M0,depth_informative,8,92,693.5257400838894,641.5707929324437,713.6567005792656,72.08590764682185,72.0468203354801,0.14036234929091526,0.13065253407725647,-0.0010779719930178147,1.4326277391583557,-0.550947375040248,0.23040766305905405,0.07279495027133484,0.06718084279513385,0.684060203098899,0.7084261786123179,0.024365975513418923,0.09539061161307676,0.09163844907783922,True,500,0.09353371223385709,0.1319437081445801,0.16494084128442166,-0.004260824574727193,-0.0010804315546207857,0.001322503044015757,0.692,-0.0036630691427610297,0.0004825723378816563,0.875,False,,,,,,,,,,
30,300,330,315.0,middle_formal,M_current29_circular,depth_informative,8,92,693.5257400838894,641.5707929324437,713.6567005792656,72.08590764682185,72.0468203354801,0.16353867964559066,0.15117205518927843,-0.0013729277559598892,1.4326277391583557,-0.5956727167809664,0.2904327755600219,0.07647357763823671,0.06736687538045738,0.7366909520085057,0.768046580656889,0.03135562864838342,0.09777114709759516,0.09176524081893521,True,500,0.11565495189778395,0.15588245831849326,0.18866830095823967,-0.0048278299232903344,-0.0016480798896690418,0.0008223121934172807,0.81,-0.003964844513115451,0.0001883746308263671,0.875,False,,,,,,,,,,
30,330,360,345.0,middle_formal,M0,depth_informative,8,116,693.3049367103166,641.6086132212143,713.6307443236843,72.02213110246998,71.99296598581827,0.11477267140893789,0.10900431403253279,-0.0006520694732070923,1.4230125891278027,-0.3873752752908653,0.13628031110266448,0.030898182283912227,0.028845284929037852,0.773274789043917,0.7883385744012006,0.015063785357283626,0.062147186464787195,0.060047153272488545,True,500,0.07817872616758262,0.11391507436298853,0.14272727767635035,-0.0025379030631795057,-0.0005934743565634991,0.00048657477163943804,0.776,-0.0018474219645026103,-0.00014572357197194745,1.0,False,,,,,,,,,,
30,330,360,345.0,middle_formal,M_current29_circular,depth_informative,8,116,693.3049367103166,641.6086132212143,713.6307443236843,72.02213110246998,71.99296598581827,0.13723288670117723,0.12883991013936918,-0.0009487629576634034,1.4230125891278027,-0.4871555431497865,0.18403264794552496,0.033369726406819775,0.0290236742141105,0.8186749645818416,0.8422906232229961,0.02361565864115447,0.06458495026592861,0.06023254333633781,True,500,0.09800310745441346,0.1335438228222852,0.16366173075860457,-0.0029724934078476507,-0.001114620257837325,0.00021637876612864556,0.918,-0.0021502511485166614,-0.00044227147518883684,1.0,False,,,,,,,,,,
30,360,390,375.0,middle_formal,M0,depth_informative,9,127,694.2830027410745,641.6415883190558,713.604473173647,71.96288485459115,71.93918699354629,0.09622996758849499,0.09307497881730052,-0.00040293615989891334,1.3816440744958327,-0.3772703958513011,0.11329420251535327,0.029952342556608138,0.029118453418841717,0.7356233426635481,0.7429837293316428,0.007360386668094642,0.05768915029574755,0.056880433482917804,True,500,0.06166265250085298,0.09534461386283183,0.12123388312544169,-0.0024943440988734783,-0.0006257381725661215,0.0008593876219820036,0.732,-0.0018057989549549026,0.00019850586920495253,0.8888888888888888,False,,,,,,,,,,
30,360,390,375.0,middle_formal,M_current29_circular,depth_informative,9,127,694.2830027410745,641.6415883190558,713.604473173647,71.96288485459115,71.93918699354629,0.11730902581223938,0.11180990202565262,-0.0007023149627683458,1.3816440744958327,-0.4788721658254254,0.15566628395023074,0.03181361611708108,0.029280239996040694,0.7956293725926389,0.8119037774075593,0.01627440481492028,0.05945457287064833,0.05703823278784221,True,500,0.08627843949685658,0.11528869109187825,0.13961163396233284,-0.0027658806667806455,-0.000786585350744169,0.0006556901991270097,0.768,-0.002110924876695142,-0.00010043141435685831,1.0,False,,,,,,,,,,
30,390,420,405.0,middle_formal,M0,depth_informative,13,174,690.317884620051,631.5503788651798,713.5770916011572,82.02671273597741,81.92879778233328,0.07626405357249462,0.07644207545549961,1.8734067235021926e-05,1.470653911190812,0.0416758673520953,0.12716732575089915,0.05155664947589081,0.05155375213482534,0.5945762862318722,0.5945990699229529,2.2783691080715777e-05,0.06297536116236302,0.062973591616966,True,500,0.049786105568128715,0.07717757375742294,0.09834950552080131,-0.001121004277088119,-6.739730245181218e-05,0.0012787539628991036,0.454,-0.0005116853986533103,0.00042312546464336133,0.5384615384615384,False,,,,,,,,,,
30,390,420,405.0,middle_formal,M_current29_circular,depth_informative,13,174,690.317884620051,631.5503788651798,713.5770916011572,82.02671273597741,81.92879778233328,0.09827098093706517,0.09563070462271707,-0.00027784850467323015,1.470653911190812,-0.07630196470471573,0.17781263573312908,0.0522692217067997,0.05163191043378105,0.7060432657595369,0.7096274388999382,0.0035841731404013515,0.06340906372169135,0.06302130923729811,True,500,0.07220914539237457,0.09658288169052592,0.11760900441343321,-0.0013468623274248265,-0.00031503578192839526,0.0008638882309211271,0.668,-0.0008090694664806181,0.00012106113932288462,0.8461538461538461,False,,,,,,,,,,
30,420,450,435.0,middle_formal,M0,depth_informative,13,174,689.6456660227997,632.2281429406121,713.5513980270506,81.32325508643851,81.29455295265734,0.04029988875958938,0.043288299358978564,0.00033806923374091224,1.4663986791164358,-0.11458686819185988,0.06596021302818528,0.044847159585726666,0.04391384807110103,0.3200877085317606,0.3342373219392677,0.01414961340750707,0.05873484065351977,0.05812046380717912,True,500,0.021747210667583675,0.044258924750692576,0.06565115155512245,-0.0009648271591488334,0.0003450996333922444,0.0011538779094825017,0.694,7.262147225821025e-06,0.0007049413191993862,1.0,False,,,,,,,,,,
30,420,450,435.0,middle_formal,M_current29_circular,depth_informative,13,174,689.6456660227997,632.2281429406121,713.5513980270506,81.32325508643851,81.29455295265734,0.061624821757686216,0.06196279671961665,3.823401524101134e-05,1.4663986791164358,-0.22853558927834192,0.0934779168348295,0.04410887429816376,0.04409693674982193,0.5281358871518095,0.5282635916273266,0.0001277044755171414,0.05824938051711779,0.05824149772866946,True,500,0.037883374270472135,0.06264913553619819,0.08505243542606479,-0.0014236278530087385,1.425955441640313e-05,0.0008595364975816254,0.51,-0.00029669547384991095,0.00040566037834521075,0.46153846153846156,False,,,,,,,,,,
30,450,480,465.0,middle_formal,M0,depth_informative,14,204,687.82335277033,633.1378410413779,713.5259355338092,80.38809449243126,80.34939677030854,0.029904255392757605,0.029847679825299636,-6.3055008096957765e-06,1.5268919785793182,-0.11130910491513843,0.07184784139470352,0.05932813852636971,0.05932779147872227,0.17425301338638044,0.1742578437005653,4.83031418484477e-06,0.06509780472838526,0.06509761432907742,True,500,0.005278074394031466,0.03263806222456897,0.05457687539839875,-0.001165780377260078,-2.7352398337250363e-05,0.0009001106287944058,0.524,-0.0005021619453359017,0.00039313829318966993,0.6428571428571429,False,,,,,,,,,,
