model_id,model_family,interior_knot_count,basis_count,smoothness,smoothness_penalty,split,heldout_frame_id,region,training_frame_count,training_point_count,point_count,bias_mm,rmse_mm,p95_abs_mm
C0,C0_frozen_cone,0,0,none,0.0,test,001,global,29,25841,822,0.014381148136257476,0.07687830320110613,0.1378491128957762
C0,C0_frozen_cone,0,0,none,0.0,test,001,top,29,25841,0,nan,nan,nan
C0,C0_frozen_cone,0,0,none,0.0,test,001,middle,29,25841,822,0.014381148136257476,0.07687830320110613,0.1378491128957762
C0,C0_frozen_cone,0,0,none,0.0,test,001,bottom,29,25841,0,nan,nan,nan
C0,C0_frozen_cone,0,0,none,0.0,train,001,global,29,25841,25841,0.008732995476210929,0.09964117629085738,0.16276305817143566
C0,C0_frozen_cone,0,0,none,0.0,train,001,top,29,25841,81,0.19757503178806737,0.2347515075974984,0.4821938258553473
C0,C0_frozen_cone,0,0,none,0.0,train,001,middle,29,25841,25604,0.008619419093902148,0.09904001994764002,0.16165535744084988
C0,C0_frozen_cone,0,0,none,0.0,train,001,bottom,29,25841,156,-0.07067851252780417,0.07792808735986927,0.1129742372501994
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,test,001,global,29,25841,822,0.0022566849735024797,0.06931574712788859,0.12677133736417281
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,test,001,top,29,25841,0,nan,nan,nan
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,test,001,middle,29,25841,822,0.0022566849735024797,0.06931574712788859,0.12677133736417281
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,test,001,bottom,29,25841,0,nan,nan,nan
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,train,001,global,29,25841,25841,-7.686731442101026e-05,0.09452419580376772,0.15496089947714822
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,train,001,top,29,25841,81,0.058796476341293855,0.14259752325346634,0.35818286128526805
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,train,001,middle,29,25841,25604,7.286080971346353e-05,0.09449367764762347,0.15493332940135365
C1_3k,C1_cubic_spline_F_s,3,7,moderate_second_difference,0.1,train,001,bottom,29,25841,156,-0.05522032709936967,0.06295047560977442,0.09393070161480949
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,test,001,global,29,25841,822,0.0013548839258992207,0.0660687710608169,0.12245037061385092
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,test,001,top,29,25841,0,nan,nan,nan
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,test,001,middle,29,25841,822,0.0013548839258992207,0.0660687710608169,0.12245037061385092
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,test,001,bottom,29,25841,0,nan,nan,nan
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,train,001,global,29,25841,25841,-8.96658080031462e-05,0.09215142206923012,0.15089494314537155
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,train,001,top,29,25841,81,0.027931388181064887,0.13378468233667848,0.3305553782170882
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,train,001,middle,29,25841,25604,0.00012264996034966143,0.09216329469427592,0.1507937369351916
C1_4k,C1_cubic_spline_F_s,4,8,moderate_second_difference,0.1,train,001,bottom,29,25841,156,-0.04948606520556601,0.05699650164961201,0.08306512848253418
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,test,001,global,29,25841,822,0.0013476149196688433,0.06630981047381632,0.123701424656314
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,test,001,top,29,25841,0,nan,nan,nan
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,test,001,middle,29,25841,822,0.0013476149196688433,0.06630981047381632,0.123701424656314
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,test,001,bottom,29,25841,0,nan,nan,nan
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,train,001,global,29,25841,25841,-9.771069104838801e-05,0.09156984008235276,0.15030211707888794
C1_5k,C1_cubic_spline_F_s,5,9,moderate_second_difference,0.1,train,001,top,29,25841,81,0.0066579282939528365,0.1316587664051812,0.3114545995321286
