model,split,total_points,valid_intersections,valid_rate,surface_count,surface_mean_signed_mm,surface_mae_mm,surface_rmse_mm,surface_median_abs_mm,surface_p95_abs_mm,surface_max_abs_mm,board_count,board_mean_signed_mm,board_mae_mm,board_rmse_mm,board_median_abs_mm,board_p95_abs_mm,board_max_abs_mm,ray_count,ray_mean_signed_mm,ray_mae_mm,ray_rmse_mm,ray_median_abs_mm,ray_p95_abs_mm,ray_max_abs_mm,region,frame_count,v_min_px,v_max_px,pca_s_min,pca_s_max,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,v_trend_slope,v_trend_rho,v_binned_median_range_mm,v_within_bin_rmse_mm,s_trend_slope,s_trend_rho,s_binned_median_range_mm,s_within_bin_rmse_mm,selection_score
global_plane,fit,32400,32400,1.0,32400,0.006824906184435673,0.08406341110718192,0.10626226838485403,0.07270186000120304,0.22565213999192507,0.439265468773101,32400,-0.023898319390314098,0.2667743672594805,0.33731680005033404,0.2319116263355454,0.6852067760942248,1.4853004310758706,32400,0.024283583474457367,0.2769810031515636,0.3516830421777009,0.23914485422587278,0.7331543811375125,1.531329919255403,Global,36,0.027328475540391712,2999.0647167310135,-0.19654705108935674,0.21254672547135295,-0.023898319390314098,0.2667743672594805,0.33731680005033404,0.6852067760942248,1.4853004310758706,-5.407868924972195e-05,-0.11724627070154121,1.3518462217692218,0.10307545967198092,-0.3975665654500917,-0.11739721448751819,1.3525254225314143,0.10328388038103145,2.8381042221628934
global_plane,fit,1886,1886,1.0,1886,0.14428441945947965,0.14434361228998083,0.1485667462065161,0.14389734162006107,0.20295657257936028,0.26097058340707235,1886,-0.4562563703569007,0.4564404512170575,0.4720416622219174,0.4533980507821411,0.6658332660045687,0.898646604979831,1886,0.47254331765536617,0.47273083889671286,0.4882106034691826,0.4722484219617301,0.6752478805109813,0.9187893405023478,Top,22,0.027328475540391712,299.99739356403313,-0.19654705108935674,-0.15546487258225122,-0.4562563703569007,0.4564404512170575,0.4720416622219174,0.6658332660045687,0.898646604979831,,,,,,,,,2.8381042221628934
global_plane,fit,29048,29048,1.0,29048,-0.016489160442854135,0.06965845460185303,0.08175457090462486,0.06590787615380123,0.1371711472869336,0.26298023460407194,29048,0.049663126941491366,0.22122770115196552,0.2587726153813064,0.2102319929857117,0.43863532159024315,0.9021077623106066,29048,-0.05238019855078723,0.229465117218872,0.2697349476920496,0.21633465624891104,0.45390304199113135,0.9136152816269593,Middle,36,300.0003809240109,2699.9984093480143,-0.15588076400682474,0.17130396980778956,0.049663126941491366,0.22122770115196552,0.2587726153813064,0.43863532159024315,0.9021077623106066,,,,,,,,,2.8381042221628934
global_plane,fit,1466,1466,1.0,1466,0.2919397529462238,0.2919397529462238,0.29786741963037566,0.28820494540208585,0.39822600070155545,0.439265468773101,1466,-0.9252527593107117,0.9252527593107117,0.9493169936621378,0.9088872518944413,1.2814190454156176,1.4853004310758706,1466,0.9666517155372891,0.9666517155372891,0.9925686320620017,0.9485516457284027,1.3793742286090456,1.531329919255403,Bottom,18,2700.9749513293914,2999.0647167310135,0.17123677424118786,0.21254672547135295,-0.9252527593107117,0.9252527593107117,0.9493169936621378,1.2814190454156176,1.4853004310758706,,,,,,,,,2.8381042221628934
quadratic_graph,fit,32400,32400,1.0,32400,-0.0012747468375778886,0.022185896157480303,0.03110265234586161,0.0171651921351474,0.05548608489979072,0.21588246038410502,32400,0.0032366154644172117,0.06990477351109375,0.09646950445842767,0.05436120305256509,0.17603201847276181,0.6313887208914366,32400,-0.004205680912698662,0.07276373702421543,0.10198419779025228,0.056127474326305715,0.18206415421909986,0.7236350078029776,Global,36,0.027328475540391712,2999.0647167310135,-0.19654705108935674,0.21254672547135295,0.0032366154644172117,0.06990477351109375,0.09646950445842767,0.17603201847276181,0.6313887208914366,-1.5959419300003112e-06,-0.012075072526650037,0.2747277660532177,0.07983953471187333,-0.011880988254147714,-0.012243350618034778,0.27390741266253826,0.07982247830310753,0.5903431020614233
quadratic_graph,fit,1886,1886,1.0,1886,-0.03396271854276997,0.040151670548861484,0.04620382144038671,0.042579483641024596,0.0714770335386243,0.16027342558462254,1886,0.10820438811424092,0.1266579870918731,0.14614813217579026,0.1344815063669671,0.23009546303222805,0.5137404229884623,1886,-0.11261838189162796,0.1316574090398103,0.15200088863619396,0.14110072400920132,0.23700237002163133,0.5440728687316926,Top,22,0.027328475540391712,299.99739356403313,-0.19654705108935674,-0.15546487258225122,0.10820438811424092,0.1266579870918731,0.14614813217579026,0.23009546303222805,0.5137404229884623,,,,,,,,,0.5903431020614233
quadratic_graph,fit,29048,29048,1.0,29048,-0.0005326983848381223,0.020718834005964117,0.02982233027574658,0.015926481440148348,0.05098577310666994,0.21588246038410502,29048,0.0007444726962780497,0.06527764971573735,0.09212987575901627,0.050444324861189216,0.16363028060141568,0.6313887208914366,29048,-0.0017149853559222787,0.06795505478582113,0.09774931726551327,0.052178938830767504,0.16767480116789488,0.7236350078029776,Middle,36,300.0003809240109,2699.9984093480143,-0.15588076400682474,0.17130396980778956,0.0007444726962780497,0.06527764971573735,0.09212987575901627,0.16363028060141568,0.6313887208914366,,,,,,,,,0.5903431020614233
quadratic_graph,fit,1466,1466,1.0,1466,0.026074837869657808,0.02814208365754662,0.0317977675144918,0.02808115514507744,0.051136590710322144,0.14124419682066935,1466,-0.08242331365472408,0.08857607719060435,0.10008766203057662,0.088868879265533,0.1619406309187923,0.41004506310605393,1466,0.0859148030661692,0.09227883677828476,0.10400876880122568,0.09271603477509327,0.16700575314687918,0.42135036980557766,Bottom,18,2700.9749513293914,2999.0647167310135,0.17123677424118786,0.21254672547135295,-0.08242331365472408,0.08857607719060435,0.10008766203057662,0.1619406309187923,0.41004506310605393,,,,,,,,,0.5903431020614233
circular_cone,fit,32400,32400,1.0,32400,-0.0009811437261995186,0.02210795716825459,0.03131564004927707,0.016861252683844474,0.05584933851296353,0.22319415861318936,32400,0.002049471535654986,0.06962031572501215,0.09672833056417152,0.05352432991298883,0.17898388892834874,0.6438055239515279,32400,-0.0029682887564903013,0.07247166017344502,0.10233314367227038,0.05531484065924432,0.18394148405271954,0.7378659135540537,Global,36,0.027328475540391712,2999.0647167310135,-0.19654705108935674,0.21254672547135295,0.002049471535654986,0.06962031572501215,0.09672833056417152,0.17898388892834874,0.6438055239515279,1.068928798214662e-06,0.008063261272321333,0.28229335406581413,0.0795078327713915,0.0077073132179597695,0.007918447118686252,0.2815862686231867,0.079521022091701,1.5876375111176606
circular_cone,fit,1886,1886,1.0,1886,-0.0338313803308497,0.03794740524457463,0.04500395271327651,0.0362340720889072,0.0781171112168674,0.149414852282382,1886,0.10582488120431928,0.11815705023826158,0.13939158526713322,0.11407069480623022,0.23551027515577516,0.47588552632737446,1886,-0.11024699235069932,0.12293520239588705,0.14513096218712682,0.12056307854507224,0.24330109733178426,0.5039829297269599,Top,22,0.027328475540391712,299.99739356403313,-0.19654705108935674,-0.15546487258225122,0.10582488120431928,0.11815705023826158,0.13939158526713322,0.23551027515577516,0.47588552632737446,,,,,,,,,1.5876375111176606
