model,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,fold_count,frame_ids,valid_intersections,valid_rate,bias_mm,mae_mm,rmse_mm,p95_mm,max_abs_mm,mean_frame_rmse_mm,std_frame_rmse_mm,mean_fold_rmse_mm,std_fold_rmse_mm,selection_score,selection_rank
global_plane,v_0000_0100,0.0,100.0,323,11,6,"004,014,015,018,025,028,029,030,052,053,054",323,1.0,-0.5516100270479581,0.5516100270479581,0.5600741070326107,0.7014762335733735,0.8694934127832994,0.5998559065560388,0.10201820773117987,0.5926875674424511,0.10216688819940217,1.0,3
global_plane,v_0100_0200,100.0,200.0,643,18,6,"003,004,007,009,010,011,014,015,018,025,026,027,028,029,030,052,053,054",643,1.0,-0.4887687564205031,0.4887687564205031,0.5012812974820139,0.6872217859117427,0.7958072580689759,0.49774236295570706,0.10756876966198965,0.5114160495925628,0.07150668374751598,1.0,3
global_plane,v_0200_0300,200.0,300.0,920,22,6,"003,004,005,007,008,009,010,011,014,015,017,018,025,026,027,028,029,030,034,052,053,054",920,1.0,-0.41191642121989597,0.4122170903982048,0.4243455826394484,0.5692123055183856,0.724621973486478,0.4059246600610445,0.07818132019275274,0.42773608186226125,0.04408802892192751,1.0,3
global_plane,v_0300_0400,300.0,400.0,976,26,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,032,033,034,052,053,054",976,1.0,-0.323511847781601,0.32385921207006685,0.33657223908787676,0.4558119024230223,0.5892916983102623,0.32254901408646813,0.0793351029092279,0.33998721548359234,0.04420058118040246,1.0,3
global_plane,v_0400_0500,400.0,500.0,1061,30,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1061,1.0,-0.27172918071176294,0.2726749387197757,0.28831218919418006,0.42138998804000494,0.6978054733498311,0.27495660869901084,0.07917500397841806,0.28983085699808264,0.042386008004417206,1.0,3
global_plane,v_0500_0600,500.0,600.0,1366,30,6,"003,004,005,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1366,1.0,-0.20096414933448833,0.20124533996355642,0.2194246017105393,0.3483929622523192,0.5967561475782759,0.21264517969837804,0.08247713526798983,0.22217187540697922,0.04693033156960314,1.0,3
global_plane,v_0600_0700,600.0,700.0,1363,31,6,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1363,1.0,-0.1544490528342549,0.1567453268937393,0.17557494018283015,0.30121257689726233,0.4243310479548654,0.16363821953450924,0.07297355513763724,0.17213217966823938,0.043445729531684414,1.0,3
global_plane,v_0700_0800,700.0,800.0,1003,31,6,"003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1003,1.0,-0.11819227334014766,0.12383901321435885,0.14155913025423894,0.24322962572254028,0.3891359140990289,0.12451890743513125,0.05748349512027746,0.13789336994346071,0.0390927822347729,1.0,3
global_plane,v_0800_0900,800.0,900.0,1177,33,6,"001,002,003,004,005,006,007,008,009,010,011,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,051,052,053,054",1177,1.0,-0.013606854222273439,0.07337557096329433,0.09233581782185281,0.18325074895333274,0.38895316451271356,0.08056639035595928,0.04047997060083794,0.08831005647283692,0.022311935689355224,1.0,3
global_plane,v_0900_1000,900.0,1000.0,1583,35,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,051,052,053,054",1583,1.0,0.09099125444169856,0.0988377526988465,0.12198163081083993,0.23996123866542118,0.38793660820817877,0.10240909750880951,0.05643153444800427,0.11117317393129554,0.041281488329617685,1.0,3
global_plane,v_1000_1100,1000.0,1100.0,1554,36,6,"001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,025,026,027,028,029,030,031,032,033,034,035,036,049,050,051,052,053,054",1554,1.0,0.1747731667935555,0.17525669695183188,0.18993170059145079,0.2873231359823136,0.5365864289615274,0.18094046495946375,0.06853228039050031,0.18420195303668022,0.043231698008596775,1.0,3
