row_type,candidate,fit_success,fit_status,optimizer_cost,objective_mse,selected_point_count,z_min_mm,z_max_mm,axis_x,axis_y,axis_z,apex_x_mm,apex_y_mm,apex_z_mm,half_apex_angle_deg,split,weighting,region,frame_count,invalid_count,count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,grid_count
candidate,M0,True,success,1.3748167583921274,0.00045827225279737577,3000,621.3006216352024,713.6860742356441,0.9606048307944032,0.009032293766057029,-0.27777108691111074,-135.5074755363352,15.017378745349875,263.36137225549436,88.87484610599498,,,,,,,,,,,,
fit_region,M0,,,,,,,,,,,,,,,fit,point_equal,global,30,239,26663,0.0026781066031824987,0.06566234140262962,0.09811518996654144,0.1614909766339224,0.6167738579692923,
fit_region,M0,,,,,,,,,,,,,,,fit,point_equal,top,7,13,81,0.19598665146839653,0.19718352111749904,0.23199893482712225,0.471987430243189,0.5388003345025254,
fit_region,M0,,,,,,,,,,,,,,,fit,point_equal,middle,30,226,26426,0.0025102160750233387,0.06522905953110465,0.09753345747265649,0.16085791186881693,0.6167738579692923,
fit_region,M0,,,,,,,,,,,,,,,fit,point_equal,bottom,7,0,156,-0.06925341286443526,0.07076933614631105,0.0771893199063402,0.11262482328058354,0.15423547510727076,
candidate,M1-core,True,success,1.3501013616048585,0.0004500337872016195,3000,621.4145163058159,713.8284140856475,0.9606563300987683,0.008942887480685583,-0.2775958216628522,-135.67235214197638,14.74620914938254,263.0380019275255,88.88080887501854,,,,,,,,,,,,
fit_region,M1-core,,,,,,,,,,,,,,,fit,point_equal,global,30,235,26667,0.002640498882755026,0.06495108160110215,0.09727317629521623,0.16170701814030505,0.6131415021686735,
fit_region,M1-core,,,,,,,,,,,,,,,fit,point_equal,top,7,13,81,0.19795265313601326,0.19893544531123694,0.23266053928712738,0.47130974575713935,0.538134671059197,
fit_region,M1-core,,,,,,,,,,,,,,,fit,point_equal,middle,30,222,26430,0.0024851637292692495,0.06449006837782156,0.0966619417970158,0.15995901324200187,0.6131415021686735,
fit_region,M1-core,,,,,,,,,,,,,,,fit,point_equal,bottom,7,0,156,-0.07245422155240423,0.07348855615741712,0.07969949828813519,0.11529907089740732,0.16172217973371517,
grid_prediction_difference,M1-core_minus_M0,,,,,,,,,,,,,,,,,global,,,3117,0.08380316485896062,0.08380316485896062,0.08792859430274426,0.1259746515311008,0.13949655548208284,3117
grid_prediction_difference,M1-core_minus_M0,,,,,,,,,,,,,,,,,top,,,93,0.12817848122836284,0.12817848122836284,0.1283190902593174,0.13769946968347996,0.13949655548208284,93
grid_prediction_difference,M1-core_minus_M0,,,,,,,,,,,,,,,,,middle,,,2964,0.08330064396400569,0.08330064396400569,0.0870722725032673,0.12358133092883462,0.13668653320451085,2964
grid_prediction_difference,M1-core_minus_M0,,,,,,,,,,,,,,,,,bottom,,,60,0.039845956697161,0.039845956697161,0.03995161968670052,0.04435596329888085,0.04526355780649283,60
