scope,frame_id,centering,predictor,n_points,x_min,x_max,x_span,y_mean_mm,y_std_mm,y_p05_mm,y_p95_mm,slope_mm_per_x,slope_mm_per_x_span,intercept_mm,pearson_r,spearman_rho,linear_r2,binned_explained_fraction,low_frequency_amplitude_mm,low_frequency_bin_mean_std_mm,low_frequency_bin_count,frame_count,global_slope_mm_per_x_span,frame_slope_median_mm_per_x_span,frame_slope_p05_mm_per_x_span,frame_slope_p95_mm_per_x_span,frame_same_sign_fraction,frame_abs_spearman_median,frame_binned_ev_median,frame_binned_ev_p75,frame_low_frequency_amplitude_median_mm,frame_low_frequency_amplitude_p75_mm,frame_count_amplitude_over_pnp_high
global,,raw,s,26663,-0.1641225636200761,0.19495848459253196,0.35908104821260806,0.008907123724591015,0.09861803711242219,-0.12010301196787622,0.13598871847148072,-0.009219818196124796,-0.003310661982194169,0.008907123724591017,-0.0075951774903131085,-2.493632626160237e-07,5.7686721109395656e-05,0.17953433507143102,0.13338364057108507,0.043642366628190626,12,,,,,,,,,,,,
global,,raw,t,26663,-0.014790558181316936,0.02566568065415289,0.040456238835469824,0.008907123724591015,0.09861803711242219,-0.12010301196787622,0.13598871847148072,0.13478751352290233,0.005452995839121655,0.008907123724591017,0.01446939352159137,0.0305570220347432,0.00020936334888277397,0.03416336458709701,0.060944550685050225,0.019039289965911775,12,,,,,,,,,,,,
global,,raw,u,26663,1829.6387703102318,2131.671273972811,302.0325036625791,0.008907123724591015,0.09861803711242219,-0.12010301196787622,0.13598871847148072,-1.749096621705186e-05,-0.0052828403180137625,0.04408622954106358,-0.013832933646418803,-0.02884480920509112,0.0001913500532662038,0.03806013395165275,0.07334735070167889,0.020094766940443272,12,,,,,,,,,,,,
global,,raw,v,26663,238.98377882459297,2874.0060377373225,2635.0222589127293,0.008907123724591015,0.09861803711242219,-0.12010301196787622,0.13598871847148072,-1.2522975069144688e-06,-0.0032998318055005426,0.010714472122609257,-0.007576129815137787,-2.3502454423464223e-05,5.7397742975751065e-05,0.1797663589218257,0.13332735577223204,0.043670557768189,12,,,,,,,,,,,,
global,,frame_median_subtracted,s,26663,-0.1641225636200761,0.19495848459253196,0.35908104821260806,-0.0034344969606886037,0.0761370488963622,-0.11387826667539117,0.10733790397406437,0.06182720932036623,0.022200979130817436,-0.0034344969606886068,0.06597137394182222,0.05302463448373172,0.004352222179771603,0.2636272965028076,0.1302489151618731,0.040829060429241226,12,,,,,,,,,,,,
global,,frame_median_subtracted,t,26663,-0.014790558181316936,0.02566568065415289,0.040456238835469824,-0.0034344969606886037,0.0761370488963622,-0.11387826667539117,0.10733790397406437,-1.256036338606479,-0.05081450610069276,-0.0034344969606886068,-0.17464782658985842,-0.10499264588343007,0.030501863332561108,0.07197022058682179,0.07544344674084391,0.021335824607882355,12,,,,,,,,,,,,
global,,frame_median_subtracted,u,26663,1829.6387703102318,2131.671273972811,302.0325036625791,-0.0034344969606886037,0.0761370488963622,-0.11387826667539117,0.10733790397406437,0.00016498970954557587,0.049832255052612004,-0.3352738235425677,0.16901204844804987,0.10494597819326877,0.028565072520605916,0.07193898000476695,0.07194274999866039,0.021328396850498827,12,,,,,,,,,,,,
global,,frame_median_subtracted,v,26663,238.98377882459297,2874.0060377373225,2635.0222589127293,-0.0034344969606886037,0.0761370488963622,-0.11387826667539117,0.10733790397406437,8.454202574371895e-06,0.022277011964827242,-0.015635822440414504,0.06624801290848854,0.053161576206500916,0.004388799214323336,0.2632756424858237,0.13041405763014824,0.04080182111975002,12,,,,,,,,,,,,
global_without_027,,raw,s,25773,-0.1641225636200761,0.19495848459253196,0.35908104821260806,-0.0010717086064654575,0.07379204895525285,-0.1209676470521117,0.11387663112825515,-0.006906120922813817,-0.0024798571400470094,-0.0010618488775360473,-0.007634500810397725,0.01388038053091597,5.828560262399751e-05,0.3072161109369155,0.12612075918877005,0.04271616899963469,12,,,,,,,,,,,,
global_without_027,,raw,t,25773,-0.014790558181316936,0.02566568065415289,0.040456238835469824,-0.0010717086064654575,0.07379204895525285,-0.1209676470521117,0.11387663112825515,-0.14276513015688838,-0.005775740203004012,-0.0011176899094375468,-0.02029198648597944,0.0018169355726007552,0.0004117647155471582,0.04653178574413397,0.0522878146590529,0.016625914913044403,12,,,,,,,,,,,,
