record_type,model,name,region,point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,measured_height_mean_mm,measured_height_median_mm,measured_height_std_mm,height_difference_mae_mm,height_difference_bias_mm,height_difference_rmse_mm,baseline_inlier_count,height_inlier_count,profile_slope_z_per_mm,profile_intercept_z_mm,model_id,valid_baseline_count,valid_height_count,s_min,s_max,s_extrapolated_count,mean_c1_correction_mm,max_abs_c1_correction_mm,within_0_2mm,worst_position_rmse_mm,worst_position_p95_abs_mm,position_bias_range_mm,position_rmse_range_mm,position_p95_range_mm,all_positions_within_0_2mm
position,C0,Top,top,64,0.010971754746485263,0.012416244019218703,0.01602972265160801,0.02920173675389854,0.03431459286440486,50.010971754746485,50.00991718161193,0.011686428285428062,0.012416244019218703,0.010971754746485263,0.01602972265160801,145,64,0.004437709024855776,-0.07754061526925118,C0,145,76,-0.1430906886742937,-0.13286152907480264,0,0.0,0.0,true,,,,,,
position,C1_4k,Top,top,64,-0.041098484346213215,0.041098484346213215,0.042846034078309704,0.06155444912137291,0.06544754339181225,49.958901515653785,49.95870927956249,0.012111862808162252,0.041098484346213215,-0.041098484346213215,0.042846034078309704,145,64,0.0030981600745599498,-0.07089570793928239,C1_4k,145,76,-0.1430906886742937,-0.13286152907480264,0,0.04789336028088135,0.07144066216790676,true,,,,,,
position,C0,Middle_Upper,middle,77,-0.12547577842126598,0.12547577842126598,0.1278467030690807,0.15891024054725023,0.1647592245645555,49.87452422157873,49.87155796488725,0.024507315544772548,0.12547577842126598,-0.12547577842126598,0.1278467030690807,158,77,0.0004115366986396975,0.030441964909278488,C0,158,77,-0.02838371861578747,-0.018040408596567394,0,0.0,0.0,true,,,,,,
position,C1_4k,Middle_Upper,middle,77,-0.11974017578766055,0.11974017578766055,0.12227075961575913,0.15352510335074215,0.16007532919631018,49.88025982421233,49.877330511515446,0.02474730206214209,0.11974017578766055,-0.11974017578766055,0.12227075961575913,158,77,0.0002730542165150905,-0.005476018247508637,C1_4k,158,77,-0.02838371861578747,-0.018040408596567394,0,0.03019862545050514,0.03287506818195856,true,,,,,,
position,C0,Middle_Lower,middle,62,-0.13196422976612507,0.13196422976612507,0.13239296495349173,0.14916021375136063,0.1576947558293753,49.86803577023387,49.870014391986636,0.01064608995875245,0.13196422976612507,-0.13196422976612507,0.13239296495349173,107,62,9.593251380807327e-05,0.0013267438516366323,C0,126,81,0.08187239102376341,0.09277088454022052,0,0.0,0.0,true,,,,,,
position,C1_4k,Middle_Lower,middle,62,-0.13167383448895445,0.13167383448895445,0.13209649348299482,0.14861571274532218,0.15713522287206416,49.86832616551105,49.87007336533226,0.010558641081044795,0.13167383448895445,-0.13167383448895445,0.13209649348299482,107,62,2.853618290308941e-05,0.001448630287979723,C1_4k,126,81,0.08187239102376341,0.09277088454022052,0,-0.00047788450097313107,0.0010204974835797936,true,,,,,,
position,C0,Bottom,bottom,74,-0.19678834452285895,0.19678834452285895,0.19768265897867088,0.22273625860614565,0.22825559151414865,49.80321165547714,49.80146546796561,0.01878246844347289,0.19678834452285895,-0.19678834452285895,0.19768265897867088,163,74,-0.0010646524424507296,0.05980206576252323,C0,171,74,0.1863643564578584,0.1963396721901564,11,0.0,0.0,false,,,,,,
position,C1_4k,Bottom,bottom,74,-0.1641612767710444,0.1641612767710444,0.16528089305469534,0.19317936414904083,0.1944560761931271,49.835838723228946,49.835060548672345,0.019205437195185235,0.1641612767710444,-0.1641612767710444,0.16528089305469534,161,74,-0.0012310377680553551,0.06627206102432001,C1_4k,171,74,0.1863643564578584,0.1963396721901564,11,-0.039045544534021676,0.047852484211092366,true,,,,,,
region,C0,Top,top,64,0.010971754746485263,0.012416244019218703,0.01602972265160801,0.02920173675389854,0.03431459286440486,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C0,Middle,middle,139,-0.12836990779810958,0.12836990779810958,0.12989419171895966,0.15698464651593297,0.1647592245645555,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C0,Bottom,bottom,74,-0.19678834452285895,0.19678834452285895,0.19768265897867088,0.22273625860614565,0.22825559151414865,,,,,,,,,,,,,,,,,,,false,,,,,,
overall,C0,All_positions,global,277,-0.11445329377203516,0.1198570191186238,0.13771637604945605,0.21560475951076938,0.22825559151414865,,,,,,,,,,,,,,,,,,,,0.19768265897867088,0.22273625860614565,0.20776009926934422,0.18165293632706286,0.19353452185224712,false
region,C1_4k,Top,top,64,-0.041098484346213215,0.041098484346213215,0.042846034078309704,0.06155444912137291,0.06544754339181225,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C1_4k,Middle,middle,139,-0.12506310269039597,0.12506310269039597,0.1267476010926569,0.152020335470489,0.16007532919631018,,,,,,,,,,,,,,,,,,,true,,,,,,
region,C1_4k,Bottom,bottom,74,-0.1641612767710444,0.1641612767710444,0.16528089305469534,0.19317936414904083,0.1944560761931271,,,,,,,,,,,,,,,,,,,true,,,,,,
overall,C1_4k,All_positions,global,277,-0.11610833484902516,0.11610833484902516,0.12563246486230115,0.1830245532689645,0.1944560761931271,,,,,,,,,,,,,,,,,,,,0.16528089305469534,0.19317936414904083,0.12306279242483117,0.12243485897638565,0.13162491502766793,true
