record_type,model,name,region,point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,measured_height_mean_mm,measured_height_median_mm,measured_height_std_mm,height_difference_mae_mm,height_difference_bias_mm,height_difference_rmse_mm,baseline_inlier_count,height_inlier_count,profile_slope_z_per_mm,profile_intercept_z_mm,model_id,valid_baseline_count,valid_height_count,s_min,s_max,s_extrapolated_count,mean_c1_correction_mm,max_abs_c1_correction_mm,within_0_2mm,worst_position_rmse_mm,worst_position_p95_abs_mm,position_bias_range_mm,position_rmse_range_mm,position_p95_range_mm,all_positions_within_0_2mm
position,C0,P01_v125.0,top,78,-0.11549521086417787,0.11549521086417787,0.1177823993484182,0.1499827631694753,0.1566264140533562,19.88450478913582,19.88219714860387,0.023098698312012216,0.11549521086417787,-0.11549521086417787,0.1177823993484182,90,78,0.01089305481283921,0.24675076500370732,C0,97,79,-0.18500106019725174,-0.17435127459253474,79,0.0,0.0,true,,,,,,
position,C1_4k,P01_v125.0,top,78,-0.24541515675504022,0.24541515675504022,0.24848524877889885,0.30082416132096607,0.3213906666137447,19.75458484324496,19.743050466319822,0.03893994986656095,0.24541515675504022,-0.24541515675504022,0.24848524877889885,90,78,0.0024331570587763822,-0.009733875228855052,C1_4k,97,79,-0.18500106019725174,-0.17435127459253474,79,0.3871490932854763,0.456333256709506,false,,,,,,
position,C0,P02_v346.0,middle,71,0.007790813638722808,0.012937897109812054,0.015604128969676626,0.027624370807213694,0.03934204779361394,20.007790813638724,20.00796416056948,0.013520061529038691,0.012937897109812054,0.007790813638722808,0.015604128969676626,173,71,0.005425369327669741,-0.005667921422433228,C0,182,71,-0.15428825464045026,-0.1447379912961798,0,0.0,0.0,true,,,,,,
position,C1_4k,P02_v346.0,middle,71,-0.04188767353585587,0.04194585041946903,0.04578762393053886,0.0730578776253239,0.08012966647558883,19.958112326464146,19.95857996144805,0.018491330697329906,0.04194585041946903,-0.04188767353585587,0.04578762393053886,172,71,0.0016829940746268543,-0.06430678477760876,C1_4k,182,71,-0.15428825464045026,-0.1447379912961798,0,0.10856795763066962,0.13965038278605776,true,,,,,,
position,C0,P03_v849.0,middle,69,-0.0504352536901756,0.0504352536901756,0.05299961937050104,0.07729606900400654,0.08499085155253638,19.949564746309825,19.948462870929692,0.01628633901850316,0.0504352536901756,-0.0504352536901756,0.05299961937050104,176,69,-0.005208521919688952,-0.16878711755099784,C0,184,75,-0.08598635944557906,-0.07590709196283918,0,0.0,0.0,true,,,,,,
position,C1_4k,P03_v849.0,middle,69,-0.05074559410432884,0.05074559410432884,0.05326230704088912,0.07631655465128802,0.08411991056379264,19.949254405895665,19.947701872921385,0.016178937861202523,0.05074559410432884,-0.05074559410432884,0.05326230704088912,176,69,-0.0036857693798494386,-0.14369962713644396,C1_4k,184,75,-0.08598635944557906,-0.07590709196283918,0,-0.024815414417539865,0.027795069830597766,true,,,,,,
position,C0,P04_v1467.5,middle,74,-0.06258662359011818,0.06258662359011818,0.06795271921210422,0.1166435403010947,0.12073927565169029,19.937413376409882,19.93970950229822,0.026466707311411826,0.06258662359011818,-0.06258662359011818,0.06795271921210422,147,74,0.0037897504080247123,0.03024806622855003,C0,171,74,-0.0017199416500510779,0.008214505745280027,0,0.0,0.0,true,,,,,,
position,C1_4k,P04_v1467.5,middle,74,-0.060500247162514266,0.060500247162514266,0.0657827420090391,0.11318578434001123,0.11712205024571887,19.939499752837484,19.941126474683387,0.0258280707661738,0.060500247162514266,-0.060500247162514266,0.0657827420090391,147,74,0.0030169280145243053,-0.005358301406413709,C1_4k,171,74,-0.0017199416500510779,0.008214505745280027,0,0.03355189865843082,0.03463110718241423,true,,,,,,
position,C0,P05_v2006.5,middle,76,-0.036839250421025385,0.036839250421025385,0.03987117047936576,0.061647806872577426,0.06721720830018185,19.963160749578975,19.963250917552266,0.015250569294673172,0.036839250421025385,-0.036839250421025385,0.03987117047936576,133,76,-0.0010270639883347603,-0.03514027430403438,C0,144,76,0.07151129719313241,0.08172630072772288,0,0.0,0.0,true,,,,,,
position,C1_4k,P05_v2006.5,middle,76,-0.03784857708835371,0.03784857708835371,0.04078123356950303,0.062399357615644746,0.0678916434385286,19.962151422911646,19.962412434598257,0.015185329230454878,0.03784857708835371,-0.03784857708835371,0.04078123356950303,133,76,-0.001112606654110492,-0.03526824839059334,C1_4k,144,76,0.07151129719313241,0.08172630072772288,0,0.0011376709299014084,0.0022056766762118497,true,,,,,,
position,C0,P06_v2516.5,middle,68,-0.07865577663349017,0.07865577663349017,0.07959046720624074,0.09508904814902604,0.10550038395432182,19.921344223366503,19.920967188717498,0.012161877827465008,0.07865577663349017,-0.07865577663349017,0.07959046720624074,137,68,0.0028885355536290656,0.048747516088972105,C0,140,74,0.14116215867056753,0.1511235702580172,0,0.0,0.0,true,,,,,,
position,C1_4k,P06_v2516.5,middle,68,-0.0719605236350243,0.0719605236350243,0.07297887473141829,0.08931483604090466,0.09805403394529577,19.928039476364976,19.927120151421356,0.012149040918408098,0.0719605236350243,-0.0719605236350243,0.07297887473141829,137,68,0.0019987312619551808,0.04476572312639635,C1_4k,140,74,0.14116215867056753,0.1511235702580172,0,-0.002669519394225316,0.003684463827737766,true,,,,,,
position,C0,P07_v2593.0,middle,68,-0.09193339304742733,0.09193339304742733,0.09491168259987946,0.1242378650149151,0.13131485976763813,19.908066606952573,19.908943166414176,0.023589801540655264,0.09193339304742733,-0.09193339304742733,0.09491168259987946,128,68,0.0062803327508750085,0.07287844434248676,C0,138,73,0.15166953123178328,0.16149779467439798,0,0.0,0.0,true,,,,,,
position,C1_4k,P07_v2593.0,middle,68,-0.08209785803862116,0.08209785803862116,0.08503403871027197,0.11189937475483144,0.11976377681948236,19.917902141961374,19.91813735291465,0.022152413973435033,0.08209785803862116,-0.08209785803862116,0.08503403871027197,130,68,0.0048760273645074865,0.0685864362409164,C1_4k,138,73,0.15166953123178328,0.16149779467439798,0,-0.005558880039101575,0.007672318434037403,true,,,,,,
