record_type,position,region,directory,v_median_px,v_min_px,v_max_px,model,nominal_height_mm,point_count,bias_mm,mae_mm,rmse_mm,p95_abs_mm,max_abs_mm,height_difference_mae_mm,height_difference_bias_mm,height_difference_rmse_mm,measured_height_mean_mm,measured_height_median_mm,measured_height_std_mm,baseline_inlier_count,height_inlier_count,valid_baseline_count,valid_height_count,profile_slope_z_per_mm,profile_intercept_z_mm,s_min,s_max,s_extrapolated_count,mean_c1_correction_mm,max_abs_c1_correction_mm,within_0_2mm,center_sha256,baseline_sha256,height_sha256
position,P01_v125.0,top,frame_000974_measure,125.0,86.0,164.0,C0,20.0,78,-0.11549521086417787,0.11549521086417787,0.1177823993484182,0.1499827631694753,0.1566264140533562,0.11549521086417787,-0.11549521086417787,0.1177823993484182,19.88450478913582,19.88219714860387,0.023098698312012216,90,78,97,79,0.01089305481283921,0.24675076500370732,-0.18500106019725174,-0.17435127459253474,79,0.0,0.0,true,80b6d5c1644a7811785644cab12e55c040433a8b634cc89fcba032ca5370ce68,df0353e93e2802c3d227c2e2fd1b2a236661c2bcd551abcefebf1a1eca9b6af9,e98220e4cf6c7cd060af05e105e9c60cf86c2bd444c55bac39fb1bd232d52170
position,P01_v125.0,top,frame_000974_measure,125.0,86.0,164.0,C1_4k,20.0,78,-0.24541515675504022,0.24541515675504022,0.24848524877889885,0.30082416132096607,0.3213906666137447,0.24541515675504022,-0.24541515675504022,0.24848524877889885,19.75458484324496,19.743050466319822,0.03893994986656095,90,78,97,79,0.0024331570587763822,-0.009733875228855052,-0.18500106019725174,-0.17435127459253474,79,0.3871490932854763,0.456333256709506,false,80b6d5c1644a7811785644cab12e55c040433a8b634cc89fcba032ca5370ce68,df0353e93e2802c3d227c2e2fd1b2a236661c2bcd551abcefebf1a1eca9b6af9,e98220e4cf6c7cd060af05e105e9c60cf86c2bd444c55bac39fb1bd232d52170
position,P02_v346.0,middle,frame_004021_measure,346.0,311.0,381.0,C0,20.0,71,0.007790813638722808,0.012937897109812054,0.015604128969676626,0.027624370807213694,0.03934204779361394,0.012937897109812054,0.007790813638722808,0.015604128969676626,20.007790813638724,20.00796416056948,0.013520061529038691,173,71,182,71,0.005425369327669741,-0.005667921422433228,-0.15428825464045026,-0.1447379912961798,0,0.0,0.0,true,0d27dcd0c463d1d98158353d8606307f74a54367c8afbde5ff2e6ac3c6f535e7,3c09dd72f1e7ad1c74441ab4d604f95f58cb551e00dfa54f8d5fc8ef847be33d,0b458ab56d0617d3e064eda6a519575f325d67868040d70e6510fa208a645a1f
position,P02_v346.0,middle,frame_004021_measure,346.0,311.0,381.0,C1_4k,20.0,71,-0.04188767353585587,0.04194585041946903,0.04578762393053886,0.0730578776253239,0.08012966647558883,0.04194585041946903,-0.04188767353585587,0.04578762393053886,19.958112326464146,19.95857996144805,0.018491330697329906,172,71,182,71,0.0016829940746268543,-0.06430678477760876,-0.15428825464045026,-0.1447379912961798,0,0.10856795763066962,0.13965038278605776,true,0d27dcd0c463d1d98158353d8606307f74a54367c8afbde5ff2e6ac3c6f535e7,3c09dd72f1e7ad1c74441ab4d604f95f58cb551e00dfa54f8d5fc8ef847be33d,0b458ab56d0617d3e064eda6a519575f325d67868040d70e6510fa208a645a1f
position,P03_v849.0,middle,frame_005772_measure,849.0,812.0,886.0,C0,20.0,69,-0.0504352536901756,0.0504352536901756,0.05299961937050104,0.07729606900400654,0.08499085155253638,0.0504352536901756,-0.0504352536901756,0.05299961937050104,19.949564746309825,19.948462870929692,0.01628633901850316,176,69,184,75,-0.005208521919688952,-0.16878711755099784,-0.08598635944557906,-0.07590709196283918,0,0.0,0.0,true,519f92e25d110d30a0e4a21d00dd5872b6d06ee0a1ea8f54e532be74137e1ef4,812521678577103cbd9fdfb233673b18a1c4b703f014a27abb2538aab163134d,a196d100a1ab8a6e7a6ac0b11e95656dc768a68bfef0f025d4cf9450f23b1600
position,P03_v849.0,middle,frame_005772_measure,849.0,812.0,886.0,C1_4k,20.0,69,-0.05074559410432884,0.05074559410432884,0.05326230704088912,0.07631655465128802,0.08411991056379264,0.05074559410432884,-0.05074559410432884,0.05326230704088912,19.949254405895665,19.947701872921385,0.016178937861202523,176,69,184,75,-0.0036857693798494386,-0.14369962713644396,-0.08598635944557906,-0.07590709196283918,0,-0.024815414417539865,0.027795069830597766,true,519f92e25d110d30a0e4a21d00dd5872b6d06ee0a1ea8f54e532be74137e1ef4,812521678577103cbd9fdfb233673b18a1c4b703f014a27abb2538aab163134d,a196d100a1ab8a6e7a6ac0b11e95656dc768a68bfef0f025d4cf9450f23b1600
position,P04_v1467.5,middle,frame_007020_measure,1467.5,1431.0,1504.0,C0,20.0,74,-0.06258662359011818,0.06258662359011818,0.06795271921210422,0.1166435403010947,0.12073927565169029,0.06258662359011818,-0.06258662359011818,0.06795271921210422,19.937413376409882,19.93970950229822,0.026466707311411826,147,74,171,74,0.0037897504080247123,0.03024806622855003,-0.0017199416500510779,0.008214505745280027,0,0.0,0.0,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d
position,P04_v1467.5,middle,frame_007020_measure,1467.5,1431.0,1504.0,C1_4k,20.0,74,-0.060500247162514266,0.060500247162514266,0.0657827420090391,0.11318578434001123,0.11712205024571887,0.060500247162514266,-0.060500247162514266,0.0657827420090391,19.939499752837484,19.941126474683387,0.0258280707661738,147,74,171,74,0.0030169280145243053,-0.005358301406413709,-0.0017199416500510779,0.008214505745280027,0,0.03355189865843082,0.03463110718241423,true,e502d1d11d15c01126e6f95cf7d7b91bfb8ae20c7e926602a2fb8e79891fc2c0,a430b7b2b5e2c6a566ff0a76eb6920579435c52d7c8fb39e64a15ca695ff1f69,ac8a834676a07f6651458e2098cba677e28d2ca78f968118498238f86767622d
position,P05_v2006.5,middle,frame_008310_measure,2006.5,1969.0,2044.0,C0,20.0,76,-0.036839250421025385,0.036839250421025385,0.03987117047936576,0.061647806872577426,0.06721720830018185,0.036839250421025385,-0.036839250421025385,0.03987117047936576,19.963160749578975,19.963250917552266,0.015250569294673172,133,76,144,76,-0.0010270639883347603,-0.03514027430403438,0.07151129719313241,0.08172630072772288,0,0.0,0.0,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c
position,P05_v2006.5,middle,frame_008310_measure,2006.5,1969.0,2044.0,C1_4k,20.0,76,-0.03784857708835371,0.03784857708835371,0.04078123356950303,0.062399357615644746,0.0678916434385286,0.03784857708835371,-0.03784857708835371,0.04078123356950303,19.962151422911646,19.962412434598257,0.015185329230454878,133,76,144,76,-0.001112606654110492,-0.03526824839059334,0.07151129719313241,0.08172630072772288,0,0.0011376709299014084,0.0022056766762118497,true,44b50463598780aca657009f6d2892f6d9d3ef11e115840da478bbcc31404f32,768c983c2393425c1b2a744d48f2d6a5fb00b2a08057368353e31ffcfc3d2215,6ec012d1e92dab814d9b114bdddef3597d56b4ff83a57bf0a8938989cedf810c
