v_bin_index,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,unique_frame_count,c0_36_bias_mm,c0_35_bias_mm,delta_bias_mm,c0_36_mae_mm,c0_35_mae_mm,delta_mae_mm,c0_36_rmse_mm,c0_35_rmse_mm,delta_rmse_mm,c0_36_p95_abs_mm,c0_35_p95_abs_mm,delta_p95_abs_mm,c0_36_p99_abs_mm,c0_35_p99_abs_mm,delta_p99_abs_mm
0,v_0000_0100,0.0,100.0,323,11,0.16014061026741577,0.14941608157829567,-0.010724528689120105,0.16029171988947877,0.1501257914734484,-0.010165928416030368,0.17891960409908594,0.1701031145868699,-0.00881648951221603,0.24575162821564617,0.23479494267888867,-0.010956685536757493,0.2937756684303531,0.2852854968960787,-0.008490171534274393
1,v_0100_0200,100.0,200.0,601,17,0.13879998303683164,0.12982303328900888,-0.00897694974782276,0.14917455109481143,0.1450967315812823,-0.004077819513529118,0.1694478029911992,0.16492129635213956,-0.004526506639059624,0.2512838003937077,0.24265970435567397,-0.008624096038033713,0.2968660354441681,0.29130879414128685,-0.005557241302881266
2,v_0200_0300,200.0,300.0,844,21,0.10675868558548156,0.09951997569620384,-0.007238709889277717,0.12470450991017522,0.12325279086484396,-0.0014517190453312567,0.14618276702141503,0.14414261507706114,-0.0020401519443538907,0.24539200642434478,0.24290987527260197,-0.0024821311517428113,0.3732543446312502,0.3687015864997317,-0.004552758131518453
3,v_0300_0400,300.0,400.0,905,25,0.06542443743716532,0.060013352835817234,-0.005411084601348086,0.08711617889515808,0.08647065623914293,-0.0006455226560151406,0.10430827405273675,0.10324142703781086,-0.0010668470149258896,0.18030107366168976,0.17839285643244693,-0.0019082172292428368,0.2835353745371468,0.26890643125460034,-0.014628943282546436
4,v_0400_0500,400.0,500.0,1012,29,0.0059720002058907175,0.0031091738539513612,-0.0028628263519393563,0.06067410981306707,0.06087716878947565,0.000203058976408578,0.073300372663197,0.07361301643543798,0.00031264377224098083,0.13300350690914794,0.13487747833851804,0.001873971429370097,0.16803779131683994,0.1748985883789305,0.006860797062090557
5,v_0500_0600,500.0,600.0,1289,29,-0.037817624273086915,-0.03923238462260192,-0.0014147603495150013,0.060360787519323784,0.06124010484874331,0.0008793173294195239,0.07772867061867633,0.07892088137575878,0.0011922107570824514,0.15837242799102563,0.15901033377881502,0.0006379057877893834,0.1905661225131956,0.19706789761441984,0.006501775101224239
6,v_0600_0700,600.0,700.0,1351,30,-0.08147712290711476,-0.08195218160049536,-0.00047505869338060336,0.0879715925346755,0.08827122653991674,0.00029963400524124495,0.1066493148815579,0.10697194327076605,0.0003226283892081433,0.1899968189125616,0.1896030116813563,-0.0003938072312053009,0.22497391139597767,0.22349414670640044,-0.0014797646895772232
7,v_0700_0800,700.0,800.0,999,30,-0.1258535579836753,-0.12509956766280925,0.0007539903208660659,0.12653307708109007,0.125759333013157,-0.0007737440679330687,0.14155626608330155,0.14049612511824613,-0.0010601409650554117,0.23805140469430616,0.23685566655240103,-0.0011957381419051283,0.27389418914783387,0.27423543614136175,0.00034124699352788834
8,v_0800_0900,800.0,900.0,1115,32,-0.10669320928217298,-0.10504606630619065,0.001647142975982327,0.10914212159544663,0.10748017226590403,-0.0016619493295425974,0.125408963925299,0.12361843824771128,-0.0017905256775877093,0.2202752394593858,0.21734391224248384,-0.002931327216901952,0.264323681984749,0.26213806288494873,-0.002185619099800251
9,v_0900_1000,900.0,1000.0,1507,34,-0.0634456971333403,-0.06054771714359309,0.0028979799897472167,0.07135897589981241,0.0694154585517761,-0.0019435173480363138,0.08617773439480694,0.08411968220845943,-0.0020580521863475115,0.14942140117776717,0.14777219442573825,-0.0016492067520289255,0.18930653973896827,0.1894898765084122,0.0001833367694439314
10,v_1000_1100,1000.0,1100.0,1517,35,-0.0247574566877532,-0.020989215969586677,0.003768240718166522,0.05062537153649813,0.04917297060211164,-0.0014524009343864913,0.061439259692113814,0.05979334360125769,-0.0016459160908561254,0.11574817309967789,0.11458579754623771,-0.0011623755534401758,0.1660500569450684,0.16473116483462028,-0.0013188921104481388
11,v_1100_1200,1100.0,1200.0,1240,35,0.013347615992497888,0.017147497669471216,0.003799881676973328,0.051427432725521825,0.05170189880957982,0.00027446608405799766,0.06551607600385555,0.06574078639678448,0.00022471039292892847,0.1173826430030715,0.1193708827647299,0.0019882397616584058,0.20173923395702953,0.19867043311289745,-0.00306880084413208
12,v_1200_1300,1200.0,1300.0,1411,35,0.0552223268086887,0.05938372940465217,0.004161402595963468,0.06172207892152522,0.06491499455401009,0.0031929156324848745,0.07483109451823623,0.07760896164814106,0.0027778671299048263,0.14158236554226278,0.14561932214525086,0.004036956602988084,0.17438393071628303,0.17769323832206976,0.0033093076057867377
13,v_1300_1400,1300.0,1400.0,1526,35,0.045585015029703184,0.05015236037514457,0.004567345345441384,0.05764746793949542,0.060695624073889544,0.003048156134394124,0.07175745043614873,0.07446487061128826,0.00270742017513953,0.13678325388744383,0.13875808861317296,0.0019748347257291243,0.1700695960954306,0.173980001708685,0.003910405613254397
14,v_1400_1500,1400.0,1500.0,1541,35,0.03519115196884016,0.03977106381214446,0.0045799118433043,0.049443338807308695,0.05210707371004257,0.0026637349027338747,0.060818637364089295,0.06335950671774668,0.0025408693536573823,0.11428425888880156,0.11710373879338931,0.0028194799045877517,0.1466425553121553,0.14915438550633536,0.0025118301941800536
15,v_1500_1600,1500.0,1600.0,1513,35,0.01145106602606324,0.016190274376767656,0.004739208350704417,0.045446284645013844,0.046567624801407796,0.0011213401563939518,0.058844410789441096,0.05962842736053855,0.0007840165710974525,0.11101075035098788,0.11033597039929643,-0.0006747799516914482,0.17798731655493516,0.1745287614586319,-0.003458555096303273
16,v_1600_1700,1600.0,1700.0,1431,35,-0.034445872627021916,-0.02979646572301947,0.004649406904002448,0.05695960635978901,0.05597628259980763,-0.0009833237599813777,0.07400842091102731,0.07193904685989226,-0.0020693740511350533,0.14304958124284894,0.13836678938042724,-0.004682791862421709,0.19262618650471966,0.18627609665244352,-0.006350089852276142
17,v_1700_1800,1700.0,1800.0,1388,35,-0.023392219950232707,-0.019095439841471547,0.00429678010876116,0.05245346615468825,0.05150643478096772,-0.0009470313737205346,0.06553631767095688,0.0639342462175613,-0.0016020714533955815,0.1297795400951088,0.12368924849106974,-0.0060902916040390664,0.16244847444066965,0.1568404916610632,-0.005607982779606446
18,v_1800_1900,1800.0,1900.0,1321,35,0.005580941536880416,0.009540339323064353,0.003959397786183937,0.05094405575018486,0.05151493686377855,0.0005708811135936923,0.06297565475698294,0.06306770695551876,9.205219853582192e-05,0.1168898232211859,0.11472073682296013,-0.0021690863982257724,0.1618121725284709,0.15545699599720136,-0.006355176531269546
19,v_1900_2000,1900.0,2000.0,1252,35,0.01050914292179917,0.014638119522229548,0.004128976600430377,0.0463955659481239,0.047650204377862264,0.0012546384297383653,0.057855589723123615,0.05871707400714379,0.0008614842840201711,0.11421142586073078,0.11167323332671801,-0.002538192534012773,0.151366935228765,0.14900761352547875,-0.0023593217032862324
20,v_2000_2100,2000.0,2100.0,1126,30,0.007616033347018087,0.011240800223040633,0.003624766876022546,0.05053316211361484,0.05184968735709123,0.0013165252434763908,0.06373266489856755,0.06451113364487664,0.0007784687463090884,0.12262301078214932,0.11943699932078289,-0.0031860114613664337,0.17605086507933265,0.17074044532557764,-0.0053104197537550135
21,v_2100_2200,2100.0,2200.0,842,25,0.010744731305038141,0.013441328006228662,0.0026965967011905213,0.053133280439555154,0.05348805417666341,0.00035477373710825905,0.06620070202600847,0.06654199257621658,0.0003412905502081093,0.12445118505066256,0.12473183290485383,0.00028064785419126825,0.1833784084720867,0.18092983791843853,-0.002448570553648166
22,v_2200_2300,2200.0,2300.0,689,23,0.015913439332443366,0.018200636224341656,0.0022871968918982896,0.04968547668170297,0.050062212577540545,0.00037673589583757383,0.06675240714679373,0.06730035536752157,0.0005479482207278452,0.12335529119461626,0.12355166364561689,0.00019637245100062595,0.21467047223549343,0.21433100779778216,-0.00033946443771126766
23,v_2300_2400,2300.0,2400.0,948,24,0.03290161982492221,0.03321874589255782,0.0003171260676356133,0.05218756259944053,0.05189324160780168,-0.00029432099163885506,0.07191788641747993,0.07081439284545915,-0.001103493572020775,0.13646071320738418,0.12699614367478487,-0.009464569532599304,0.24412922669158288,0.24652322092748788,0.0023939942359050004
24,v_2400_2500,2400.0,2500.0,1089,24,0.035084401954182796,0.03485715967778627,-0.00022724227639652622,0.051300661076154566,0.05085311101835072,-0.000447550057803843,0.0635786539123821,0.062411332576039515,-0.0011673213363425847,0.1164665573523734,0.10960773022998183,-0.006858827122391581,0.16920514919378074,0.15545285402336487,-0.013752295170415874
25,v_2500_2600,2500.0,2600.0,813,24,0.03374150458974756,0.03321993006663354,-0.0005215745231140212,0.05085717285810709,0.050653363066424886,-0.00020380979168220514,0.06702206153960008,0.06601220556449869,-0.0010098559751013925,0.14678237405921662,0.14427043665957626,-0.0025119373996403682,0.18045452819440017,0.1775106342615527,-0.002943893932847469
26,v_2600_2700,2600.0,2700.0,441,20,0.0175136474639639,0.016375905882821364,-0.0011377415811425345,0.04763023424704521,0.04652338786258781,-0.001106846384457398,0.06468993288865717,0.06320495591300271,-0.001484976975654459,0.1332216204090173,0.13002621539885695,-0.003195405010160357,0.16822940375325293,0.1662931931141884,-0.001936210639064545
27,v_2700_2800,2700.0,2800.0,541,18,-0.05974024281728489,-0.0632664388349423,-0.0035261960176574125,0.06979784808108339,0.0716111634588194,0.001813315377736019,0.08448071370394607,0.0866967149230667,0.0022160012191206335,0.1418948126978421,0.14274206526897615,0.0008472525711340495,0.19671695989886764,0.1940290351796648,-0.0026879247192028444
28,v_2800_2900,2800.0,2900.0,580,15,-0.09122204618366195,-0.09786656984428238,-0.006644523660620433,0.09993130430600951,0.10213698828006508,0.0022056839740555723,0.10786479420044769,0.1105456787632683,0.002680884562820618,0.16113356909852428,0.16541955157637175,0.0042859824778474775,0.1851395333464109,0.19525598855825257,0.01011645521184168
29,v_2900_3000,2900.0,3000.0,345,11,-0.10199722643890617,-0.1118571244121751,-0.00985989797326893,0.11498946685074124,0.117114061765379,0.002124594914637762,0.12539075210786524,0.12832473626760324,0.002933984159738001,0.19174729956330339,0.19453660784745358,0.0027893082841501937,0.2126609308126035,0.2173728901777895,0.00471195936518598
