row_type,delta_direction,v_bin,v_bin_lo_px,v_bin_hi_px,point_count_grid,point_count_valid_pair,pose_count,valid_pair_rate,delta_lambda_bias_mm,delta_lambda_mae_mm,delta_lambda_rmse_mm,delta_lambda_p95_abs_mm,delta_lambda_p99_abs_mm,delta_lambda_max_abs_mm
global,C0-35 minus C0-36,Global,0.0,3000.0,31500,31500,35,1.0,-0.0013598136271379992,0.0035305658015134986,0.00457546571662436,0.006785212112833956,0.0159374057616469,0.025692434025813782
v_bin,C0-35 minus C0-36,v_0000_0100,0.0,100.0,323,323,11,1.0,0.009573261132374793,0.009573261132374793,0.011755540444178956,0.02476264696244925,0.02553121186938824,0.025692434025813782
v_bin,C0-35 minus C0-36,v_0100_0200,100.0,200.0,601,601,17,1.0,0.007297460309081023,0.007297460309081023,0.009624946823310682,0.022357032387390063,0.02318432323011166,0.02348549933094546
v_bin,C0-35 minus C0-36,v_0200_0300,200.0,300.0,844,844,21,1.0,0.0053274933876829335,0.0053274933876829335,0.007981128378703099,0.01978248055464746,0.021638042385081917,0.02220215180818741
v_bin,C0-35 minus C0-36,v_0300_0400,300.0,400.0,905,905,25,1.0,0.003719616251536918,0.0038317709275030886,0.006359683350229236,0.017125549373827195,0.01902797135520814,0.019514921370046068
v_bin,C0-35 minus C0-36,v_0400_0500,400.0,500.0,1012,1012,29,1.0,0.0018718895628262499,0.0024775248332138794,0.004371859266415787,0.012398651581901276,0.016491733868830353,0.016962839296070342
v_bin,C0-35 minus C0-36,v_0500_0600,500.0,600.0,1289,1289,29,1.0,0.0008586092513617102,0.0024046334580371752,0.0038945799449320627,0.0108625725980346,0.013926284507774651,0.014625370013618522
v_bin,C0-35 minus C0-36,v_0600_0700,600.0,700.0,1351,1351,30,1.0,6.9821337402949e-05,0.0025297149404342563,0.003451792973567888,0.008281388616865115,0.011626351819870706,0.012237360225526572
v_bin,C0-35 minus C0-36,v_0700_0800,700.0,800.0,999,999,30,1.0,-0.0008439417739095501,0.0022765587071803426,0.002721292704012084,0.004780757599246496,0.006815026544541069,0.009811718740593278
v_bin,C0-35 minus C0-36,v_0800_0900,800.0,900.0,1115,1115,32,1.0,-0.0015344130209603813,0.0024923329474240297,0.002905595008881617,0.0042347279129103296,0.006117352862931961,0.00791207425174889
v_bin,C0-35 minus C0-36,v_0900_1000,900.0,1000.0,1507,1507,34,1.0,-0.002601184705338957,0.0030527000722419275,0.003411752569000604,0.004720196928053611,0.005442899072354524,0.006037843633180273
v_bin,C0-35 minus C0-36,v_1000_1100,1000.0,1100.0,1517,1517,35,1.0,-0.0032285270459605636,0.003371739757732577,0.0037359657797070636,0.005095729544655115,0.005176714876397454,0.005237541914880239
v_bin,C0-35 minus C0-36,v_1100_1200,1100.0,1200.0,1240,1240,35,1.0,-0.003279902505220335,0.0033669325584081513,0.0037885940958972413,0.005470468377194493,0.0055345093369771805,0.005555564875407981
v_bin,C0-35 minus C0-36,v_1200_1300,1200.0,1300.0,1411,1411,35,1.0,-0.0036707244087046346,0.003710574518490566,0.004121511408870004,0.005735458160927465,0.005804886238479412,0.005823640545486342
v_bin,C0-35 minus C0-36,v_1300_1400,1300.0,1400.0,1526,1526,35,1.0,-0.004003262329263999,0.004009488106772118,0.004384186898520431,0.005918161982378933,0.005981855009707715,0.006014412185436413
v_bin,C0-35 minus C0-36,v_1400_1500,1400.0,1500.0,1541,1541,35,1.0,-0.00402960444754013,0.00402960444754013,0.004433419306644666,0.0060395268531010515,0.006086372952722741,0.0061198525908139345
v_bin,C0-35 minus C0-36,v_1500_1600,1500.0,1600.0,1513,1513,35,1.0,-0.004139571264959961,0.004139571264959961,0.004563819699191442,0.006139361740338245,0.006154257343187055,0.00616248603864733
v_bin,C0-35 minus C0-36,v_1600_1700,1600.0,1700.0,1431,1431,35,1.0,-0.004074565034640949,0.004074565034640949,0.004538534813680433,0.006134903396628033,0.00615524321212888,0.006162479532576981
v_bin,C0-35 minus C0-36,v_1700_1800,1700.0,1800.0,1388,1388,35,1.0,-0.0038437219788195,0.0038549519800851685,0.004368940656037664,0.006041888867167699,0.006088519491464694,0.006118148075756835
v_bin,C0-35 minus C0-36,v_1800_1900,1800.0,1900.0,1321,1321,35,1.0,-0.0035562581815520113,0.0036495818681235794,0.004160542076361146,0.005926158633997147,0.005987044529547347,0.0060187765546970695
v_bin,C0-35 minus C0-36,v_1900_2000,1900.0,2000.0,1252,1252,35,1.0,-0.0034732580150692812,0.0036276332002063163,0.004035589515541127,0.005711444205462613,0.005803527016375938,0.005843397751505108
v_bin,C0-35 minus C0-36,v_2000_2100,2000.0,2100.0,1126,1126,30,1.0,-0.0030403003399459808,0.003351930307947172,0.003773663088710668,0.00543292200831047,0.005534029532299201,0.005584624159382656
v_bin,C0-35 minus C0-36,v_2100_2200,2100.0,2200.0,842,842,25,1.0,-0.002537868505825342,0.0032800616053632417,0.0036663967670589213,0.005146253375352216,0.0052280334292538555,0.005270201483995152
v_bin,C0-35 minus C0-36,v_2200_2300,2200.0,2300.0,689,689,23,1.0,-0.001911563483118607,0.0028528545177153113,0.0032251527827060777,0.004776739641806671,0.004861388088320382,0.004903849128254478
v_bin,C0-35 minus C0-36,v_2300_2400,2300.0,2400.0,948,948,24,1.0,-0.0008066514703864462,0.002835580711675754,0.0032214491239997687,0.005355238512424876,0.006273944976320536,0.006525266969333643
v_bin,C0-35 minus C0-36,v_2400_2500,2400.0,2500.0,1089,1089,24,1.0,-0.00023784810001235376,0.0027252070937082143,0.0032760185036405033,0.006613032020459286,0.007711817081776641,0.008012880640762887
v_bin,C0-35 minus C0-36,v_2500_2600,2500.0,2600.0,813,813,24,1.0,0.0003291445847457432,0.002507676458779663,0.003171983676910619,0.006526299561778614,0.008582355364974318,0.00923280121719472
v_bin,C0-35 minus C0-36,v_2600_2700,2600.0,2700.0,441,441,20,1.0,0.001191166441378162,0.0027262531329183535,0.0034301605534094236,0.007757904241543656,0.008174363665352758,0.010787669836304303
v_bin,C0-35 minus C0-36,v_2700_2800,2700.0,2800.0,541,541,18,1.0,0.002508189480201673,0.0034475195656223285,0.004898577643415061,0.009490940149021299,0.012743686552471446,0.012847326267888093
v_bin,C0-35 minus C0-36,v_2800_2900,2800.0,2900.0,580,580,15,1.0,0.003760940428448662,0.004203145595986293,0.0063371643596061315,0.01376400758100544,0.014484364948601752,0.014702482691063778
v_bin,C0-35 minus C0-36,v_2900_3000,2900.0,3000.0,345,345,11,1.0,0.004961512303285694,0.005014441159935985,0.007696931731626481,0.015920030614620374,0.016361669563998475,0.016513609583171274
