scenario,candidate,interior_knot_count,basis_count,smoothness_penalty,robust_loss,robust_huber_k,cv_fold_count,training_frame_count,training_point_count,training_excludes_027,evaluation_frame_count,evaluation_point_count,c0_global_bias_mm,c1_global_bias_mm,c0_global_rmse_mm,c1_global_rmse_mm,global_rmse_improvement_pct,c0_global_p95_abs_mm,c1_global_p95_abs_mm,global_p95_improvement_pct,c0_global_p99_abs_mm,c1_global_p99_abs_mm,global_p99_improvement_pct,c0_worst_v_bin_rmse_mm,c1_worst_v_bin_rmse_mm,worst_v_bin_rmse_improvement_pct,c0_worst_v_bin_rmse_label,c1_worst_v_bin_rmse_label,c0_worst_v_bin_p95_abs_mm,c1_worst_v_bin_p95_abs_mm,worst_v_bin_p95_improvement_pct,c0_worst_v_bin_p95_label,c1_worst_v_bin_p95_label,c0_v_bias_range_mm,c1_v_bias_range_mm,v_bias_range_change_mm,pose_improvement_ratio,median_pose_improvement_pct,p05_pose_improvement_pct,p95_pose_improvement_pct,curve_delta_rms_mm,curve_delta_max_abs_mm,selection_gate_pass,selected_for_followup
full36_grouped_cv,C1_3k,3,7,0.1,Huber_IRLS,1.345,6,30,27000,False,36,32400,0.004186809749711936,0.008717620316624257,0.10142873538324552,0.09274221063180874,8.564165488818338,0.18009618769474323,0.1558675058873592,13.453189719068787,0.4231672249795555,0.4333921484640732,-2.416284362526351,0.18033925181398608,0.13442001359359118,25.46269753173816,v_0000_0100,v_1900_2000,0.26111456415760104,0.22037946704943898,15.600469180867124,v_0100_0200,v_0300_0400,0.2848451212727076,0.15415171181950862,-0.130693409453199,0.8888888888888888,14.132486436831027,-2.617774058995765,30.403304132065628,0.007086850585281826,0.016827417913269416,True,True
full36_grouped_cv_non027,C1_3k,3,7,0.1,Huber_IRLS,1.345,6,30,27000,False,35,31500,-0.0017794908549570755,0.0028148659697563587,0.08553603101384502,0.07402710153658207,13.455066059120858,0.1693022596098217,0.14314185121438214,15.451895595327262,0.22983439506970907,0.19816133080193807,13.780819993528173,0.18033925181398608,0.11918063193904617,33.91309393809784,v_0000_0100,v_0200_0300,0.2665020392163158,0.22059367313744715,17.226271969200774,v_0100_0200,v_0300_0400,0.28967494883907685,0.15160145741261605,-0.1380734914264608,0.9142857142857143,14.291942621113302,-2.626887463674582,30.489263567910932,0.007086850585281826,0.016827417913269416,True,True
exclude027_grouped_cv_non027,C1_3k,3,7,0.1,Huber_IRLS,1.345,6,29,26250,True,35,31500,-0.0017794908549570755,0.003194557440198086,0.08553603101384502,0.07402633499692553,13.455962219075271,0.1693022596098217,0.14280574798337098,15.650418185507542,0.22983439506970907,0.19781351517345483,13.932153142936794,0.18033925181398608,0.11125705936361066,38.30679774674423,v_0000_0100,v_0200_0300,0.2665020392163158,0.21778949307168705,18.278489083188408,v_0100_0200,v_0100_0200,0.28967494883907685,0.15816878097321918,-0.13150616786585767,0.9142857142857143,15.16326298719382,-3.1804350559099444,29.561910118765557,0.007086850585281826,0.016827417913269416,True,True
full36_fullfit_all36,C1_3k,3,7,0.1,Huber_IRLS,1.345,0,36,32400,False,36,32400,0.004186809749711936,0.008579739664028977,0.10142873538324552,0.09164151890897021,9.649352757179317,0.18009618769474323,0.15400001451083276,14.49013081173188,0.4231672249795555,0.4268591299713074,-0.8724458733613629,0.18033925181398608,0.13385571314848485,25.775608026502983,v_0000_0100,v_1900_2000,0.26111456415760104,0.21077096874284426,19.280270932865648,v_0100_0200,v_0300_0400,0.2848451212727076,0.15223955432375008,-0.13260556694895753,0.8888888888888888,14.167721598781753,-2.324193081448545,31.998275270463438,0.007086850585281826,0.016827417913269416,True,True
exclude027_fullfit_non027,C1_3k,3,7,0.1,Huber_IRLS,1.345,0,35,31500,True,35,31500,-0.0017794908549570755,0.0029616150948153126,0.08553603101384502,0.07313702636734652,14.495651130330765,0.1693022596098217,0.1418185095420246,16.23354001957024,0.22983439506970907,0.19805544345553208,13.82689114244123,0.18033925181398608,0.10954101740586553,39.25836094803508,v_0000_0100,v_0200_0300,0.2665020392163158,0.2192574449103391,17.727667092118935,v_0100_0200,v_0100_0200,0.28967494883907685,0.15644213287448722,-0.13323281596458963,0.9142857142857143,16.199658053118277,-2.6482432662432807,32.95425511853389,0.007086850585281826,0.016827417913269416,True,True
full36_grouped_cv,C1_4k,4,8,0.1,Huber_IRLS,1.345,6,30,27000,False,36,32400,0.004186809749711936,0.00857104905691651,0.10142873538324552,0.09127936509950584,10.00640523160482,0.18009618769474323,0.15256418164011504,15.28738970382537,0.4231672249795555,0.42695157985056253,-0.8942929999339783,0.18033925181398608,0.13441046291644346,25.467993482038306,v_0000_0100,v_1900_2000,0.26111456415760104,0.22341379300366165,14.438402268202976,v_0100_0200,v_0300_0400,0.2848451212727076,0.1383911004038283,-0.14645402086887932,0.9166666666666666,16.876683551233654,-1.677471290497066,32.74498844660363,0.0069629574687583955,0.015701270668206785,True,False
full36_grouped_cv_non027,C1_4k,4,8,0.1,Huber_IRLS,1.345,6,30,27000,False,35,31500,-0.0017794908549570755,0.0026738245728578384,0.08553603101384502,0.07222230094847354,15.56505475828835,0.1693022596098217,0.13984080283197098,17.40169141613842,0.22983439506970907,0.19486381833428432,15.215554105736928,0.18033925181398608,0.11651050533139021,35.393707049662765,v_0000_0100,v_0200_0300,0.2665020392163158,0.22342090424971028,16.16540537299124,v_0100_0200,v_0300_0400,0.28967494883907685,0.14112874976563913,-0.14854619907343772,0.9428571428571428,17.12093823242004,1.1706811332686218,32.800207625740825,0.0069629574687583955,0.015701270668206785,True,False
exclude027_grouped_cv_non027,C1_4k,4,8,0.1,Huber_IRLS,1.345,6,29,26250,True,35,31500,-0.0017794908549570755,0.0030294074517908786,0.08553603101384502,0.07224384086094425,15.5398724904003,0.1693022596098217,0.13965619316163883,17.510732884786037,0.22983439506970907,0.1945327269566233,15.359610602398623,0.18033925181398608,0.10897328383360519,39.57317514768915,v_0000_0100,v_0200_0300,0.2665020392163158,0.2258061423295427,15.270388551789232,v_0100_0200,v_0100_0200,0.28967494883907685,0.1433089418084864,-0.14636600703059044,0.9428571428571428,17.04855918635405,-1.1796463967036022,33.14863435002341,0.0069629574687583955,0.015701270668206785,True,False
full36_fullfit_all36,C1_4k,4,8,0.1,Huber_IRLS,1.345,0,36,32400,False,36,32400,0.004186809749711936,0.008443450293566062,0.10142873538324552,0.09006280383735231,11.205829889278787,0.18009618769474323,0.1507330714465004,16.30412982312113,0.4231672249795555,0.418444753628404,1.1159823049574928,0.18033925181398608,0.13396143635501698,25.716983403483493,v_0000_0100,v_1900_2000,0.26111456415760104,0.21498572821117876,17.6661290783383,v_0100_0200,v_0100_0200,0.2848451212727076,0.13498796087700815,-0.14985716039569946,0.9444444444444444,17.400540590163388,-0.4889765096326599,34.98511624770144,0.0069629574687583955,0.015701270668206785,True,False
exclude027_fullfit_non027,C1_4k,4,8,0.1,Huber_IRLS,1.345,0,35,31500,True,35,31500,-0.0017794908549570755,0.0027709695968448217,0.08553603101384502,0.0711608273151666,16.806021425464113,0.1693022596098217,0.13793593094094234,18.52682222976055,0.22983439506970907,0.19391824335605864,15.62696988967078,0.18033925181398608,0.10721823518393635,40.546367967341695,v_0000_0100,v_0200_0300,0.2665020392163158,0.20598032607102745,22.709662306247413,v_0100_0200,v_0100_0200,0.28967494883907685,0.14003121654908707,-0.14964373228998978,0.9428571428571428,18.110577171350435,-0.12287817334109308,36.61030524655912,0.0069629574687583955,0.015701270668206785,True,False
