scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv,C1_3k,C0,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.16476217503504978,0.18033925181398608,0.2602972413815707,0.3044477107114174,0.3373106132157772
full36_grouped_cv,C1_3k,C0,3,7,0.1,1,v_0100_0200,100.0,200.0,643,18,0.1266598569303492,0.16669689826960932,0.26111456415760104,0.38469124698373547,0.4448776126135954
full36_grouped_cv,C1_3k,C0,3,7,0.1,2,v_0200_0300,200.0,300.0,920,22,0.10143142812800393,0.14450804042877038,0.23559411427569604,0.39608517349265243,0.535807286652016
full36_grouped_cv,C1_3k,C0,3,7,0.1,3,v_0300_0400,300.0,400.0,976,26,0.06661698169458438,0.10535246897076891,0.22566490158429994,0.24980525509834955,0.3869675815252549
full36_grouped_cv,C1_3k,C0,3,7,0.1,4,v_0400_0500,400.0,500.0,1061,30,0.000508774582549212,0.08136785058842874,0.14587375034218147,0.2673308447158848,0.5274230267441453
full36_grouped_cv,C1_3k,C0,3,7,0.1,5,v_0500_0600,500.0,600.0,1366,30,-0.04371105438538509,0.07771972333585028,0.1537631624226947,0.1995215223812086,0.3122956361038405
full36_grouped_cv,C1_3k,C0,3,7,0.1,6,v_0600_0700,600.0,700.0,1363,31,-0.08481191280355113,0.10664883041938061,0.18488150935887945,0.2248277488944353,0.4185882320286964
full36_grouped_cv,C1_3k,C0,3,7,0.1,7,v_0700_0800,700.0,800.0,1003,31,-0.12008294623765783,0.13885020691490213,0.24104832663818973,0.28180499881991444,0.3994971550562241
full36_grouped_cv,C1_3k,C0,3,7,0.1,8,v_0800_0900,800.0,900.0,1177,33,-0.10200951202855428,0.12550492038017286,0.21734752681229122,0.26704040729245393,0.2953863435844823
full36_grouped_cv,C1_3k,C0,3,7,0.1,9,v_0900_1000,900.0,1000.0,1583,35,-0.062035229414108536,0.09291182152667794,0.15614343465983244,0.20178633443626554,0.2430311226028152
full36_grouped_cv,C1_3k,C0,3,7,0.1,10,v_1000_1100,1000.0,1100.0,1554,36,-0.017437767485322386,0.07401445468893396,0.15009616369966686,0.23261813716944404,0.3589744798377978
full36_grouped_cv,C1_3k,C0,3,7,0.1,11,v_1100_1200,1100.0,1200.0,1262,36,0.02739905124399044,0.08723007612962051,0.14988792266073594,0.35332138843790295,0.4673112004591075
