scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm,operational_pose_domain,frame027_status,frame027_exclusion_reason,source_artifact
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.1647621750350497,0.180339251813986,0.2602972413815707,0.3044477107114174,0.3373106132157772,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,1,v_0100_0200,100.0,200.0,601,17,0.137717117091548,0.1705776092900896,0.2665020392163158,0.3941941110609575,0.4448776126135954,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,2,v_0200_0300,200.0,300.0,844,21,0.1100776876516216,0.1465603351230135,0.2410657658112595,0.3970185409625679,0.535807286652016,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,3,v_0300_0400,300.0,400.0,905,25,0.0714527954551108,0.1065175129442709,0.2258178768151442,0.2549456981275956,0.3869675815252549,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,4,v_0400_0500,400.0,500.0,1012,29,0.0050277218067459,0.0734260408154296,0.1412935306861417,0.1786672343715089,0.3772132119063371,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,5,v_0500_0600,500.0,600.0,1289,29,-0.044388359307922,0.0785467618825244,0.1544085799651134,0.2010673461312725,0.3122956361038405,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,6,v_0600_0700,600.0,700.0,1351,30,-0.0856769327079199,0.1076615897923883,0.1860147916203058,0.2251427754998068,0.4185882320286964,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,7,v_0700_0800,700.0,800.0,999,30,-0.124912773804027,0.1405729269609662,0.2440314292683299,0.2822292034436793,0.3994971550562241,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,8,v_0800_0900,800.0,900.0,1115,32,-0.1069438707158681,0.1268940752455344,0.2193176707426522,0.2684560379869735,0.2953863435844823,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,9,v_0900_1000,900.0,1000.0,1507,34,-0.0677905686537675,0.0912358544896006,0.1534025976785399,0.2009325417329118,0.2430311226028152,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,10,v_1000_1100,1000.0,1100.0,1517,35,-0.0243423905278848,0.0642705696620913,0.1244616789557168,0.1818290822275348,0.2417937506500038,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,11,v_1100_1200,1100.0,1200.0,1240,35,0.0188431948468525,0.0679960226062923,0.1265938270538467,0.1901812423985512,0.3532924597803912,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,12,v_1200_1300,1200.0,1300.0,1411,35,0.056891300219909,0.0775384843060147,0.146428210478465,0.1796829447349395,0.2460048666843022,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,13,v_1300_1400,1300.0,1400.0,1526,35,0.0478548727317413,0.0739130796679625,0.1405599037131776,0.1692212285862176,0.2274832003622577,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
exclude027_grouped_cv_non027,C1_3k,C0,3,7,0.1,14,v_1400_1500,1400.0,1500.0,1541,35,0.0366506783279267,0.0633122717347235,0.1196462388442848,0.1519887977126974,0.1977359249631263,Full-36 minus frame027,EXCLUDED_OUTSIDE_OPERATIONAL_POSE_DOMAIN,超出实际工作姿态域,D:\Docs\linelaserscan\calibration_tool\projects\daheng\outputs\0818\c1_frozen_quadratic_grouped_cv
