row_type,setting,fold,v_bin,v_bin_lo_px,v_bin_hi_px,point_count,pose_count,lambda_delta_bias_mm,lambda_delta_rmse_mm,lambda_delta_p95_mm,lambda_delta_max_abs_mm,valid_pair_rate,surface_status
pooled_global,6000,ALL,Global,0.0,3000.0,32400,36,-0.0004888066328776031,0.0021392261487846666,0.003719600413359103,0.014595782930541645,1.0,EQUIVALENT
fold_global,6000,0,Global,0.0,3000.0,5400,6,-0.0004864011741680256,0.002468072761876736,0.0052883768839080865,0.008957862223041957,1.0,EQUIVALENT
fold_global,6000,1,Global,0.0,3000.0,5400,6,-9.237761842876404e-05,0.0019985123863189096,0.003997718198485246,0.007960398624959453,1.0,EQUIVALENT
fold_global,6000,2,Global,0.0,3000.0,5400,6,-0.0004624520342991058,0.002685513742868187,0.004237257841390374,0.014595782930541645,1.0,EQUIVALENT
fold_global,6000,3,Global,0.0,3000.0,5400,6,-0.0007983666192320403,0.001001871941991455,0.0017371725831594638,0.002462782113980211,1.0,EQUIVALENT
fold_global,6000,4,Global,0.0,3000.0,5400,6,-0.001790622599025074,0.002628508092797697,0.004285886086478286,0.005668224650321463,1.0,EQUIVALENT
fold_global,6000,5,Global,0.0,3000.0,5400,6,0.0006973802478873908,0.001499169747723681,0.0022689415926095084,0.00392492095943453,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0000_0100,0.0,100.0,323,11,-0.0005509704519604257,0.004296586179312492,0.008484018162789651,0.00879881636490154,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0100_0200,100.0,200.0,643,18,-0.0018885012447932908,0.004260140554272333,0.007947820976562525,0.008957862223041957,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0200_0300,200.0,300.0,920,22,-0.002451801451669627,0.003726584574904421,0.007240076860102817,0.007719180936419434,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0300_0400,300.0,400.0,976,26,-0.0020932238590513057,0.0030670060880631455,0.005676298614304187,0.007188399931578715,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0400_0500,400.0,500.0,1061,30,-0.0019266842546811053,0.0026673036797409274,0.004368631964666747,0.006651526748441938,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0500_0600,500.0,600.0,1366,30,-0.0017465068458801367,0.0023490808375122834,0.003128210599669501,0.006125445866359769,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0600_0700,600.0,700.0,1363,31,-0.0015774157934627662,0.0021041149422129923,0.0032057584972449145,0.00556522543297433,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0700_0800,700.0,800.0,1003,31,-0.001298377518786813,0.0017658778102457922,0.0030519298782564876,0.004957567582550837,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0800_0900,800.0,900.0,1177,33,-0.0011782483674487702,0.0016541773135429236,0.002981152366442075,0.0044528918747346324,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_0900_1000,900.0,1000.0,1583,35,-0.0011383146979270522,0.0016290714156635404,0.0029304200049864444,0.003936913971642753,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1000_1100,1000.0,1100.0,1554,36,-0.0010380414094712037,0.0015811770953775284,0.002608373697080424,0.0036624847481334655,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1100_1200,1100.0,1200.0,1262,36,-0.0009917527320812058,0.0016035571004551772,0.002634731482987718,0.0036743866434107986,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1200_1300,1200.0,1300.0,1469,36,-0.0008958044758232672,0.0015502688431616922,0.002682729521643523,0.003670289059868992,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1300_1400,1300.0,1400.0,1602,36,-0.0007713352133893243,0.001530611850914352,0.0029686135805718546,0.0036000085785872216,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1400_1500,1400.0,1500.0,1593,36,-0.0007578908903964731,0.0016122853186899353,0.0034653740932753863,0.0036582779263198972,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1500_1600,1500.0,1600.0,1539,36,-0.0006212698539271783,0.0015220056439119473,0.003280351234707268,0.0037281787033407454,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1600_1700,1600.0,1700.0,1493,36,-0.00035414434905716406,0.0013388133141135079,0.002517957117311198,0.003725231327734946,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1700_1800,1700.0,1800.0,1464,36,-0.00022772180851303802,0.0013263642260442456,0.002417004046532156,0.003657947689248431,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1800_1900,1800.0,1900.0,1342,36,-0.0001364765658064242,0.0013509355924316306,0.0025599002489229863,0.0033906297989005907,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_1900_2000,1900.0,2000.0,1253,36,-0.0001266724028119423,0.0014492245658102385,0.0027191880418968133,0.0031059264014174914,1.0,EQUIVALENT
pooled_v_bin,6000,ALL,v_2000_2100,2000.0,2100.0,1126,30,0.00016430355695180296,0.0013729602139240986,0.0023348633429804977,0.002615441566717891,1.0,EQUIVALENT
