v_bin,v_bin_lo_px,v_bin_hi_px,point_count,pose_count,q_mae_mm,c_mae_mm,q_rmse_mm,c_rmse_mm,q_p95_mm,c_p95_mm,delta_mae_mm,delta_rmse_mm,delta_p95_mm,delta_sq_error_sum_mm2,q_win_pose_count,c_win_pose_count,tie_pose_count,q_win_pose_share,rmse_winner
v_0000_0100,0.0,100.0,323,11,0.15805225907256207,0.18504831392248638,0.17422976527528605,0.20120235863433114,0.24809716036311313,0.2901329624810386,-0.026996054849924317,-0.02697259335904509,-0.04203580211792546,-3.270820097920165,7,4,0,0.6363636363636364,Quadratic
v_0100_0200,100.0,200.0,643,18,0.1404090409902383,0.13629291380182945,0.16007628547067146,0.16063641613583943,0.2441533007718703,0.2723712668347843,0.004116127188408841,-0.0005601306651679683,-0.02821796606291399,-0.11550917513898895,10,8,0,0.5555555555555556,Quadratic
v_0200_0300,200.0,300.0,920,22,0.1190850394821504,0.10706831612035994,0.14031335126574115,0.1303706377155818,0.23231711061090432,0.22288540698315265,0.012016723361790466,0.009942713550159354,0.00943170362775167,2.476026695851324,10,12,0,0.45454545454545453,Cone
v_0300_0400,300.0,400.0,976,26,0.08378762057938112,0.07441549084673049,0.1007131894842492,0.09569311838560925,0.17402394758818218,0.1772994882452394,0.009372129732650628,0.005020071098639958,-0.0032755406570572076,0.9623102626145847,12,14,0,0.46153846153846156,Cone
v_0400_0500,400.0,500.0,1061,30,0.062124185018233434,0.06363182894907972,0.08223080171214911,0.08519091632708437,0.1436928576426908,0.1457746595904154,-0.001507643930846285,-0.0029601146149352553,-0.0020818019477246152,-0.5258183103654588,15,15,0,0.5,Quadratic
v_0500_0600,500.0,600.0,1366,30,0.059282433506564376,0.06614332634264727,0.07723740964617219,0.08456089828315941,0.15908065559241888,0.16961412999654604,-0.006860892836082898,-0.007323488636987216,-0.010533474404127163,-1.618611743079363,18,12,0,0.6,Quadratic
v_0600_0700,600.0,700.0,1363,31,0.0888881433428871,0.09504949726588016,0.10744792010533344,0.11305999719030697,0.19256873842592753,0.2017506007501196,-0.006161353922993065,-0.005612077084973535,-0.009181862324192075,-1.6867226266948663,17,14,0,0.5483870967741935,Quadratic
v_0700_0800,700.0,800.0,1003,31,0.12657252016652237,0.13204845406236565,0.1420424806887407,0.14573515740708587,0.24507490730389916,0.2440315607083789,-0.005475933895843277,-0.003692676718345167,0.0010433465955202725,-1.065857793609588,14,17,0,0.45161290322580644,Quadratic
v_0800_0900,800.0,900.0,1177,33,0.10673312984404261,0.11014012376730496,0.12396700931334997,0.12631106258589495,0.22302397105147517,0.22402566866328472,-0.0034069939232623525,-0.0023440532725449714,-0.0010016976118095433,-0.6905048621079217,17,16,0,0.5151515151515151,Quadratic
v_0900_1000,900.0,1000.0,1583,35,0.07438732900959122,0.07501943413464834,0.08955610072315139,0.09008958086575033,0.1583049519458654,0.16417597218878646,-0.0006321051250571252,-0.0005334801425989494,-0.005871020242921049,-0.151710610264999,17,18,0,0.4857142857142857,Quadratic
v_1000_1100,1000.0,1100.0,1554,36,0.05469536714654242,0.0536175223868126,0.06980954358965709,0.06960649463536711,0.1353436005732077,0.1392734715034804,0.0010778447597298221,0.0002030489542899777,-0.003929870930272694,0.043991068320996085,12,24,0,0.3333333333333333,Cone
v_1100_1200,1100.0,1200.0,1262,36,0.05628166490021775,0.05552700161212767,0.07730952364859806,0.07729332693232406,0.13312511529205717,0.13768010915908924,0.0007546632880900822,1.619671627399455e-05,-0.0045549938670320644,0.003160121834584473,14,22,0,0.3888888888888889,Cone
v_1200_1300,1200.0,1300.0,1469,36,0.07390100178935942,0.07422651311456302,0.10298952596503816,0.1039842479634398,0.1725557633792277,0.17176863521581234,-0.0003255113252036007,-0.000994721998401643,0.0007871281634153626,-0.3024397266817136,23,13,0,0.6388888888888888,Quadratic
v_1300_1400,1300.0,1400.0,1602,36,0.07391276387034376,0.07502290425560904,0.11177759666517925,0.11410204708117462,0.19561072406981975,0.20020092708062878,-0.0011101403852652736,-0.002324450415995369,-0.004590203010809035,-0.8411237430575049,21,15,0,0.5833333333333334,Quadratic
v_1400_1500,1400.0,1500.0,1593,36,0.06249694725277604,0.062209276010622365,0.09907755453584008,0.10058372768866454,0.13665520884496757,0.13683880394603418,0.00028767124215367534,-0.001506173152824461,-0.00018359510106660815,-0.47905406947147,19,17,0,0.5277777777777778,Quadratic
v_1500_1600,1500.0,1600.0,1539,36,0.052314534531694996,0.05150141414026598,0.08325818788860707,0.0850833412550916,0.11674868347083696,0.12172224558742069,0.0008131203914290147,-0.0018251533664845193,-0.00497356211658373,-0.4728563781904569,19,17,0,0.5277777777777778,Quadratic
v_1600_1700,1600.0,1700.0,1493,36,0.0742705278069632,0.07405843609813881,0.11914118536619075,0.12094826845344364,0.20930161522799118,0.19538729492587628,0.00021209170882438566,-0.0018070830872528865,0.013914320302114896,-0.6477553559978908,12,24,0,0.3333333333333333,Quadratic
v_1700_1800,1700.0,1800.0,1464,36,0.07680192365329619,0.07853544492658589,0.13242649704237378,0.13616274944072643,0.4662408846153937,0.48170892993334735,-0.0017335212732896982,-0.003736252398352652,-0.01546804531795365,-1.4691492047279375,15,21,0,0.4166666666666667,Quadratic
v_1800_1900,1800.0,1900.0,1342,36,0.05932856986058975,0.06109967679654562,0.0949199770332475,0.09779285635691438,0.1305099121215449,0.1328353907737437,-0.0017711069359558698,-0.00287287932366688,-0.0023254786521988147,-0.7429858387943913,16,20,0,0.4444444444444444,Quadratic
v_1900_2000,1900.0,2000.0,1253,36,0.04674044398846545,0.04546989634317591,0.06015886132809116,0.06106921810853318,0.11330253145763433,0.11380897392566554,0.001270547645289541,-0.0009103567804420176,-0.0005064424680312068,-0.13828208753115412,19,17,0,0.5277777777777778,Quadratic
v_2000_2100,2000.0,2100.0,1126,30,0.050316132637690074,0.049169546541240686,0.06338451583997706,0.0648243305973967,0.1215143088992931,0.12621917989036996,0.0011465860964493882,-0.0014398147574196385,-0.004704870991076859,-0.20785620976294705,17,13,0,0.5666666666666667,Quadratic
v_2100_2200,2100.0,2200.0,842,25,0.052330995275244846,0.051281609199115674,0.06556948322890448,0.06604922672011504,0.1245945805883877,0.1306545673666562,0.0010493860761291718,-0.00047974349121056303,-0.0060599867782685085,-0.05316659075127994,11,14,0,0.44,Quadratic
