frame_id,fit_group,source_chess_path,rvec_x,rvec_y,rvec_z,tvec_x_mm,tvec_y_mm,tvec_z_mm,translation_norm_mm,board_center_x_mm,board_center_y_mm,board_center_z_mm,camera_board_distance_mm,board_normal_x,board_normal_y,board_normal_z,board_plane_distance_mm,board_tilt_deg,normal_tilt_deg,point_count,v_min_px,v_max_px,v_span_px,v_support_10px_bin_count,v_support_100px_bin_count,edge_low_100px_bin_count,edge_high_100px_bin_count,edge_low_bin_ids,edge_high_bin_ids,lambda_truth_min_mm,lambda_truth_max_mm,lambda_truth_span_mm,lambda_truth_median_mm,Z_min_mm,Z_max_mm,Z_span_mm,Z_median_mm,lambda_bin_ids,depth_bin_id,translation_x_bin_id,translation_y_bin_id,nearest_normal_angle_to_other_deg,max_normal_angle_to_other_deg,loo_selected_pose_count,loo_v_grid_10px_occupied_count,loo_v_grid_10px_missing_count,loo_v_bin_100px_occupied_count,loo_v_bin_100px_missing_count,loo_v_continuous_ok,loo_edge_min_frame_count,loo_edge_frame_count_0_100,loo_edge_frame_count_100_200,loo_edge_frame_count_2800_2900,loo_edge_frame_count_2900_3000,loo_edge_multiframe_ok,loo_depth_center_min_mm,loo_depth_center_max_mm,loo_depth_center_span_mm,loo_depth_span_ratio,loo_lambda_truth_min_mm,loo_lambda_truth_max_mm,loo_lambda_truth_span_mm,loo_lambda_span_ratio,loo_depth_bin_occupied_count,loo_depth_bin_missing_count,loo_lambda_bin_occupied_count,loo_lambda_bin_missing_count,loo_depth_lambda_excitation_ok,loo_translation_x_bin_occupied_count,loo_translation_y_bin_occupied_count,loo_translation_coverage_ok,loo_full_normal_pairwise_diameter_deg,loo_normal_cover_max_angle_deg,loo_normal_cover_p95_angle_deg,loo_normal_pairwise_diameter_deg,loo_normal_cover_missing_pose_count,loo_normal_angle_diversity_ok,loo_overall_geometry_ok,loo_v_coverage_loss,loo_edge_multiframe_loss,loo_depth_lambda_loss,loo_normal_diversity_loss,loo_translation_coverage_loss,loo_overall_geometry_loss,curated_selected,loo_normal_missing_pose_ids,loo_v_missing_grid_count,near_duplicate_strict_pair_count,pair_count
001,fit_001_018,existing geometry table,-0.0721675802710171,0.6689149804769094,3.0644027226655144,70.26342851252268,86.92592310534128,640.2020869477833,649.8859727878016,-30.603767441018093,22.72013067390409,664.7667973820875,665.8586109836385,0.044038477245822404,-0.41658962535654204,-0.9080273655387073,614.4391577660417,24.765844219145702,24.765844219145702,900,898.0115496512335,2733.9901017992115,1835.978552147978,142,20,0,0,,,627.6251275830571,703.7777348869761,76.15260730391901,666.5349864543743,627.6251275830571,703.7777348869761,76.15260730391901,666.5349864543743,1;2;3;4;5;6;7,2,0,2,1.6851616774943454,51.01376980299323,35,300,0,30,0,True,11,11,18,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,1.6851616774943454,8.537736462515939e-07,49.44636020433504,0,False,False,False,False,False,True,False,True,True,,0,0,35
002,fit_001_018,existing geometry table,0.5615111424753477,0.0020568761146903,-3.026432455536848,41.74566039018325,104.22043257409388,699.8353920142281,708.7835880175642,-47.018638350675865,28.14573651019441,664.7136055017394,666.9685990923223,0.3583186518603301,0.01289058607154,-0.9335103515868092,637.0018716435553,21.011200707412186,21.011200707412186,900,871.9931775972348,2814.9996280130126,1943.0064504157779,140,20,0,1,,28,679.4780724559023,681.6157588474265,2.1376863915241984,680.2341869868258,679.4780724559023,681.6157588474265,2.1376863915241984,680.2341869868258,5,2,0,2,3.805453726788851,42.106031513713155,35,300,0,30,0,True,11,11,18,14,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,3.805453726788851,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,34
003,fit_001_018,existing geometry table,0.2344801393784892,-0.2865994417253122,1.618352781118659,57.649363835441775,-90.96784091055196,634.816696187931,643.8872843825374,-18.92713073544724,-0.507997397434707,664.0238389926791,664.2937250116155,0.021973367519522197,0.32397834413935295,-0.9458092850297966,628.6203853557946,18.948772388203782,18.948772388203782,900,168.99015535080898,2705.0156961347025,2536.0255407838936,214,27,1,0,1,,624.956667498883,703.8292580019747,78.87259050309171,664.2001698446775,624.956667498883,703.8292580019747,78.87259050309171,664.2001698446775,1;2;3;4;5;6;7,2,1,1,2.790347193822988,43.54592688052866,35,300,0,30,0,True,11,11,17,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,2.790347193822988,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,33
004,fit_001_018,existing geometry table,-0.0211116804177759,-0.0502373500809745,-0.029982443194688,-153.22750676347866,-106.03239714077723,645.0542192951825,671.4286886206821,-51.26406153436999,-39.022743673010126,648.6821910619308,651.8737328115594,0.0498885784397134,-0.0218509479966232,-0.9985157313797882,649.4241796535587,3.122105794209866,3.122105794209866,900,49.00791335741325,2077.718937690636,2028.7110243332227,202,21,2,0,0;1,,648.4872733412135,652.5953490739247,4.1080757327112,650.8256092336421,648.4872733412135,652.5953490739247,4.1080757327112,650.8256092336421,3,0,0,0,0.3647840071835855,27.65295357196894,35,300,0,30,0,True,10,10,17,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,0.3647840071835855,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,32
005,fit_001_018,existing geometry table,-0.0546992875081022,-0.0095620159614345,1.5334230839318117,111.75220270047672,-96.94473863944296,658.6379745990118,675.0487528632038,45.6177678024973,5.492914116159199,652.9140058143666,654.5287249871718,0.0405568547105731,-0.0296232919635443,-0.9987380047385942,650.4026364505305,2.8788045209626643,2.8788045209626643,900,251.018110032898,2961.036089734711,2710.0179797018127,271,28,0,2,,28;29,646.7394706777214,654.0438983286313,7.304427650909815,650.3915183518884,646.7394706777214,654.0438983286313,7.304427650909815,650.3915183518884,3,0,2,1,0.3325236657240922,28.121236969836485,35,300,0,30,0,True,10,11,18,14,10,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,0.3325236657240922,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,31
006,fit_001_018,existing geometry table,-0.010702208691161,-0.042941552653592,0.1209235876414574,-102.56268616744038,-76.60523210851846,699.6916127453959,711.3057142512872,-11.810089414307017,4.961599312302738,702.9807151351829,703.0974196593833,0.04346916294687231,-0.008079919787789401,-0.9990220952355965,702.8467309701986,2.534085764196888,2.534085764196888,900,637.9855184564794,2524.995058483226,1887.0095400267464,190,20,0,0,,,702.7664709012936,704.3272769133508,1.5608060120572418,703.5864328699327,702.7664709012936,704.3272769133508,1.5608060120572418,703.5864328699327,7,6,1,1,0.06507757721433867,26.879863622371996,35,300,0,30,0,True,11,11,18,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,0.06507757721433867,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,True,,0,2,30
007,fit_001_018,existing geometry table,-0.0075065932608679,-0.0445263561027512,-0.0041106474510081,-32.20103865645945,-113.7173168939753,703.0535602890079,712.9185393066793,67.99834695757679,-44.11409479042554,706.9873365121281,711.6185231826493,0.0444956753036461,-0.0075955218613115,-0.9989807019792358,702.9060037805342,2.5871708969671,2.5871708969671,900,118.97999544257928,1993.999581883192,1875.0195864406126,189,19,1,0,1,,703.3103163157795,704.792366231609,1.4820499158295206,704.0612072828527,703.3103163157795,704.792366231609,1.4820499158295206,704.0612072828527,7,7,2,0,0.05897282559309184,26.8493444523456,35,300,0,30,0,True,11,11,17,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,0.05897282559309184,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,29
008,fit_001_018,existing geometry table,-0.0053588833976702,-0.0823407041344605,-0.8761286731934009,-149.79428410256304,37.51528513829276,695.7888071265969,712.7185898315404,-32.349517287436214,5.623920015677143,705.2581037402056,706.0220341011344,0.0699172268547046,-0.0384955229569338,-0.9968097492005282,705.4864377918118,4.577892286774789,4.577892286774789,900,292.01553542811314,2626.6577991982967,2334.6422637701835,234,25,0,0,,,703.6545639621661,712.7152868858277,9.060722923661615,708.0360828807347,703.6545639621661,712.7152868858277,9.060722923661615,708.0360828807347,7,7,0,1,1.4953404519082945,28.589301948727005,35,300,0,30,0,True,11,11,18,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,1.4953404519082945,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,28
009,fit_001_018,existing geometry table,0.0767785457527575,0.0705721968250829,-3.131810149256277,54.44560897553669,29.86878329959432,711.9988747048798,714.7019421643754,-44.79087890615421,-40.7517942286083,703.9457074714159,706.545462538306,0.0487950969063531,0.0452145061973328,-0.9977848901177202,706.4145379076559,3.814305442730843,3.814305442730843,900,151.0122142305479,2022.9614097596093,1871.9491955290614,186,20,1,0,1,,702.2064669340403,710.3667687540712,8.160301820030895,706.0058892659517,702.2064669340403,710.3667687540712,8.160301820030895,706.0058892659517,7,6,0,0,0.9363307434870415,27.21095585463705,35,300,0,30,0,True,11,11,17,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,0.9363307434870415,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,False,,0,0,27
010,fit_001_018,existing geometry table,-0.200135226980418,-0.0183723928946925,-3.1186487965642646,141.11944530082184,38.68038802169745,666.9378095345887,682.8007850363941,43.156704379402754,-32.87397018746053,680.4757271159019,682.6349055261477,-0.1277110559087635,-0.0127877611275105,-0.9917289747526864,679.938699004508,7.374237094643685,7.374237094643685,900,193.9910810358828,2115.98764422037,1921.996563184487,193,21,1,0,1,,685.4894957780575,687.4730930072624,1.983597229204861,686.4923924516902,685.4894957780575,687.4730930072624,1.983597229204861,686.4923924516902,6,4,2,0,3.364384489830869,31.9231054962134,35,300,0,30,0,True,11,11,17,15,11,True,646.044797358033,712.2764697801146,66.2316724220816,1.0,599.9158940171042,713.8641567975121,113.94826278040796,1.0,7,0,8,0,True,3,3,True,51.01376980299323,3.364384489830869,8.537736462515939e-07,51.01376980299323,0,True,True,False,False,False,False,False,False,True,,0,0,26
