frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 004.tif,p01,908,988,81,-0.10452653081426888,0.02969183936686356,0.0,p01
1,laser 004_02.tif,p01,908,988,81,-0.10444043736765707,0.0298504146180922,0.0,p01
0,laser 004.tif,p02,1208,1400,193,0.07593125258961209,0.02263191487887585,0.18045778340388097,p01
1,laser 004_02.tif,p02,1208,1400,193,0.0764336671604724,0.022143189883767483,0.18087410452812946,p01
0,laser 004.tif,p03,1486,1564,79,29.9744375324193,0.021222310586049495,30.07896406323357,p01
1,laser 004_02.tif,p03,1486,1564,79,29.973468864405504,0.020747727402803486,30.07790930177316,p01
0,laser 004.tif,p04,1586,1658,73,19.94375704159154,0.024330471324240474,20.048283572405808,p01
1,laser 004_02.tif,p04,1586,1658,73,19.942138518325464,0.024267353035431247,20.04657895569312,p01
0,laser 004.tif,p05,1681,1754,74,9.917610164158134,0.021417060218262705,10.022136694972403,p01
1,laser 004_02.tif,p05,1681,1754,74,9.914323800333193,0.02111912557313513,10.01876423770085,p01
0,laser 004.tif,p06,1773,1843,71,5.975255768920533,0.02230861215048676,6.079782299734802,p01
1,laser 004_02.tif,p06,1773,1843,71,5.97564527506222,0.023381237344105552,6.080085712429877,p01
0,laser 004.tif,p07,1865,1938,74,1.9638220107892153,0.02585331598810715,2.068348541603484,p01
1,laser 004_02.tif,p07,1865,1938,74,1.9601861071031408,0.028415911324650718,2.064626544470798,p01
0,laser 004.tif,p08,1957,2028,72,0.9894422825720426,0.029068342110343655,1.0939688133863115,p01
1,laser 004_02.tif,p08,1957,2028,72,0.9869257737726116,0.030570381805432114,1.0913662111402687,p01
0,laser 004.tif,p09,2051,2225,175,-0.0395721500539139,0.02355758755763165,0.06495438076035498,p01
1,laser 004_02.tif,p09,2051,2225,175,-0.04046948524751315,0.02364359057118448,0.06397095212014392,p01
