frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 004.tif,p01,1208,1400,193,0.07593125258961209,0.02263191487887585,0.1141849227556122,p08
1,laser 004_02.tif,p01,1208,1400,193,0.0764336671604724,0.022143189883767483,0.11672739644814101,p08
0,laser 004.tif,p02,1486,1564,79,29.9744375324193,0.021222310586049495,30.0126912025853,p08
1,laser 004_02.tif,p02,1486,1564,79,29.973468864405504,0.020747727402803486,30.013762593693173,p08
0,laser 004.tif,p03,1586,1658,73,19.94375704159154,0.024330471324240474,19.98201071175754,p08
1,laser 004_02.tif,p03,1586,1658,73,19.942138518325464,0.024267353035431247,19.982432247613133,p08
0,laser 004.tif,p04,1681,1754,74,9.917610164158134,0.021417060218262705,9.955863834324134,p08
1,laser 004_02.tif,p04,1681,1754,74,9.914323800333193,0.02111912557313513,9.954617529620862,p08
0,laser 004.tif,p05,1773,1843,71,5.975255768920533,0.02230861215048676,6.013509439086533,p08
1,laser 004_02.tif,p05,1773,1843,71,5.97564527506222,0.023381237344105552,6.015939004349889,p08
0,laser 004.tif,p06,1865,1938,74,1.9638220107892153,0.02585331598810715,2.0020756809552154,p08
1,laser 004_02.tif,p06,1865,1938,74,1.9601861071031408,0.028415911324650718,2.0004798363908094,p08
0,laser 004.tif,p07,1957,2028,72,0.9894422825720426,0.029068342110343655,1.0276959527380427,p08
1,laser 004_02.tif,p07,1957,2028,72,0.9869257737726116,0.030570381805432114,1.0272195030602802,p08
0,laser 004.tif,p08,2051,2191,141,-0.03825367016600012,0.023928287626036226,0.0,p08
1,laser 004_02.tif,p08,2051,2191,141,-0.04029372928766861,0.024190792179121717,0.0,p08
