scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
0,2167.130629643798,0.018941678804614507,nan,0.0,1.0,0.0,False
1,2167.161021590233,0.008702586647650676,nan,0.0,1.0,0.0,False
2,2167.203942708671,0.00030696603441696894,nan,0.0,1.0,0.0,False
3,2167.228888295591,0.00028589261016152194,nan,0.0,1.0,0.0,False
4,nan,0.0,nan,0.0,0.0,0.0,False
5,2167.2323681116104,0.001368824272512561,nan,0.0,1.0,0.0,False
6,nan,0.0,nan,0.0,0.0,0.0,False
7,2167.159595258534,0.004593637702762979,nan,0.0,1.0,0.0,False
8,2167.083132971078,0.0029457222677673417,nan,0.0,1.0,0.0,False
9,nan,0.0,nan,0.0,0.0,0.0,False
10,nan,0.0,nan,0.0,0.0,0.0,False
11,nan,0.0,nan,0.0,0.0,0.0,False
12,2166.98194408603,0.00024558441791691567,nan,0.0,1.0,0.0,False
13,2166.9794327430427,0.00028628510268827965,nan,0.0,1.0,0.0,False
14,2166.9685751115903,0.004732931720002468,nan,0.0,1.0,0.0,False
15,2166.9483164064586,0.012571124700276172,nan,0.0,1.0,0.0,False
16,2166.916062116623,0.0177090520730649,nan,0.0,1.0,0.0,False
17,2166.8922609500587,0.015517105117490642,nan,0.0,1.0,0.0,False
18,2166.9099624045193,0.0016876599131414103,nan,0.0,1.0,0.0,False
19,2166.9539074227214,0.0144374977878159,nan,0.0,1.0,0.0,False
20,2166.971528557129,0.01652423172152779,nan,0.0,1.0,0.0,False
21,2166.969108977355,0.008037083958396612,nan,0.0,1.0,0.0,False
22,2166.962739219889,0.003850680959747035,nan,0.0,1.0,0.0,False
23,2166.9437784757465,0.012441399334737672,nan,0.0,1.0,0.0,False
24,2166.887992348522,0.014127439228389445,nan,0.0,1.0,0.0,False
25,2166.8006829097867,0.011910604558769505,nan,0.0,1.0,0.0,False
26,2166.7339390963316,0.01209557654017169,nan,0.0,1.0,0.0,False
27,2166.7313222289085,0.012131843903315315,nan,0.0,1.0,0.0,False
28,2166.768044911325,0.006699800016549376,nan,0.0,1.0,0.0,False
29,2166.7903275042772,0.0023449874308733775,nan,0.0,1.0,0.0,False
30,2166.772697918117,0.013899282532331783,nan,0.0,1.0,0.0,False
31,2166.736233867705,0.028851635684844636,nan,0.0,1.0,0.0,False
32,2166.70425863564,0.04121428626731773,nan,0.0,1.0,0.0,False
33,2166.6744752675295,0.039954306231084556,nan,0.0,1.0,0.0,False
34,2166.6299061477184,0.029488674763374672,nan,0.0,1.0,0.0,False
35,2166.5683357715607,0.023589296083607814,nan,0.0,1.0,0.0,False
36,2166.5548898875713,0.023197077511365433,nan,0.0,1.0,0.0,False
37,2166.5190730690956,0.017681951649472394,nan,0.0,1.0,0.0,False
38,2166.4951672554016,0.0035293349474537555,nan,0.0,1.0,0.0,False
39,2166.461931422353,0.0018848702856799474,nan,0.0,1.0,0.0,False
40,2166.4438491016626,0.0067831770196160514,nan,0.0,1.0,0.0,False
41,2166.4559843838215,0.01633519125215529,nan,0.0,1.0,0.0,False
42,2166.456582143903,0.014447244246534045,nan,0.0,1.0,0.0,False
43,2166.4162341356277,0.0027516834455792497,nan,0.0,1.0,0.0,False
44,2166.3622775673866,0.0044460289025657004,nan,0.0,1.0,0.0,False
45,2166.3365514427423,0.002155410906271376,nan,0.0,1.0,0.0,False
46,2166.343495592475,0.011211925714292286,nan,0.0,1.0,0.0,False
47,2166.354808047414,0.009708547627908695,nan,0.0,1.0,0.0,False
48,2166.3471206873655,8.659070026563179e-05,nan,0.0,1.0,0.0,False
49,2166.32225112617,0.009910810353912477,nan,0.0,1.0,0.0,False
50,2166.3037857562304,0.01154016537049513,nan,0.0,1.0,0.0,False
