v,sample_count,residual_median_mm,residual_mean_mm,residual_std_mm,residual_mad_mm,residual_p95_abs_mm
0,5,0.131001,0.13183540000000002,0.0263772604585844,0.004345999999999989,0.1623582
1,5,0.116354,0.1227152,0.027314203772030407,0.0039980000000000016,0.1591266
2,5,0.102088,0.11682079999999999,0.0345629363871185,0.004877000000000006,0.163985
3,5,0.101846,0.11853720000000001,0.04153171584102924,0.015710000000000002,0.17555619999999997
4,5,0.111809,0.119084,0.04523289462327168,0.016236999999999988,0.1749044
5,5,0.124944,0.11366559999999999,0.04740633503868444,0.010829000000000005,0.158739
6,5,0.123587,0.10611600000000002,0.04671074133965335,0.012526999999999996,0.139093
7,5,0.128312,0.10172780000000001,0.04607715426000178,0.0036159999999999803,0.1313806
8,5,0.122388,0.1028554,0.04416823985965481,0.019183000000000006,0.1381378
9,5,0.111767,0.10333940000000001,0.04316913052517968,0.01978400000000001,0.15053339999999998
10,5,0.108192,0.1037048,0.05081015044949187,0.053773999999999995,0.164292
11,5,0.12218,0.109128,0.0550909323028754,0.054038,0.1718296
12,5,0.116933,0.11630979999999999,0.05257505341604514,0.037271,0.17955379999999999
13,5,0.094195,0.12315019999999999,0.04849535645502567,0.010209999999999997,0.185096
14,5,0.118792,0.1294894,0.049753279417541915,0.042546000000000014,0.1895028
15,5,0.139629,0.1343272,0.05323848894080297,0.029346999999999998,0.1951874
16,5,0.133697,0.14122479999999998,0.047360988631995435,0.01669000000000001,0.20355579999999998
17,5,0.133398,0.1430208,0.04274665702952689,0.013607999999999995,0.2007676
18,8,0.176313,0.346549125,0.29036137776395493,0.074958,0.6968783
19,7,0.185141,0.3665481428571428,0.3018649249379754,0.113681,0.6894979
20,7,0.179249,0.3718534285714286,0.3107205181760919,0.119446,0.7040458
21,7,0.185943,0.3869505714285714,0.3247751853112432,0.130594,0.7337948
22,7,0.197036,0.38800542857142845,0.3226339730927588,0.13985499999999998,0.7323105999999999
23,7,0.207723,0.37847457142857144,0.3156584204810938,0.14626099999999997,0.7153354
24,7,0.20562,0.3667588571428571,0.30905200872098565,0.139768,0.6968228
25,7,0.219297,0.3638845714285715,0.3023877540338217,0.147268,0.6859507
26,7,0.21903,0.3684835714285714,0.30538230312067155,0.138164,0.6937462
27,8,0.1519675,0.32984075,0.2970132291795146,0.06283050000000001,0.68864745
28,8,0.15072,0.325710875,0.284863854345213,0.05854549999999999,0.6714438
29,8,0.1576725,0.32320024999999997,0.2704143649268391,0.0682935,0.6517235
30,8,0.15828,0.320322375,0.26599228624741167,0.07083300000000001,0.64303595
31,8,0.15663,0.318677,0.268433510124947,0.067686,0.6441551999999999
32,8,0.1480165,0.313240875,0.27020975288808374,0.060243,0.6408466
33,8,0.1355155,0.305243125,0.271259338717681,0.05465650000000001,0.63389845
34,8,0.13184099999999999,0.302327,0.2743163315069458,0.057598999999999984,0.6344004
35,8,0.1390565,0.310653375,0.2816407039798542,0.06475049999999999,0.651428
36,8,0.1493575,0.32476550000000004,0.287411382848945,0.06608,0.6726861000000001
37,8,0.1394115,0.333977125,0.2939001348638379,0.041628,0.69052085
38,8,0.13726349999999998,0.339157375,0.2965032314499588,0.027451499999999983,0.6992296
39,8,0.123403,0.32963437500000003,0.2967231837862823,0.0165145,0.68972345
40,9,0.1395,0.34871844444444444,0.28341776566894633,0.06736800000000001,0.667007
41,9,0.169867,0.33719422222222223,0.26869589053415843,0.11535499999999999,0.6396824
42,9,0.193215,0.32500666666666667,0.25377516369909014,0.140944,0.6192936
43,9,0.203606,0.32001211111111105,0.24826811909276855,0.143818,0.6190632
44,9,0.200296,0.3194194444444445,0.251017725393104,0.130739,0.6274974
45,9,0.192362,0.3209697777777778,0.24745296042873371,0.118298,0.6260732
46,9,0.182281,0.31003733333333333,0.2390501194420325,0.114998,0.6024497999999999
47,9,0.174935,0.291342,0.21958580729238855,0.11911100000000001,0.555769
48,9,0.174197,0.28132755555555555,0.20999767276098033,0.11667799999999999,0.5296246
49,9,0.175791,0.28005777777777774,0.21336172798898223,0.11023000000000001,0.5392404
50,9,0.173108,0.2871776666666667,0.2177418213056463,0.09484100000000001,0.5573416
