frame_i,frame_j,common_sample_count,correlation_coefficient
001,001,1090,0.9999999999999998
001,002,314,0.9031133879783982
001,003,806,0.35188772157484766
001,004,552,0.3270408555309623
001,005,504,0.5673451534436943
001,006,797,0.5266921503300204
001,007,426,0.2902188354346991
001,008,439,0.038075255581531464
001,009,263,0.013585459311009166
001,010,266,0.10237601970660036
001,011,507,-0.1810750060235018
001,012,817,0.3786492718940955
001,013,816,0.38017463984232214
001,014,816,0.37492748004325105
001,015,1052,0.345213751347784
001,016,504,0.33803111291752114
001,017,711,0.37218402768209957
001,018,564,0.4990228971736134
001,019,958,0.3610797481054722
001,020,591,0.7202201082006083
001,021,370,0.3547888024082953
001,022,300,0.2541743914289011
001,023,235,0.4902143689414282
001,024,539,0.22135267947700105
001,025,709,0.2812985844948281
001,026,458,0.2890203663185142
001,027,636,0.003513667846154667
001,028,224,-0.7220321185007629
001,029,671,0.29271690592585486
001,030,586,0.7665744549973781
001,031,464,-0.3096638564725033
002,001,314,0.9031133879783984
002,002,982,1.0
002,003,453,0.4395539942477823
002,004,595,0.35241939905467384
002,005,520,0.6780394924038656
002,006,208,0.4483805114880189
002,007,858,0.4941791490668593
002,008,408,0.7203213096057102
002,009,70,0.1144316507040752
002,010,294,-0.32788173388104314
002,011,354,0.42111712031774906
002,012,189,-0.16404496992816786
002,013,187,-0.1683454628890681
002,014,189,-0.15960059347078176
002,015,949,0.3863132839553475
002,016,355,0.44186231845163454
002,017,571,0.4146632004673169
002,018,360,0.7161474594878562
002,019,907,0.3573869434890887
002,020,530,0.708918805123894
002,021,537,0.32717220634495403
002,022,273,0.5716271154480576
002,023,107,0.543918933802929
002,024,423,0.47888438808568845
002,025,459,0.04592891527247544
002,026,628,0.4659640522480262
002,027,446,-0.018522925468266515
002,028,211,-0.8421705006865875
002,029,632,0.13387281290308034
002,030,460,0.5502937586898613
002,031,324,0.5882148967325957
003,001,806,0.35188772157484766
003,002,453,0.4395539942477823
003,003,1090,0.9999999999999998
003,004,511,0.194047980766837
003,005,558,0.4138632212003402
003,006,580,0.7890864108536149
003,007,595,0.2754822445815586
003,008,297,-0.3134225729421567
003,009,266,0.6069177735324713
003,010,266,-0.28330052015903545
003,011,366,-0.5794112438356067
003,012,739,0.744393165214909
003,013,739,0.7403603077359457
003,014,739,0.7395286654282643
003,015,1049,0.3547728282751694
003,016,413,0.16682187007017127
003,017,560,0.3191034047589248
003,018,425,0.32144531064790965
003,019,1000,0.35476318446586413
003,020,731,0.48408305946226404
003,021,399,0.5304954427772065
003,022,372,0.32976036629242456
003,023,304,0.606795358040308
003,024,589,0.1518727311668937
003,025,574,-0.06501026259823021
003,026,484,0.024866543234298228
003,027,848,0.33875705343585977
003,028,152,-0.5079060008554871
003,029,608,0.014314377610348998
003,030,729,0.5443891095540652
003,031,465,-0.34010034160985786
004,001,552,0.3270408555309623
004,002,595,0.35241939905467384
004,003,511,0.19404798076683702
004,004,1455,1.0
004,005,862,0.5452789138888866
004,006,773,0.6146758694472454
004,007,938,0.6951756391906042
004,008,668,0.44027878751076627
004,009,609,0.00014827235955697037
004,010,558,-0.22494017440114028
004,011,782,0.38638047246212764
004,012,800,0.6826224689801302
004,013,800,0.6850273835258754
004,014,799,0.6848789521963228
004,015,1287,0.22176660225493894
004,016,892,0.3018241298681818
004,017,848,0.3492470744015548
004,018,372,0.41407184947125547
004,019,949,0.43613324034856576
004,020,881,0.4449024496056305
004,021,754,0.05201135917138489
004,022,568,0.009778357327450672
004,023,314,-0.1780043270267506
004,024,736,-0.17062171881846258
004,025,814,0.4953736912109452
004,026,791,0.0012035795466684332
004,027,590,-0.4056920898264493
004,028,493,-0.16629471587871
004,029,1014,0.20924840863485397
004,030,945,0.24616254913083435
004,031,669,0.756634569638027
005,001,504,0.5673451534436942
005,002,520,0.6780394924038656
005,003,558,0.4138632212003402
005,004,862,0.5452789138888866
005,005,1815,1.0
005,006,999,0.46661087299790893
005,007,1027,0.1486519215980975
005,008,939,-0.10145976632272734
005,009,632,0.6739596525607544
005,010,592,0.5897409986139488
005,011,971,-0.13462843555383242
005,012,1068,0.2534981883991802
005,013,1069,0.24410578486349474
005,014,1068,0.23352919694131508
005,015,1663,0.25304949072000693
005,016,641,-0.0983303619412464
005,017,906,0.28124251160655456
005,018,592,0.6916008910318567
005,019,993,0.6062482843430144
005,020,941,0.20259482965742004
005,021,1112,0.470114352174525
005,022,732,0.42220054011702035
005,023,608,0.24422733996469576
005,024,1219,0.32509956701916237
