v,sample_count,residual_median_mm,residual_mean_mm,residual_std_mm,residual_mad_mm,residual_p95_abs_mm
0,5,0.1740105,0.1813663,0.03041604127265743,0.01062550000000001,0.2225122
1,5,0.1596705,0.1722461,0.02800313169183048,0.0152785,0.2093842
2,5,0.16762300000000002,0.1663517,0.0328725682629149,0.022630999999999984,0.20201159999999999
3,5,0.17993900000000002,0.1680681,0.039248037789168515,0.025841999999999976,0.20495259999999998
4,5,0.18870399999999998,0.1686149,0.04516563890337432,0.023092,0.2091634
5,5,0.179171,0.1631965,0.05193397875909374,0.02618899999999999,0.211585
6,5,0.157607,0.15564689999999998,0.05729838414650102,0.014111000000000012,0.2163612
7,5,0.156113,0.1512587,0.060100037106477724,0.014908000000000005,0.21996039999999997
8,5,0.153585,0.1523863,0.05527649230414317,0.0037540000000000073,0.2141398
9,5,0.172072,0.15287030000000001,0.043642792371135004,0.02384599999999998,0.19135299999999997
10,5,0.158353,0.1532357,0.03785530553238211,0.026973999999999998,0.18815819999999997
11,5,0.150218,0.1586589,0.034790615484638965,0.03906649999999999,0.1935724
12,5,0.169071,0.1658407,0.028781995847230606,0.010398999999999992,0.19647659999999997
13,5,0.184182,0.1726811,0.028860662055815695,0.02016599999999999,0.2010624
14,5,0.18937600000000002,0.1790203,0.04011226824426663,0.03335099999999999,0.2198932
15,5,0.182783,0.18385810000000002,0.04848687302559322,0.034529000000000004,0.2383136
16,5,0.172789,0.19075570000000003,0.04014585640449087,0.019719000000000014,0.2361598
17,5,0.194056,0.19255170000000002,0.034481453981814625,0.029669,0.2278522
18,8,0.215511,0.3984161875,0.2932687120758681,0.06949375,0.752221825
19,7,0.220505,0.4171593571428572,0.3066161299613512,0.1060355,0.7435688500000001
20,7,0.230734,0.4224646428571429,0.31590647431976265,0.1279215,0.75810475
21,7,0.243696,0.4375617857142857,0.33019689994971907,0.14533749999999998,0.78851775
22,7,0.246211,0.43861664285714286,0.32795901459198046,0.1460205,0.7863719499999999
23,7,0.23127,0.4290857857142857,0.32048507979686786,0.12679849999999998,0.76912015
24,7,0.217634,0.4173700714285714,0.3136192896054371,0.1087725,0.75061495
25,7,0.231311,0.4144957857142857,0.30649739225873485,0.11627249999999999,0.74018005
26,7,0.231044,0.41909478571428577,0.3093282714661531,0.1071685,0.74794555
27,8,0.203436,0.3828764375,0.29853764112951336,0.06840525,0.742697825
28,8,0.189416,0.37874656250000005,0.28654409093097666,0.04243925,0.725494175
29,8,0.20470850000000002,0.3762359375,0.27220286704738617,0.04788275000000003,0.705773875
30,8,0.2073025,0.37335806250000003,0.2673846374024076,0.04951825,0.697086325
31,8,0.196729,0.3717126875,0.26948721281298266,0.035418749999999985,0.698205575
32,8,0.1846525,0.36627656249999996,0.2714580277244187,0.029316250000000002,0.6948995250000001
33,8,0.1784415,0.35827881250000004,0.27293710427272666,0.03855925,0.688392675
34,8,0.177028,0.3553626875,0.27605806626711415,0.046493749999999986,0.6887797250000001
35,8,0.182263,0.3636890625,0.2831944648431833,0.049055749999999995,0.705560125
36,8,0.18817250000000002,0.3778011875,0.28883490313312915,0.03987825000000002,0.7268500250000001
37,8,0.19367499999999999,0.3870128125,0.29600762118650853,0.041838249999999994,0.7447642750000001
38,8,0.204846,0.39219306249999997,0.2992023818463537,0.05201650000000001,0.753402525
39,8,0.20179399999999997,0.3826700625,0.3000510829831954,0.06028549999999998,0.743941675
40,9,0.226435,0.40838427777777775,0.29338313675317457,0.11129349999999999,0.7221681000000001
41,9,0.218804,0.3968600555555556,0.277978024978307,0.12128249999999999,0.6960031000000001
42,9,0.205229,0.3846725,0.26130860075959517,0.10994849999999999,0.6760171
43,9,0.21562,0.3796779444444444,0.25362278481997685,0.11282249999999999,0.6755415
44,9,0.21231,0.3790852777777778,0.2556499611294845,0.0997435,0.6835049
45,9,0.204376,0.3806356111111111,0.25204292250264365,0.08730249999999999,0.6820205
46,9,0.194295,0.36970316666666664,0.24345829841461042,0.0840025,0.6592313
47,9,0.200971,0.35100783333333335,0.22496443217220474,0.1021375,0.6130797
48,9,0.21290900000000001,0.3409933888888889,0.21669988328861325,0.11238050000000001,0.5851685000000001
49,9,0.222247,0.3397236111111111,0.21974281555047168,0.1136765,0.59359
50,9,0.218061,0.3468435,0.22349033967503495,0.10158700000000001,0.6116912
51,9,0.19799899999999998,0.35390883333333334,0.22955050823497974,0.08042499999999997,0.6261704
52,9,0.185775,0.3577960555555555,0.23890252614369795,0.05859699999999998,0.6388404
53,9,0.186773,0.3604490555555555,0.24696371759372931,0.06809799999999999,0.648271
54,9,0.200559,0.35797738888888886,0.2422577395106266,0.08244499999999999,0.6439932
55,9,0.212199,0.35187938888888887,0.22869480367112327,0.07738249999999999,0.627152
56,9,0.201281,0.3436002777777778,0.21559586922383728,0.06407749999999998,0.605892
57,9,0.183247,0.34081894444444444,0.2171966518329997,0.043227499999999974,0.6041242
58,9,0.190288,0.3460770555555555,0.23413712401702827,0.05398750000000002,0.6254405
59,9,0.196662,0.34989116666666664,0.24665477545562034,0.0732575,0.6384907
60,8,0.167398,0.33138956250000007,0.2618068647627262,0.04804674999999998,0.647181625
