frame_i,frame_j,common_sample_count,correlation_coefficient
001,001,1090,1.0
001,002,217,0.5398971959835456
001,003,806,0.8205296027321805
001,004,517,-0.11366299032578256
001,005,502,0.2639656834952612
001,006,722,0.7419848328979507
001,007,386,0.5098489747663065
001,008,338,-0.44450925390658863
001,009,178,-0.7062473852757275
001,010,266,-0.6048574748863409
001,011,401,-0.6346811909212041
001,012,796,0.628346194430125
001,013,795,0.6277976758327618
001,014,795,0.6231842977280764
001,015,1051,0.4658160508209975
001,016,503,0.5115155019434338
001,017,601,0.3585832766987572
001,018,564,0.8274560430986277
001,019,958,0.5561471834634946
001,020,590,0.8580973217083603
001,021,353,-0.577235977213782
001,022,299,-0.44975391324521014
001,023,188,-0.12603337139048623
001,024,465,-0.1546738127467867
001,025,628,0.11743097548964795
001,026,453,-0.3978359741666991
001,027,636,0.3536645165141066
001,028,224,-0.8280199366285388
001,029,669,-0.42858887274685875
001,030,486,0.791798960257938
001,031,357,-0.2993725759146613
002,001,217,0.5398971959835455
002,002,885,0.9999999999999998
002,003,416,0.535308653632684
002,004,407,0.511983879995945
002,005,394,0.369930459408027
002,006,178,0.7207201117674212
002,007,763,0.84657131716983
002,008,407,0.41249912543648576
002,009,60,0.5618733023284488
002,010,99,0.5813203406411549
002,011,251,0.585587496287025
002,012,52,0.7721679679726041
002,013,50,0.7841380057758522
002,014,52,0.7810237306837327
002,015,852,0.9020467884909747
002,016,295,0.8596959036316233
002,017,489,0.8546967599776752
002,018,360,0.7966744470237513
002,019,808,0.9044396830088038
002,020,521,0.8344751321992476
002,021,411,0.8598752954031298
002,022,171,0.5695253084693938
002,023,46,-0.012199611436456577
002,024,383,0.4843008695543024
002,025,343,0.3782791172529548
002,026,528,0.673503510669232
002,027,349,0.8540314251970095
002,028,114,-0.3346566083322752
002,029,390,0.534538740013817
002,030,459,0.7024148198678909
002,031,324,0.5021830831931331
003,001,806,0.8205296027321803
003,002,416,0.5353086536326839
003,003,1090,1.0
003,004,510,-0.6635313144060828
003,005,550,0.2571441043390545
003,006,481,0.8776113055822523
003,007,498,0.3237934647337406
003,008,225,-0.628563831512598
003,009,165,-0.636913885126213
003,010,252,-0.8921945119170483
003,011,285,-0.828496182127558
003,012,647,0.8184901555440982
003,013,647,0.816199501827244
003,014,647,0.8122705150887208
003,015,1048,0.5388666749320316
003,016,412,0.3689548827235732
003,017,470,0.3057657799317113
003,018,425,0.7070522285429649
003,019,1000,0.5399342790582647
003,020,727,0.7163033190884779
003,021,311,0.1990158957804395
003,022,368,-0.6110359327013286
003,023,188,-0.15597078265596173
003,024,478,-0.1861055093040518
003,025,563,0.020511721939566973
003,026,408,-0.5557691366824425
003,027,848,0.5047032268542432
003,028,152,-0.701439108238335
003,029,546,-0.5105529779935953
003,030,645,0.4100398746493919
003,031,358,-0.5699437479823481
004,001,517,-0.11366299032578255
004,002,407,0.511983879995945
004,003,510,-0.6635313144060828
004,004,1280,1.0
004,005,683,0.6995451246832983
004,006,651,0.7068054523985251
004,007,764,0.7053646311706463
004,008,564,0.03268018550171783
004,009,452,0.36562574377440527
004,010,500,0.782369500136969
004,011,662,0.6214879556593345
004,012,705,0.5589086259976239
004,013,704,0.5705774385716985
004,014,704,0.5696365802490699
004,015,1112,0.17145900333372613
004,016,723,0.5640594594803686
004,017,687,0.5883851926846542
004,018,279,0.630231417545825
004,019,702,0.4934918157537295
004,020,744,0.23706676610105412
004,021,594,0.5359128113592032
004,022,498,0.2961896298427461
004,023,212,0.20188081071573952
004,024,570,0.5368074970948395
004,025,598,0.4167524361471194
004,026,643,0.5932509431915715
004,027,590,0.06673740859293185
004,028,435,-0.48140748973974284
004,029,869,0.6282658832144523
004,030,772,0.49021085398563274
004,031,663,0.6059157597482393
005,001,502,0.26396568349526117
005,002,394,0.369930459408027
005,003,550,0.2571441043390545
005,004,683,0.6995451246832984
005,005,1687,1.0
005,006,951,0.38430101274657913
005,007,841,0.566962722606015
005,008,734,0.46382926583000567
005,009,584,0.5183730117590554
005,010,494,0.6806339473135105
005,011,773,0.44852449208349304
005,012,984,0.15276009195205198
005,013,983,0.15310133099386367
005,014,983,0.15281648784926075
005,015,1477,0.1616500839003319
005,016,515,0.01478377415387774
005,017,757,0.3945900841562984
005,018,548,0.5062754182726421
005,019,839,0.35621556884362304
005,020,748,0.260504745516335
005,021,1001,0.5481688530443728
005,022,613,0.4109880448719592
005,023,505,0.5607346941025919
005,024,1104,0.5402305598615905
005,025,606,0.45063065455623325
005,026,786,0.5695747653077085
005,027,548,0.1365333112249499
005,028,440,-0.26397949282747507
005,029,783,0.6608707285019899
005,030,1035,0.44325376440794345
005,031,784,0.5483082115112332
006,001,722,0.7419848328979507
006,002,178,0.7207201117674212
006,003,481,0.8776113055822522
006,004,651,0.7068054523985251
006,005,951,0.38430101274657913
006,006,1568,1.0
006,007,495,0.8759612970273691
006,008,695,-0.029301130680763725
006,009,525,-0.009186343394403093
006,010,406,0.35738236782035104
006,011,630,-0.11776160007181243
006,012,1206,0.8470290595605323
006,013,1204,0.8506231382129275
006,014,1204,0.8504643859313649
006,015,1383,0.3214358058367824
006,016,774,0.6984118571669067
006,017,630,0.6757668074569666
006,018,604,0.8499665552485139
006,019,762,0.7734390252266247
006,020,741,0.7325141258707295
006,021,880,-0.028411348522660182
006,022,681,0.18347735041428395
006,023,476,0.13851564540397307
006,024,789,-0.12636024081608555
006,025,408,0.7582466692154934
006,026,582,0.03018773985989934
006,027,540,0.6054989840631401
006,028,305,-0.5115706727261823
006,029,836,0.2321915154142397
006,030,846,0.7936537039898529
006,031,735,0.21218329194926117
007,001,386,0.5098489747663065
007,002,763,0.84657131716983
007,003,498,0.3237934647337406
007,004,764,0.7053646311706464
007,005,841,0.5669627226060151
007,006,495,0.8759612970273691
007,007,1572,1.0
007,008,714,0.40983187683635663
007,009,452,0.4891891844149025
007,010,407,0.6392411403005781
007,011,538,0.540646024261181
007,012,420,0.8665186033680247
