frame_id,self_fit_a,self_fit_b,self_fit_c,self_fit_condition_number,apparent_tilt_deg,fixed_normal_offset_mm,fixed_ground_offset_error_mm,point_count
001,-1.6754960223771096,0.02530559122458495,6.926512863244638,8094.959775917158,59.1725097619068,-0.075298,-0.075298,1090
002,-0.2282728313607474,0.0044019525334958315,0.841495988187803,8521.96617141001,12.861052720011878,-0.028038,-0.028038,982
003,-1.897994518223925,0.029274070714548156,7.817189416853079,9874.878007772573,62.21932353491592,-0.070007,-0.070007,1090
004,-0.6470909674896025,0.007307574126955818,2.6880192072626006,2343.7049799600086,32.908207386420415,-0.009573,-0.009573,1455
005,-0.7640293405115871,0.00870846140148096,3.19596723044834,2776.5443851696123,37.382684409939216,-0.016936,-0.016936,1815
006,-0.2947588352720975,0.0034711732233452253,1.0939105891380854,2771.4786310204554,16.424424293357482,-0.1579575,-0.1579575,1696
007,-0.2339239322375681,0.0029987683561748454,0.8680859898092134,2816.970709685958,13.167153835237777,-0.112707,-0.112707,1729
008,-0.8839522379380111,0.010593017704570662,3.6412757684646944,2658.621475664448,41.47718737727416,-0.080144,-0.080144,1359
009,-1.122528729516832,0.011797799273191169,4.562558748082197,5230.813195667909,48.30545914855812,-0.081046,-0.081046,987
010,-0.9072907818628436,0.009993901986855375,3.7078040978356643,4785.884695049871,42.218897900840894,-0.06538949999999999,-0.06538949999999999,1008
011,-0.8416718072620222,0.010290217778502642,3.483176299215003,2699.5723529681754,40.08848312747603,-0.069466,-0.069466,1374
012,-0.2134290817199783,0.00310806329836881,0.8553190321263843,2821.7340890055393,12.049062289510255,-0.052191,-0.052191,1757
013,-0.22280101212574413,0.0032289165726621105,0.8910337152463536,2811.5978256446897,12.561682573174513,-0.0575875,-0.0575875,1756
014,-0.22143465214914532,0.0032272661443285694,0.8856558958666854,2811.0390385188707,12.487084011618188,-0.0575035,-0.0575035,1756
015,-0.032222981768024864,0.0005259251202697039,0.09543162587963212,3024.0868625808457,1.845847897539712,-0.043009500000000006,-0.043009500000000006,2804
016,-0.2082915079110905,0.0031217628153745874,0.8289606880196622,2925.4994567649474,11.767276723571507,-0.060658000000000004,-0.060658000000000004,1370
017,-0.29180078202336135,0.003303083220926359,1.1567606190457886,3344.136157543109,16.26827330470709,-0.066843,-0.066843,1605
018,-3.971152875292385,0.06275485112506801,16.181316668322204,8447.5823461556,75.86756136629803,-0.064147,-0.064147,887
019,0.1631871873570763,-0.0016662771256252696,-0.7317948719638342,7895.044126543513,9.268716817974532,-0.012014,-0.012014,1843
020,-0.06822502261693447,0.0008622425171847803,0.26305183152868133,3352.3003614613563,3.903268435585174,-0.013936500000000001,-0.013936500000000001,1608
021,-0.6575951112928096,0.0074946645894993225,2.7055621751739913,2668.851113706282,33.33043249427058,-0.0635425,-0.0635425,1496
022,-0.6791899892146358,0.00742458730417031,2.74838554677516,5048.50292187693,34.185545595448495,-0.082424,-0.082424,1118
023,-0.7963621511746654,0.008356172567987749,3.244398305654924,5574.313986780875,38.53402599520209,-0.029229,-0.029229,883
024,-0.7714951524445496,0.008979045449219514,3.1853116196662623,2702.971931890692,37.65188876694269,-0.062888,-0.062888,1519
025,-0.25045934357274924,0.0033106767829946954,0.9912750210296623,2972.225108481153,14.062190720971346,-0.068881,-0.068881,1394
026,-0.6373958355079332,0.007635403387253326,2.642133171353483,3108.261583513046,32.51513001531468,-0.044708,-0.044708,1565
027,0.036972570317198396,0.000714872354375091,-0.3044873437884109,5459.8934999110625,2.1178031761597156,-0.103935,-0.103935,1318
028,-1.9112041350407398,0.019364424294386062,7.806542921295299,6324.8619284643255,62.381278588972755,-0.0628685,-0.0628685,808
029,-0.6682244592817975,0.008283189633189608,2.7795324738552534,2581.0833901027654,33.75384834328825,-0.048964,-0.048964,1639
030,-0.39906802525685936,0.005136852661469848,1.6275726615564146,2719.3735527921317,21.756995696896865,-0.07413,-0.07413,1697
031,-0.6494751812260162,0.007748023465658921,2.661628489823649,4123.184626117661,33.00458598871485,-0.068224,-0.068224,1348
