v,sample_count,residual_median_mm,residual_mean_mm,residual_std_mm,residual_mad_mm,residual_p95_abs_mm
0,5,0.11463699975042263,0.12366299888498222,0.03258822114607593,0.02427630199233108,0.1623064884405011
1,5,0.09915708708312768,0.11483514890922089,0.03542234332190035,0.02545203796640004,0.1524759020492338
2,5,0.10829019934663203,0.10929368494086797,0.040475832277331675,0.029939040393662367,0.15582531401892966
3,5,0.12048145188019316,0.11103911511478223,0.042530318927545954,0.04211491805526635,0.1617236289915271
4,5,0.09638641590913159,0.11127150898370548,0.0419519949766999,0.02104752952254217,0.16740513583499567
5,5,0.09696102777132198,0.10556635344119154,0.04226126001550056,0.02092349465744167,0.16268296447167122
6,5,0.08577554756419575,0.09794279709549915,0.04131796526519665,0.023632515199454418,0.15310878058339222
7,5,0.09436718899976693,0.09373025516150243,0.0382285394855224,0.03490265029565075,0.14127202351471305
8,5,0.08687933246478192,0.09508977752645643,0.03440844146161458,0.01660540382315441,0.14103365584705577
9,5,0.08998516182045155,0.09565588464316005,0.041739298953765644,0.014028166525311386,0.15068403271517292
10,5,0.08983485721064581,0.09590571001607266,0.058088839176643314,0.014321380022297228,0.16450655459891972
11,5,0.10330919202555805,0.10113127444371561,0.06366879269575143,0.01015342581502618,0.16856014419978108
12,5,0.12001080905015518,0.10835187190681686,0.05567982637841968,0.005322574047171319,0.15945741060700913
13,5,0.12470303654914427,0.11542090805360769,0.039664707973782895,0.00919385139216139,0.14510362582508665
14,5,0.12929599657645358,0.1221765610765626,0.022907896096090338,0.004772950880897603,0.13775661405790948
15,5,0.13263942156362393,0.1274443803900081,0.016875811285509384,0.012291658245955933,0.14368498001667224
16,5,0.14603063791725518,0.13420655279698762,0.02370777735615625,0.006527209383224625,0.15236042499013908
17,5,0.14334075038148753,0.13553139097100939,0.03790586422226733,0.02755425230730066,0.17733976396618376
18,5,0.12391504815574925,0.1296592897932503,0.045010491606414044,0.012166360380971797,0.18722117107896669
19,4,0.10860429795661825,0.10388796530753353,0.016317187041093424,0.005683042201147397,0.1168130511446332
20,4,0.10309172829581054,0.10223183707139574,0.010816958531984404,0.008395443426993693,0.11169987209040957
21,4,0.10823037509053318,0.10651628749631442,0.012216638331184467,0.007392962432984956,0.11799678475535562
22,4,0.10804518999240266,0.10984479765538509,0.015881641908189005,0.008391084964893339,0.127637119388832
23,4,0.09615267880657333,0.10663972045757747,0.02389113750276671,0.002355163792713444,0.13548673882903872
24,4,0.09193918299192616,0.1004728389034165,0.028322213272569154,0.011595182950936013,0.13435807181800577
25,4,0.09416871456536965,0.10371445111063317,0.03723388563909074,0.017699031134072493,0.14769722172226152
26,4,0.10012632759618485,0.10563555247263412,0.03833694641559755,0.024103887601411057,0.1488801682428995
27,5,0.12304939973844196,0.11901378047664349,0.04736824642985852,0.03060343756606132,0.1771943165482452
28,5,0.1085895049518816,0.1191342979224947,0.051474155093985896,0.020702363803491636,0.18338170966845307
29,5,0.12613876933674076,0.12093478279009587,0.061442246439413976,0.03547575105409312,0.1948068788252479
30,5,0.1373679858432784,0.12118081222175847,0.06642891109358544,0.052050766043719165,0.1956568801163323
31,5,0.13751580406998618,0.12046802421301359,0.06580855092963996,0.051566860215923854,0.19108274644432025
32,5,0.12945819257990468,0.11557398715629394,0.06402116118881611,0.052305937922694584,0.1860175830480405
33,5,0.12345888434426411,0.10728794982629239,0.06526510990120582,0.06571059955703529,0.18159087749661806
34,5,0.12348499631679859,0.10268105387881994,0.06687606739800597,0.06820625309846358,0.1783957243174371
35,5,0.12352719308804222,0.10552781857258098,0.06641315678329236,0.06799650704692015,0.17994196451700364
36,5,0.13392105089562195,0.11407537666643904,0.06206978027657867,0.05914322081674181,0.18240428113992205
37,5,0.12437109465777257,0.1165673662978723,0.06198608076848302,0.059205709290793274,0.18796931764229713
38,5,0.10876034192824113,0.11935700722282645,0.05716764761491229,0.044068356500994985,0.1895805081732527
39,5,0.094477119371436,0.11309426619584198,0.05049764560114027,0.03211205690240994,0.17895943186759222
40,5,0.08933632701080907,0.1091650627630251,0.04714235860948546,0.016953863093735755,0.17385762189978174
41,5,0.08961829378876485,0.11036469613290716,0.046898362523858,0.007879674086073707,0.17506807052795723
42,5,0.08739614167610146,0.11236439509318275,0.05125904942078762,0.02113885561718666,0.18122647467782171
43,5,0.09566456905979655,0.11543298337028496,0.05338987204069413,0.042780384950743294,0.18263880327029633
44,5,0.10446757309545995,0.11528899232738155,0.05156736291081875,0.03282579744003897,0.17952523645011018
45,5,0.1128101558080519,0.12046576338960473,0.043915210103609846,0.016215064851363092,0.1750728313521825
46,5,0.11848353960073019,0.11683372431840726,0.04709442814004661,0.016277773915624183,0.1719458263432239
47,5,0.11083809849926834,0.1144122565941238,0.042755056679788975,0.019965628989701195,0.1681393291616825
48,5,0.10926283130726616,0.11247407759348631,0.03685874301850549,0.01672205958749562,0.16096230395847852
49,5,0.10048250469665987,0.1111825704521329,0.03516191845881825,0.014159388313493976,0.1592249229249064
50,5,0.10930263154571249,0.11493539919009636,0.04115671025609275,0.029200950841553913,0.16559640846195897
51,5,0.09595788253148643,0.1130091293830255,0.05132765863775769,0.033938390916438924,0.17381785842594505
52,5,0.08214325521621069,0.10562008786267965,0.060198978195138336,0.041878204139128655,0.17722852915837367
53,5,0.09309716077880649,0.10036480348546986,0.0628615192678561,0.05081568641037078,0.1750488764778131
54,5,0.10235651184585219,0.10361259829738205,0.055475048315500056,0.03733199376682558,0.17035530334488555
55,5,0.10836135298441196,0.11089741103919717,0.04484054143675975,0.03140208778802692,0.1677311793759929
56,5,0.10918869563481973,0.11385429153437246,0.04304607836295086,0.022214443317891824,0.1684222530303546
57,5,0.10199503772145241,0.10863451735751647,0.052699601086067784,0.02951596752306096,0.16982621727917369
58,5,0.09372176942675295,0.09778097657968553,0.06517663836038735,0.0341063807911019,0.17041409644312153
59,5,0.0913115004020907,0.08909742657056251,0.06986292814247458,0.026101369949916978,0.16901989756545516
60,5,0.09318184231068097,0.08642321534261732,0.06494242252043353,0.03858930019675254,0.16467908147212565
61,5,0.08550637464152874,0.08792339693809244,0.05730191745332591,0.03698435016925873,0.1622664990859929
62,5,0.0830254465463669,0.09135833526186703,0.05313602057021698,0.03008597822972861,0.16221443487432374
63,5,0.09188063587246831,0.09390240368544163,0.05302438308951963,0.03296028314987795,0.1634349772427436
64,5,0.0755944972636488,0.09385546212018514,0.055718516530818475,0.027188232093127304,0.16931152564545865
65,5,0.04920160286229909,0.08910262448289177,0.06080338423432117,0.0007620527967727442,0.17125836955546003
66,5,0.04479853402740128,0.0807950567998152,0.06408154198177944,0.01815400905861255,0.16572728762836206
67,5,0.046213219496241534,0.0760394224419358,0.06044688288640248,0.017337932247335097,0.15614767090403966
68,5,0.052502175374954704,0.07872860934207568,0.05280559239769724,0.021907653104241462,0.1485188399763921
69,5,0.06402722331079361,0.08680762991101691,0.045983656980376965,0.02023802220414321,0.14758927773527525
70,5,0.07722869784542331,0.0978711753248617,0.040356424717685385,0.01301596435443915,0.15195918861171576
71,5,0.08865947582194544,0.1091402379294972,0.03536675365382855,0.004191448297776373,0.15754080758671907
72,5,0.10762006777016225,0.11681361065926495,0.033672049205552,0.011301453852761129,0.1626108947150319
73,5,0.11148457709379384,0.11784103422848986,0.03782421042541533,0.020983017929079806,0.1685897184618495
