u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2128.612715,463.000000,5.681671,-101.958374,713.480516,5.689524,101.964266,-0.047961
2128.652938,464.000000,5.685696,-101.863560,713.497870,5.694357,101.869598,-0.065892
2128.683274,465.000000,5.688736,-101.768291,713.512064,5.698065,101.774448,-0.080714
2128.696691,466.000000,5.690089,-101.672248,713.520849,5.699844,101.678480,-0.090215
2128.701421,467.000000,5.690575,-101.575807,713.526858,5.700635,101.582091,-0.096984
2128.710066,468.000000,5.691452,-101.479542,713.534116,5.701871,101.485889,-0.104983
2128.706785,469.000000,5.691139,-101.382734,713.537561,5.701748,101.389112,-0.109230
2128.657840,470.000000,5.686273,-101.283852,713.526411,5.696423,101.290142,-0.099118
2128.566374,471.000000,5.677166,-101.183045,713.501670,5.686255,101.189137,-0.075635
2128.517669,472.000000,5.672323,-101.084183,713.490595,5.680957,101.090187,-0.065596
2128.433514,473.000000,5.663946,-100.983720,713.468192,5.671623,100.989544,-0.044412
2128.392589,474.000000,5.659880,-100.885217,713.459602,5.667212,100.890974,-0.036819
2128.379777,475.000000,5.658617,-100.787987,713.459995,5.666004,100.793750,-0.038063
2128.387055,476.000000,5.659357,-100.691663,713.466806,5.667083,100.697486,-0.045621
2128.410622,477.000000,5.661722,-100.596072,713.478821,5.670018,100.601996,-0.058300
2128.435721,478.000000,5.664239,-100.500547,713.491326,5.673128,100.506576,-0.071460
2128.412995,479.000000,5.661987,-100.402866,713.488545,5.670790,100.408877,-0.069582
2128.352891,480.000000,5.656009,-100.303507,713.473820,5.664195,100.309400,-0.055952
2128.304719,481.000000,5.651220,-100.204688,713.462907,5.658958,100.210495,-0.046072
2128.274595,482.000000,5.648231,-100.106682,713.457759,5.655778,100.112450,-0.041865
2128.251628,483.000000,5.645956,-100.008997,713.454898,5.653412,100.014745,-0.039907
2128.237077,484.000000,5.644520,-99.911691,713.454725,5.652006,99.917441,-0.040594
2128.237552,485.000000,5.644582,-99.815057,713.459352,5.652310,99.820848,-0.046004
2128.247256,486.000000,5.645564,-99.718834,713.466927,5.653665,99.724690,-0.054314
2128.244568,487.000000,5.645310,-99.622056,713.470541,5.653610,99.627945,-0.058727
2128.222766,488.000000,5.643151,-99.524425,713.468046,5.651376,99.530297,-0.057129
2128.183666,489.000000,5.639267,-99.426024,713.460023,5.647174,99.431834,-0.050093
2128.141225,490.000000,5.635051,-99.327477,713.450931,5.642590,99.333216,-0.042005
2128.117451,491.000000,5.632695,-99.229763,713.447803,5.640133,99.235479,-0.039785
2128.112981,492.000000,5.632264,-99.132907,713.450842,5.639874,99.138651,-0.043632
2128.117411,493.000000,5.632720,-99.036445,713.456723,5.640628,99.042241,-0.050276
2128.117086,494.000000,5.632702,-98.939771,713.461085,5.640841,98.945606,-0.055424
2128.138860,495.000000,5.634887,-98.844075,713.472506,5.643570,98.850006,-0.067518
2128.171535,496.000000,5.638160,-98.748859,713.487410,5.647541,98.754915,-0.083038
2128.184772,497.000000,5.639494,-98.652779,713.496102,5.649299,98.658909,-0.092447
2128.173909,498.000000,5.638425,-98.555633,713.497091,5.648311,98.561774,-0.094277
2128.149933,499.000000,5.636050,-98.457908,713.493889,5.645830,98.464027,-0.091984
2128.117860,500.000000,5.632867,-98.359827,713.488098,5.642427,98.365902,-0.087144
2128.070612,501.000000,5.628171,-98.261080,713.477458,5.637296,98.267071,-0.077532
2128.000016,502.000000,5.621148,-98.161309,713.459356,5.629506,98.167156,-0.060579
2127.929416,503.000000,5.614124,-98.061544,713.441253,5.621716,98.067245,-0.043625
2127.905639,504.000000,5.611769,-97.963839,713.438110,5.619257,97.969518,-0.041389
2127.906726,505.000000,5.611892,-97.867225,713.442909,5.619630,97.872946,-0.046968
