u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2128.066689,422.000000,5.626657,-105.894207,713.120709,5.617013,105.897022,0.341190
2128.267869,423.000000,5.646721,-105.807159,713.189493,5.640169,105.810540,0.272664
2128.391065,424.000000,5.659015,-105.716400,713.233381,5.654449,105.720144,0.228630
2128.309915,425.000000,5.650940,-105.615961,713.212005,5.645462,105.619533,0.248801
2128.203855,426.000000,5.640382,-105.514351,713.182674,5.633639,105.517686,0.276799
2128.191248,427.000000,5.639140,-105.417162,713.183187,5.632456,105.420505,0.275436
2128.171769,428.000000,5.637213,-105.319649,713.181504,5.630491,105.322982,0.276234
2128.075760,429.000000,5.627658,-105.218530,713.155382,5.619814,105.221652,0.301074
2127.937490,430.000000,5.613893,-105.115428,713.115767,5.604327,105.118229,0.339188
2127.839831,431.000000,5.604176,-105.014248,713.089121,5.593464,105.016835,0.364544
2127.878804,432.000000,5.608073,-104.919497,713.106096,5.598151,104.922225,0.346987
2127.946580,433.000000,5.614841,-104.826093,713.132266,5.606118,104.829039,0.320383
2127.997265,434.000000,5.619905,-104.731881,713.152980,5.612140,104.735000,0.299147
2128.037786,435.000000,5.623958,-104.637188,713.170449,5.617004,104.640453,0.281103
2128.066685,436.000000,5.626852,-104.541946,713.184206,5.620546,104.545326,0.266712
2128.092857,437.000000,5.629474,-104.446572,713.197091,5.623778,104.450061,0.253177
2128.117406,438.000000,5.631935,-104.351120,713.209457,5.626825,104.354713,0.240154
2128.131508,439.000000,5.633354,-104.255176,713.218486,5.628682,104.258847,0.230413
2128.102953,440.000000,5.630522,-104.157240,713.213891,5.625684,104.160876,0.234076
2128.051395,441.000000,5.625398,-104.058232,713.201949,5.620066,104.061774,0.244967
2128.056614,442.000000,5.625932,-103.961873,713.208137,5.620912,103.965469,0.238021
2128.096335,443.000000,5.629905,-103.867117,713.225344,5.625686,103.870857,0.220236
2128.132368,444.000000,5.633510,-103.772186,713.241371,5.630040,103.776060,0.203610
2128.115513,445.000000,5.631844,-103.674794,713.240507,5.628373,103.678664,0.203602
2128.054896,446.000000,5.625817,-103.575372,713.225665,5.621723,103.579124,0.217346
2127.979886,447.000000,5.618356,-103.475287,713.206227,5.613436,103.478883,0.235612
2127.888272,448.000000,5.609240,-103.374438,713.181486,5.603258,103.377836,0.259094
2127.807430,449.000000,5.601198,-103.274095,713.160186,5.594308,103.277322,0.279192
2127.750720,450.000000,5.595562,-103.174874,713.146591,5.588105,103.177993,0.291709
2127.722382,451.000000,5.592752,-103.076967,713.142054,5.585131,103.080051,0.295315
2127.735826,452.000000,5.594105,-102.980988,713.150857,5.586912,102.984148,0.285797
2127.767406,453.000000,5.597266,-102.885843,713.165449,5.590758,102.889125,0.270584
2127.766721,454.000000,5.597212,-102.789208,713.169738,5.590931,102.792529,0.265507
2127.718568,455.000000,5.592428,-102.690390,713.158869,5.585701,102.693625,0.275342
2127.655560,456.000000,5.586164,-102.590891,713.143257,5.578781,102.594002,0.289844
2127.611714,457.000000,5.581809,-102.492277,713.133762,5.574042,102.495314,0.298328
2127.634794,458.000000,5.584123,-102.396735,713.145634,5.576920,102.399872,0.285790
2127.715460,459.000000,5.592174,-102.303829,713.175892,5.586352,102.307217,0.255164
2127.796693,460.000000,5.600283,-102.210942,713.206333,5.595849,102.214581,0.224359
2127.845255,461.000000,5.605136,-102.116552,713.226341,5.601628,102.120358,0.203817
2127.828072,462.000000,5.603438,-102.019152,713.225353,5.599923,102.022953,0.203932
2127.698382,463.000000,5.590529,-101.916616,713.188437,5.585411,101.920119,0.239393
2127.559775,464.000000,5.576733,-101.813684,713.148677,5.569887,101.816865,0.277653
2127.540728,465.000000,5.574849,-101.716211,713.147090,5.567970,101.719382,0.278356
2127.495411,466.000000,5.570348,-101.617543,713.137116,5.563063,101.620636,0.287312
2127.447459,467.000000,5.565585,-101.518758,713.126299,5.557857,101.521765,0.297096
2127.417618,468.000000,5.562626,-101.420798,713.121264,5.554711,101.423768,0.301193
2127.440773,469.000000,5.564947,-101.325246,713.133147,5.557597,101.328316,0.288645
2127.489753,470.000000,5.569840,-101.230861,713.153274,5.563421,101.234099,0.267987
2127.481322,471.000000,5.569015,-101.133871,713.155070,5.562712,101.137127,0.265362
2127.424135,472.000000,5.563331,-101.034673,713.141299,5.556454,101.037820,0.278053
2127.369814,473.000000,5.557934,-100.935610,713.128443,5.550523,100.938655,0.289845
2127.361331,474.000000,5.557103,-100.838620,713.130219,5.549808,100.841683,0.287240
2127.396850,475.000000,5.560655,-100.743615,713.146042,5.554100,100.746811,0.270815
2127.410793,476.000000,5.562058,-100.647634,713.154976,5.555936,100.650906,0.261169
2127.391412,477.000000,5.560142,-100.550150,713.153270,5.553981,100.553411,0.261990
2127.364971,478.000000,5.557521,-100.452349,713.149309,5.551222,100.455580,0.265031
2127.356439,479.000000,5.556686,-100.355353,713.151064,5.550501,100.358603,0.262447
2127.347241,480.000000,5.555783,-100.258328,713.152605,5.549704,100.261594,0.260073
2127.333085,481.000000,5.554387,-100.161080,713.152562,5.548343,100.164349,0.259258
2127.401004,482.000000,5.561167,-100.067511,713.178723,5.556322,100.070997,0.232663
2127.425156,483.000000,5.563587,-99.971975,713.190910,5.559321,99.975564,0.219816
2127.254748,484.000000,5.546626,-99.867733,713.140976,5.540178,99.870917,0.268087
