u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2134.780922,98.000000,6.292512,-137.541784,713.735936,6.298149,137.548575,0.015175
2134.236530,99.000000,6.238053,-137.411710,713.566580,6.236209,137.417119,0.180854
2134.337546,100.000000,6.248174,-137.321455,713.603814,6.248021,137.327172,0.143374
2134.411707,101.000000,6.255610,-137.229538,713.632455,6.256765,137.235492,0.114344
2134.417486,102.000000,6.256203,-137.133405,713.639208,6.257695,137.139418,0.106839
2134.391582,103.000000,6.253627,-137.035321,713.635818,6.255005,137.041310,0.109307
2134.362577,104.000000,6.250740,-136.937049,713.631435,6.251961,136.943005,0.112753
2134.350661,105.000000,6.249563,-136.839827,713.632520,6.250870,136.845795,0.110821
2134.344370,106.000000,6.248949,-136.742950,713.635406,6.250421,136.748945,0.107119
2134.323621,107.000000,6.246888,-136.645185,713.633662,6.248320,136.651169,0.107970
2134.289588,108.000000,6.243498,-136.546608,713.627665,6.244701,136.552546,0.113002
2134.267091,109.000000,6.241262,-136.448738,713.625360,6.242400,136.454661,0.114405
2134.274255,110.000000,6.241994,-136.352684,713.632547,6.243489,136.358669,0.106473
2134.295302,111.000000,6.244115,-136.257477,713.644177,6.246163,136.263560,0.094171
2134.303550,112.000000,6.244956,-136.161485,713.651710,6.247375,136.167633,0.085899
2134.291055,113.000000,6.243721,-136.064224,713.652601,6.246217,136.070382,0.084158
2134.264932,114.000000,6.241123,-135.966132,713.649130,6.243502,135.972265,0.086707
2134.226708,115.000000,6.237314,-135.867303,713.641785,6.239404,135.873379,0.093067
2134.176604,116.000000,6.232316,-135.767752,713.630635,6.233949,135.773741,0.103166
2134.133127,117.000000,6.227982,-135.668608,713.621607,6.229251,135.674526,0.111181
2134.126960,118.000000,6.227380,-135.571737,713.624519,6.228816,135.577682,0.107453
2134.149473,119.000000,6.229647,-135.476607,713.636609,6.231657,135.482655,0.094699
2134.166575,120.000000,6.231374,-135.381147,713.646966,6.233880,135.387282,0.083649
2134.154119,121.000000,6.230143,-135.283889,713.647862,6.232726,135.290034,0.081904
2134.153148,122.000000,6.230061,-135.187327,713.652433,6.232884,135.193514,0.076544
2134.178708,123.000000,6.232633,-135.092373,713.665495,6.236074,135.098669,0.062835
2134.184568,124.000000,6.233235,-134.996222,713.672250,6.237012,135.002577,0.055327
2134.135875,125.000000,6.228378,-134.896767,713.661543,6.231718,134.903038,0.064993
2134.041142,126.000000,6.218916,-134.794530,713.636098,6.221164,134.800596,0.089152
2133.940064,127.000000,6.208820,-134.691918,713.608625,6.209885,134.697762,0.115306
2133.864851,128.000000,6.201312,-134.590875,713.589429,6.201562,134.596566,0.133319
2133.843941,129.000000,6.199236,-134.493115,713.587611,6.199442,134.498794,0.134243
2133.879139,130.000000,6.202772,-134.398738,713.603748,6.203732,134.404553,0.117510
2133.925562,131.000000,6.207430,-134.305034,713.623476,6.209303,134.311013,0.097245
