frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 001.tif,h30,2139,2214,76,29.82285044230383,0.015153658952295352,30.10115343498734,base
1,laser 001_02.tif,h30,2139,2214,76,29.81789623216332,0.013684455417245838,30.09819961182592,base
2,laser 001_03.tif,h30,2139,2214,76,29.81570836127446,0.013092465157077857,30.095459590690155,base
3,laser 001_04.tif,h30,2139,2214,76,29.817297753333776,0.015537052897160446,30.098201186476615,base
4,laser 001_05.tif,h30,2139,2214,76,29.821392399417277,0.014282539697186996,30.09917395743355,base
5,laser 001_06.tif,h30,2139,2214,76,29.823305171269794,0.01549066303834566,30.102816694441174,base
6,laser 001_07.tif,h30,2139,2214,76,29.81977327828986,0.013275077623665596,30.09762797542794,base
7,laser 001_08.tif,h30,2139,2214,76,29.82155482552207,0.016162385823694073,30.096801029308722,base
8,laser 001_09.tif,h30,2139,2214,76,29.817867046703896,0.014946803311710416,30.097247334282486,base
9,laser 001_10.tif,h30,2139,2214,76,29.81803182307624,0.013465152542512923,30.097607710462796,base
10,laser 001_11.tif,h30,2139,2214,76,29.81973212823567,0.01305105534717238,30.098022417535276,base
11,laser 001_12.tif,h30,2139,2214,76,29.817033125272133,0.0142857198709501,30.095772217675005,base
12,laser 001_13.tif,h30,2139,2214,76,29.82357340736428,0.014063560348600115,30.09989071984836,base
13,laser 001_14.tif,h30,2139,2214,75,29.81574180612631,0.012581222030586987,30.09618103846026,base
14,laser 001_15.tif,h30,2139,2214,76,29.81617201372211,0.013451244754431218,30.09430670718956,base
15,laser 001_16.tif,h30,2139,2214,76,29.824051860420013,0.0145748081402558,30.10124567042334,base
16,laser 001_17.tif,h30,2139,2214,76,29.82310053555608,0.012739865742711723,30.099441421496408,base
17,laser 001_18.tif,h30,2139,2214,76,29.824017200096307,0.012541277811093883,30.10020614846451,base
18,laser 001_19.tif,h30,2139,2214,76,29.819352856343983,0.01363638511638584,30.096151148821207,base
19,laser 001_20.tif,h30,2139,2214,76,29.817843571959884,0.01574419285766907,30.094468392511942,base
20,laser 001_21.tif,h30,2139,2214,76,29.823830142589713,0.012453321981706997,30.100080235523478,base
21,laser 001_22.tif,h30,2139,2214,76,29.818749287619994,0.01343255621148901,30.092822665732513,base
22,laser 001_23.tif,h30,2139,2214,76,29.820136027301544,0.014025388065137695,30.095737901335326,base
23,laser 001_24.tif,h30,2139,2214,76,29.824105860110137,0.013074652342366442,30.100386701294212,base
24,laser 001_25.tif,h30,2139,2214,76,29.81962454110038,0.013441320628666894,30.097932538533087,base
25,laser 001_26.tif,h30,2139,2214,76,29.820557047685327,0.014367444687765572,30.097091997153257,base
26,laser 001_27.tif,h30,2139,2214,76,29.824526944320212,0.014295439624203233,30.100033397913535,base
27,laser 001_28.tif,h30,2139,2214,76,29.820848589502816,0.01539420570356594,30.096467555781203,base
28,laser 001_29.tif,h30,2139,2214,76,29.82000038645191,0.013722462266421705,30.09515332926054,base
29,laser 001_30.tif,h30,2139,2214,76,29.82035602299476,0.01359592623644645,30.097770999883778,base
30,laser 001_31.tif,h30,2139,2214,75,29.81850033606247,0.013322798551162583,30.095153036346574,base
31,laser 001_32.tif,h30,2139,2214,76,29.819709812531187,0.015034281453060409,30.094466260261413,base
32,laser 001_33.tif,h30,2139,2214,76,29.81866084002587,0.012589158730441653,30.095226705860455,base
33,laser 001_34.tif,h30,2139,2214,76,29.821913327344248,0.012796474243281512,30.1008254622883,base
34,laser 001_35.tif,h30,2139,2214,76,29.822386395042372,0.014304417368027435,30.098955530046283,base
35,laser 001_36.tif,h30,2139,2214,76,29.8251205200105,0.013157355827490601,30.103516432314166,base
36,laser 001_37.tif,h30,2139,2214,76,29.816261331984492,0.01392408467968484,30.092189891316707,base
37,laser 001_38.tif,h30,2139,2214,76,29.820998741831886,0.014211287652675009,30.096978469393605,base
38,laser 001_39.tif,h30,2139,2214,76,29.82167874992706,0.013965787941391868,30.099514735062314,base
39,laser 001_40.tif,h30,2139,2214,76,29.82152252692532,0.01360936903885006,30.098231494117044,base
40,laser 001_41.tif,h30,2139,2214,76,29.819311239342596,0.013658008409730764,30.09762942726104,base
41,laser 001_42.tif,h30,2139,2214,76,29.819124042713952,0.013202754751587881,30.096600876907075,base
42,laser 001_43.tif,h30,2139,2214,76,29.819814070873235,0.015441535997889534,30.09786208092487,base
43,laser 001_44.tif,h30,2139,2214,76,29.818425192827135,0.014196091376544597,30.0963209534317,base
44,laser 001_45.tif,h30,2139,2214,76,29.81886926022628,0.012942934268947234,30.097381291577676,base
45,laser 001_46.tif,h30,2139,2214,76,29.822013754817988,0.014705143057394855,30.09892279412685,base
46,laser 001_47.tif,h30,2139,2214,76,29.82229097202753,0.015216229331297907,30.097160069857807,base
47,laser 001_48.tif,h30,2139,2214,76,29.81920398487057,0.012716354734505423,30.095905196670458,base
48,laser 001_49.tif,h30,2139,2214,76,29.821925086031968,0.012698511331261854,30.100308317103952,base
49,laser 001_50.tif,h30,2139,2214,76,29.817088176437323,0.01288285345666113,30.094027334742975,base
0,laser 001.tif,h20,2237,2301,65,19.84290692184038,0.014611162501182719,20.121209914523888,base
1,laser 001_02.tif,h20,2237,2301,65,19.83734908904387,0.013314728719092226,20.117652468706467,base
2,laser 001_03.tif,h20,2237,2301,65,19.837973552716107,0.015072837122991284,20.117724782131802,base
3,laser 001_04.tif,h20,2237,2301,65,19.836827165830073,0.014430377744862433,20.117730598972912,base
4,laser 001_05.tif,h20,2237,2301,65,19.84122257262436,0.01283595633092622,20.119004130640633,base
5,laser 001_06.tif,h20,2237,2301,65,19.837526287754486,0.014918330935816695,20.117037810925865,base
6,laser 001_07.tif,h20,2237,2301,65,19.840446756835945,0.015574873404218731,20.118301453974027,base
7,laser 001_08.tif,h20,2237,2301,65,19.8426336183868,0.014154013803281832,20.11787982217345,base
8,laser 001_09.tif,h20,2237,2301,65,19.837771669698327,0.013730972204349452,20.117151957276917,base
9,laser 001_10.tif,h20,2237,2301,65,19.836290935686634,0.014867117389047044,20.11586682307319,base
10,laser 001_11.tif,h20,2237,2301,65,19.839739727590768,0.014068410555055004,20.118030016890373,base
11,laser 001_12.tif,h20,2237,2301,65,19.840100171814356,0.01394467250970971,20.11883926421723,base
12,laser 001_13.tif,h20,2237,2301,65,19.842244707785994,0.013194188478484456,20.118562020270076,base
13,laser 001_14.tif,h20,2237,2301,65,19.83392806504105,0.013690480066700888,20.114367297374997,base
14,laser 001_15.tif,h20,2237,2301,65,19.836578582406105,0.01379023408046904,20.114713275873555,base
15,laser 001_16.tif,h20,2237,2301,65,19.845883293432507,0.014862344153179266,20.123077103435833,base
16,laser 001_17.tif,h20,2237,2301,65,19.84258242761223,0.01542864620054829,20.118923313552557,base
17,laser 001_18.tif,h20,2237,2301,65,19.841262763573013,0.013992650220988544,20.117451711941214,base
18,laser 001_19.tif,h20,2237,2301,65,19.835780628248585,0.01407326017062989,20.11257892072581,base
19,laser 001_20.tif,h20,2237,2301,65,19.83522286458617,0.013769556112194537,20.11184768513823,base
20,laser 001_21.tif,h20,2237,2301,65,19.837655662213365,0.014249720385050272,20.11390575514713,base
21,laser 001_22.tif,h20,2237,2301,65,19.84077382489727,0.014101507891448348,20.114847203009788,base
22,laser 001_23.tif,h20,2237,2301,65,19.83938325193492,0.013341109652126374,20.1149851259687,base
23,laser 001_24.tif,h20,2237,2301,65,19.841231188872825,0.01284529767803,20.1175120300569,base
24,laser 001_25.tif,h20,2237,2301,65,19.841172624123715,0.014883082290681639,20.11948062155642,base
25,laser 001_26.tif,h20,2237,2301,65,19.83894121564424,0.014361177117374143,20.11547616511217,base
26,laser 001_27.tif,h20,2237,2301,65,19.84250093584842,0.014357446461781671,20.118007389441743,base
27,laser 001_28.tif,h20,2237,2301,65,19.84026942718242,0.013907664663324744,20.115888393460807,base
28,laser 001_29.tif,h20,2237,2301,65,19.84214746849989,0.014856363791100955,20.11730041130852,base
29,laser 001_30.tif,h20,2237,2301,65,19.83750520454157,0.013916012711199435,20.11492018143059,base
30,laser 001_31.tif,h20,2237,2301,65,19.841001571110382,0.015057938531287004,20.117654271394485,base
31,laser 001_32.tif,h20,2237,2301,65,19.837265699109707,0.016527891121118476,20.112022146839934,base
32,laser 001_33.tif,h20,2237,2301,65,19.841140337862498,0.013348649956978872,20.117706203697082,base
33,laser 001_34.tif,h20,2237,2301,65,19.83947437407312,0.014736163458173593,20.11838650901717,base
34,laser 001_35.tif,h20,2237,2301,65,19.840496787963616,0.01356370032516372,20.117065922967527,base
35,laser 001_36.tif,h20,2237,2301,65,19.84283182924412,0.013588925494890814,20.121227741547784,base
36,laser 001_37.tif,h20,2237,2301,65,19.841693371232623,0.013619300842035055,20.117621930564837,base
37,laser 001_38.tif,h20,2237,2301,65,19.840579312288696,0.01359599448637004,20.116559039850415,base
38,laser 001_39.tif,h20,2237,2301,65,19.842793541823085,0.012945657672413156,20.12062952695834,base
39,laser 001_40.tif,h20,2237,2301,65,19.84174757497226,0.012777825075084676,20.118456542163983,base
40,laser 001_41.tif,h20,2237,2301,65,19.838467530231696,0.014487819696637011,20.11678571815014,base
41,laser 001_42.tif,h20,2237,2301,65,19.840346998324094,0.014020171053080819,20.117823832517217,base
42,laser 001_43.tif,h20,2237,2301,65,19.8361192448574,0.013096138934798015,20.114167254909034,base
43,laser 001_44.tif,h20,2237,2301,65,19.839857752044054,0.01634113545302773,20.11775351264862,base
44,laser 001_45.tif,h20,2237,2301,65,19.84306208922692,0.015363274083575228,20.121574120578316,base
45,laser 001_46.tif,h20,2237,2301,65,19.838941638716733,0.012515434993447679,20.115850678025595,base
46,laser 001_47.tif,h20,2237,2301,65,19.83916480956725,0.01401325224975006,20.114033907397527,base
47,laser 001_48.tif,h20,2237,2301,65,19.839829085128144,0.014943698795571595,20.116530296928033,base
48,laser 001_49.tif,h20,2237,2301,65,19.837061004839825,0.014652601945766957,20.11544423591181,base
49,laser 001_50.tif,h20,2237,2301,65,19.842088562289405,0.014528515883334097,20.119027720595057,base
0,laser 001.tif,h10,2324,2389,66,9.83656220163823,0.016337433328491864,10.114865194321737,base
1,laser 001_02.tif,h10,2324,2389,66,9.836203386308114,0.015803236465689513,10.116506765970712,base
2,laser 001_03.tif,h10,2324,2389,66,9.836990611685849,0.017035750423037992,10.116741841101543,base
3,laser 001_04.tif,h10,2324,2389,66,9.832346819237841,0.017067723226165624,10.11325025238068,base
4,laser 001_05.tif,h10,2324,2389,66,9.836060735354351,0.01679825265841474,10.113842293370624,base
5,laser 001_06.tif,h10,2324,2389,66,9.8334185115026,0.017840340965853692,10.11293003467398,base
6,laser 001_07.tif,h10,2324,2389,66,9.839898023614694,0.01645163769913842,10.117752720752776,base
7,laser 001_08.tif,h10,2324,2389,66,9.839697542574186,0.01633909612013851,10.114943746360836,base
8,laser 001_09.tif,h10,2324,2389,66,9.83793254500904,0.01521325086854281,10.11731283258763,base
9,laser 001_10.tif,h10,2324,2389,66,9.838544909001996,0.014731708784321123,10.118120796388553,base
10,laser 001_11.tif,h10,2324,2389,66,9.84107931670087,0.013657493831607448,10.119369606000475,base
11,laser 001_12.tif,h10,2324,2389,66,9.836855572545062,0.01662432977969533,10.115594664947935,base
12,laser 001_13.tif,h10,2324,2389,66,9.840053809984283,0.016465183854232623,10.116371122468365,base
13,laser 001_14.tif,h10,2324,2389,66,9.839468020007871,0.018195383457425655,10.119907252341818,base
14,laser 001_15.tif,h10,2324,2389,66,9.836763665687897,0.01793465563726461,10.114898359155347,base
15,laser 001_16.tif,h10,2324,2389,66,9.837588148114321,0.017953462795194993,10.114781958117646,base
16,laser 001_17.tif,h10,2324,2389,66,9.839222037675995,0.018332362939251393,10.115562923616324,base
17,laser 001_18.tif,h10,2324,2389,66,9.84221349160157,0.01973493232921022,10.11840243996977,base
