frame_index,filename,platform_id,scan_start,scan_end,point_count,z_median_mm,z_spatial_sigma_mm,height_relative_mm,reference_platform_id
0,laser 001.tif,p01,2004,2039,36,-0.15748441935966184,0.017038059237724664,0.12081857332384516,p10
1,laser 001_02.tif,p01,2004,2039,36,-0.1603733466038193,0.016837689754324037,0.11993003305877892,p10
2,laser 001_03.tif,p01,2004,2039,36,-0.16070142792426623,0.016158147372498488,0.1190498014914283,p10
3,laser 001_04.tif,p01,2004,2039,36,-0.16101382722291646,0.016843118747326795,0.11988960591992281,p10
4,laser 001_05.tif,p01,2004,2039,36,-0.15691014615271115,0.01807744930196598,0.1208714118635612,p10
5,laser 001_06.tif,p01,2004,2039,36,-0.15719322642917177,0.017359296751660265,0.12231829674220762,p10
6,laser 001_07.tif,p01,2004,2039,36,-0.15633893954156974,0.016501015462675045,0.12151575759651223,p10
7,laser 001_08.tif,p01,2004,2039,36,-0.15687780126103235,0.018481656549635576,0.11836840252561842,p10
8,laser 001_09.tif,p01,2004,2039,36,-0.15954497425110503,0.015936659219366132,0.11983531332748498,p10
9,laser 001_10.tif,p01,2004,2039,36,-0.15935209002856254,0.01563838931991589,0.12022379735799404,p10
10,laser 001_11.tif,p01,2004,2039,36,-0.15780027786348683,0.017382488033248007,0.12049001143611804,p10
11,laser 001_12.tif,p01,2004,2039,36,-0.15962604686222903,0.016026007005345195,0.11911304554064372,p10
12,laser 001_13.tif,p01,2004,2039,36,-0.15887794573069414,0.01677639409866543,0.11743936675338773,p10
13,laser 001_14.tif,p01,2004,2039,36,-0.16144216206527062,0.01631135938425798,0.11899707026867645,p10
14,laser 001_15.tif,p01,2004,2039,36,-0.15902724503143872,0.016020208230625457,0.11910744843601151,p10
15,laser 001_16.tif,p01,2004,2039,36,-0.15698988220157162,0.016854626954933578,0.12020392780175371,p10
16,laser 001_17.tif,p01,2004,2039,36,-0.1567531463966816,0.017498243590328123,0.11958773954364688,p10
17,laser 001_18.tif,p01,2004,2039,36,-0.15551459246074728,0.016810364333986406,0.1206743559074539,p10
18,laser 001_19.tif,p01,2004,2039,36,-0.15705367706647166,0.01681606147739382,0.11974461541075243,p10
19,laser 001_20.tif,p01,2004,2039,36,-0.15959153420249095,0.01735217320989049,0.11703328634956733,p10
20,laser 001_21.tif,p01,2004,2039,36,-0.1568616269262293,0.01638018080564885,0.1193884660075355,p10
21,laser 001_22.tif,p01,2004,2039,36,-0.15697769468732758,0.016240003139750436,0.11709568342519105,p10
22,laser 001_23.tif,p01,2004,2039,36,-0.15824120588263213,0.017627901167693766,0.1173606681511501,p10
23,laser 001_24.tif,p01,2004,2039,36,-0.15742018890244935,0.016572639729794558,0.11886065228162579,p10
24,laser 001_25.tif,p01,2004,2039,36,-0.15742600635257986,0.01627232901956924,0.12088199108012532,p10
25,laser 001_26.tif,p01,2004,2039,36,-0.15683591260619778,0.016880538321041822,0.11969903686173211,p10
26,laser 001_27.tif,p01,2004,2039,36,-0.15591672901047104,0.01804357236209337,0.11958972458285189,p10
27,laser 001_28.tif,p01,2004,2039,36,-0.15792781326484828,0.016397050278957704,0.1176911530135385,p10
28,laser 001_29.tif,p01,2004,2039,36,-0.1548064941864027,0.01749207283308003,0.12034644862222876,p10
29,laser 001_30.tif,p01,2004,2039,36,-0.15524799129400435,0.01705769760863049,0.12216698559501538,p10
30,laser 001_31.tif,p01,2004,2039,36,-0.15756756753256695,0.01713678239417145,0.1190851327515361,p10
31,laser 001_32.tif,p01,2004,2039,36,-0.15726818132611697,0.017406278192924503,0.11748826640410925,p10
32,laser 001_33.tif,p01,2004,2039,36,-0.15856187069528005,0.016489467835939364,0.11800399513930415,p10
33,laser 001_34.tif,p01,2004,2039,36,-0.15722822557512472,0.0170124481691766,0.12168390936892592,p10
34,laser 001_35.tif,p01,2004,2039,36,-0.1575262708309424,0.01714592309692082,0.11904286417296817,p10
35,laser 001_36.tif,p01,2004,2039,36,-0.1581231603730089,0.0170251877945057,0.12027275193065634,p10
36,laser 001_37.tif,p01,2004,2039,36,-0.15767399200268528,0.016452998097036733,0.11825456732952944,p10
37,laser 001_38.tif,p01,2004,2039,36,-0.15738953375387155,0.017173530309082287,0.1185901938078473,p10
38,laser 001_39.tif,p01,2004,2039,36,-0.15690728227781392,0.01742002633622059,0.12092870285744084,p10
39,laser 001_40.tif,p01,2004,2039,36,-0.15539239959645101,0.017716434414378368,0.12131656759527232,p10
40,laser 001_41.tif,p01,2004,2039,36,-0.15814267395131765,0.016612034094576136,0.12017551396712634,p10
41,laser 001_42.tif,p01,2004,2039,36,-0.15660022802472895,0.017523010962705483,0.12087660616839457,p10
42,laser 001_43.tif,p01,2004,2039,36,-0.1591679320674757,0.016944762731731244,0.11888007798415856,p10
