platform_id,stable_range,analysis_range,z_median_mm,z_sigma_between_frames_mm,z_spatial_sigma_median_mm,height_median_mm,height_sigma_between_frames_mm,height_p95_abs_mm,is_reference
p01,"[2000, 2043]","[2004, 2039]",-0.1574230976275146,0.0014444983228666206,0.016853514723852776,0.119644380722292,0.0013179805781432102,0.0025369557061310387,False
p02,"[2131, 2222]","[2135, 2218]",29.819305069123203,0.002246594593646046,0.017096694853940414,30.09675015905529,0.002323557808506795,0.005149561687781556,False
p03,"[2229, 2309]","[2233, 2305]",19.8390780479304,0.0025405701180016304,0.0150613953946888,20.116186504503702,0.0024420507556734373,0.004769555875009245,False
p04,"[2316, 2397]","[2320, 2393]",9.839883547175816,0.0027248655238265355,0.016386763064496292,10.117392383891882,0.00241870665669166,0.0039479504961548164,False
p05,"[2402, 2486]","[2406, 2482]",5.8461762184387,0.0027888135384018155,0.02003338750164428,6.123411008130574,0.002426639079958749,0.004508405519769098,False
p06,"[2493, 2529]","[2497, 2525]",1.8378641742770014,0.0034266320528499035,0.02134244159681303,2.115488069299232,0.003492568238198653,0.007066040134239416,False
p07,"[2553, 2577]","[2557, 2573]",1.8116427257163537,0.004005806570685505,0.01572330243931129,2.0893901044346137,0.004105540891421571,0.007978482072556402,False
p08,"[2581, 2606]","[2585, 2602]",0.8123792027110426,0.004113920828205184,0.026257803211201663,1.0894134590814986,0.004203958519325911,0.007352822744249465,False
p09,"[2608, 2642]","[2612, 2638]",0.7975600323599679,0.004088975668856279,0.020558059086894842,1.0751240688511245,0.003397094906608524,0.0061569770033372585,False
p10,"[2670, 2799]","[2674, 2795]",-0.27706648415448853,0.0015678850653481876,0.03984500277532174,0.0,0.0,0.0,True
